"U.S. Department of Energy, The Energy Information Administration (EIA)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
"EIA-923 Fuel Stocks Data at All Electric Power Sector Generating Facilities, 2025 November",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources: EIA-923 and EIA-860 Reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coal Stock (Thousand Tons),,,,,,,,,,,,Petroleum Liquids (Thousand Barrels),,,,,,,,,,,,Petroleum Coke (Thousand Barrels),,,,,,,,,,,
"Census Division
and State","Coal
January","Coal
February","Coal
March","Coal
April","Coal
May","Coal
June","Coal
July","Coal
August","Coal
September","Coal
October","Coal
November","Coal
December","Oil
January","Oil
February","Oil
March","Oil
April","Oil
May","Oil
June","Oil
July","Oil
August","Oil
September","Oil
October","Oil
November","Oil
December","PetCoke
January","PetCoke
February","PetCoke
March","PetCoke
April","PetCoke
May","PetCoke
June","PetCoke
July","PetCoke
August","PetCoke
September","PetCoke
October","PetCoke
November","PetCoke
December"
New England,W,W,W,W,W,W,W,W,W,W,W,0,1906,1892,1867,1892,1921,1833,1751,1690,1686,1675,1764,0,0,0,0,0,0,0,0,0,0,0,0,0
Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,468,479,474,499,530,519,505,495,494,490,487,0,0,0,0,0,0,0,0,0,0,0,0,0
Maine,W,W,W,W,W,W,W,W,W,W,W,0,265,261,254,254,254,219,201,197,197,196,241,0,0,0,0,0,0,0,0,0,0,0,0,0
Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,812,815,812,811,810,772,729,681,679,676,672,0,0,0,0,0,0,0,0,0,0,0,0,0
New Hampshire,W,W,W,W,W,W,W,W,W,W,W,0,213,186,175,175,175,171,165,165,161,160,210,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhode Island,0,0,0,0,0,0,0,0,0,0,0,0,122,125,126,127,127,128,129,130,131,131,133,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermont,0,0,0,0,0,0,0,0,0,0,0,0,26,26,26,26,25,24,22,21,23,22,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle Atlantic,1285,965,1180,1343,1842,2015,1677,1559,1717,1955,2169,0,3847,3849,4083,4142,4153,4114,3963,3954,4026,4024,4122,0,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,0,0,0,0,0,0,0,0,0,0,0,0,394,403,400,466,465,465,424,420,420,418,432,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,0,0,0,0,0,0,0,0,0,0,0,0,2374,2342,2583,2577,2568,2528,2428,2424,2450,2435,2506,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,1285,965,1180,1343,1842,2015,1677,1559,1717,1955,2169,0,1079,1104,1100,1100,1120,1121,1110,1110,1156,1171,1184,0,0,0,0,0,0,0,0,0,0,0,0,0
East North Central,22969,21435,21651,22234,23222,22044,20926,20169,19783,20534,21348,0,1029,1008,1009,996,1011,922,917,933,924,925,921,0,W,W,W,W,W,W,W,W,W,W,W,0
Illinois,6121,5985,6662,7424,7257,5938,5885,5521,5706,5820,5921,0,99,100,100,99,100,97,97,96,97,96,96,0,0,0,0,0,0,0,0,0,0,0,0,0
Indiana,7973,7286,7309,6763,7051,6942,6459,6218,6028,6297,6601,0,111,111,112,112,114,104,109,107,104,104,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Michigan,2509,2053,1364,1557,2221,2559,2642,2874,2446,2263,2448,0,161,160,156,156,158,149,150,148,143,142,150,0,W,W,W,W,W,W,W,W,W,W,W,0
Ohio,3646,3460,3539,3536,3797,3788,3314,3040,3113,3679,3821,0,444,422,427,419,428,416,403,427,424,428,421,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,2720,2651,2776,2955,2896,2817,2626,2516,2489,2475,2557,0,215,215,212,210,212,156,158,156,157,156,154,0,W,W,W,W,W,W,W,W,W,W,W,0
West North Central,23838,22009,23409,23749,23605,22581,20444,18867,18701,20013,20614,0,1103,1085,1091,1068,1080,1022,980,981,994,995,996,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,4397,4004,4134,4119,3976,3631,2982,2730,2875,3170,3372,0,82,82,81,84,86,81,81,83,78,80,82,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,5228,4990,5356,5324,5262,5102,4743,4413,4030,4234,4317,0,163,158,160,156,157,152,150,159,157,162,169,0,0,0,0,0,0,0,0,0,0,0,0,0
Minnesota,2102,1714,2225,2292,2404,2417,1671,1196,1355,1572,1841,0,93,95,94,93,93,93,93,92,92,91,90,0,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,7419,6838,6990,7308,7371,6935,6776,6501,6495,6911,7042,0,502,494,504,499,504,463,435,425,441,436,432,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,2870,2782,2864,2902,2972,2961,2784,2508,2409,2510,2445,0,151,142,139,126,135,130,129,127,125,119,117,0,0,0,0,0,0,0,0,0,0,0,0,0
North Dakota,1405,1304,1434,1433,1256,1179,1194,1228,1205,1197,1163,0,36,42,41,38,36,33,35,31,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,W,W,W,W,W,W,W,W,W,W,W,0,75,73,72,71,70,70,58,65,70,76,75,0,0,0,0,0,0,0,0,0,0,0,0,0
