 ,Unnamed: 1
"Form EIA-923, Power Plant Operations Report and instructions",
,
Layout and Description of Data,
,
Generation and Fuel Data,
Data Elements,Description 
,
Plant ID,EIA Plant Identification number. One to five digit numeric.
Combined Heat & Power Plant,"Whether or not the plant is a combined heat & power facility (cogenerator).One character alphanumeric, “Y” or “N”"
Nuclear Unit ID,"For nuclear plants only, the unit number .One digit numeric. Nuclear plants are the only type of plants for which data are shown explicitly at the generating unit level."
Plant Name,Plant name. Alphanumeric
Operator Name,The name of the entity which operates the plant. Alphanumeric.
Operator ID,"The EIA operator identification number. Five digit numeric, padded with leading zeros."
State,State the facility is located in. Two character alphanumeric (standard state postal codes).
Census Region,The census region the state is located in.Three to five character alphanumeric:
                           NEW,New England
                           MAT,Middle Atlantic
                           SAT,South Atlantic
                           ESC,East South Central
                           WSC,West South Central
                           ENC,East North Central
                           WNC,West North Central
                           MTN,Mountain
                           PACC,"Pacific Contiguous (Oregon, Washington, and California)"
                           PACN,Pacific Non-Contiguous (Alaska and Hawaii)
NERC Region,The North American Electric Reliability Council (NERC) region where the plant is located.Alphanumeric:
                           NPCC,Northeast Power Coordinating Council
                           MRO,Midwest Reliability Organization
                           SERC,SERC Reliability Corporation
                           RFC,Reliability First Corporation
                           SPP,Southwest Power Pool
                           TRE,Texas Regional Entity
                           FRCC,Florida Reliability Coordinating Council
                           WECC,Western Electricity Coordinating Council
NAICS Code,"The facility’s North American Industrial Classification System (NAICS) code.Numeric. For information on the NAICS system, see:http://www.census.gov/epcd/www/naics.html"
EIA Sector Number and Sector Name,"EIA’s internal consolidated NAICS sectors.For internal purposes, EIA consolidates the NAICS categories into seven groups.  These are shown below in the Sector Codes and Names table:"
1,Electric Utility: Traditional regulated electric utilities
2,NAICS-22 Non-Cogen: Independent power producers which are not cogenerators
3,"NAICS-22 Cogen: Independent power producers which are cogenerators, but whose primary business purpose is the sale of electricity to the public"
4,"Commercial NAICS Non-Cogen: Commercial non-cogeneration facilities that produce electric power, are connected to the gird, and can sell power to the public"
5,"Commercial NAICS Cogen: Commercial cogeneration facilities that produce electric power, are connected to the grid, and can sell power to the public"
6,"Industrial NAICS Non-Cogen: Industrial non-cogeneration facilities that produce electric power, are connected to the gird, and can sell power to the public"
7,"Industrial NAICS Cogen: Industrial cogeneration facilities that produce electric power, are connected to the gird, and can sell power to the public"
Reported Primer Mover,Type of prime mover:
                           BA,"Energy Storage, Battery"
                           BT,Turbines Used in a Binary Cycle. Including those used for geothermal applications
                           CA,Combined-Cycle -- Steam Part
                           CE,"Energy Storage, Compressed Air"
                           CP,"Energy Storage, Concentrated Solar Power"
                           CS,Combined-Cycle Single-Shaft Combustion Turbine and Steam Turbine share of single generator
                           CT,Combined-Cycle Combustion Turbine Part
                           ES,"Energy Storage, Other (Specify on Schedule 9, Comments)"
                           FC,Fuel Cell
                           FW,"Energy Storage, Flywheel"
                           GT,Combustion (Gas) Turbine. Including Jet Engine design
                           HA,"Hydrokinetic, Axial Flow Turbine"
                           HB,"Hydrokinetic, Wave Buoy"
                           HK,"Hydrokinetic, Other"
                           HY,Hydraulic Turbine. Including turbines associated with delivery of water by pipeline.
                           IC,"Internal Combustion (diesel, piston, reciprocating) Engine"
                           PS,"Energy Storage, Reversible Hydraulic Turbine (Pumped Storage)"
                           OT,Other
                           ST,"Steam Turbine. Including Nuclear, Geothermal, and Solar Steam (does not include Combined Cycle)."
                           PV,Photovoltaic
                           WT,"Wind Turbine, Onshore"
                           WS,"Wind Turbine, Offshore"
Reported Fuel Type Code,The fuel code reported to EIA.Two or three letter alphanumeric:
                           AB,Agricultural By-Products
                           ANT,Anthracite Coal
                           BFG,Blast Furnace Gas
                           BIT,Bituminous Coal
                           BLQ,Black Liquor
                           DFO,"Distillate Fuel Oil. Including diesel, No. 1, No. 2, and No. 4 fuel oils."
                           GEO,Geothermal
                           H2,Hydrogen
                           JF,Jet Fuel
                           KER,Kerosene
                           LFG,Landfill Gas
                           LIG,Lignite Coal
                           MSB,Biogenic Municipal Solid Waste
                           MSN,Non-biogenic Municipal Solid Waste
                           MWH,Electricity used for energy storage
                           NG,Natural Gas
                           NUC,"Nuclear. Including Uranium, Plutonium, and Thorium."
                           OBG,"Other Biomass Gas. Including digester gas, methane, and other biomass gases."
                           OBL,Other Biomass Liquids
                           OBS,Other Biomass Solids
                           OG,Other Gas
                           OTH,Other Fuel
                           PC,Petroleum Coke
                           PG,Gaseous Propane
                           PUR,Purchased Steam
                           RC,Refined Coal
                           RFO,Residual Fuel Oil. Including No. 5 & 6 fuel oils and bunker C fuel oil.
                           SC,"Coal-based Synfuel. Including briquettes, pellets, or extrusions, which are formed by binding materials or processes that recycle materials."
                           SGC,Coal-Derived Synthesis Gas
                           SGP,Synthesis Gas from Petroleum Coke
                           SLW,Sludge Waste
                           SUB,Subbituminous Coal
                           SUN,Solar
                           TDF,Tire-derived Fuels
                           WAT,"Water at a Conventional Hydroelectric Turbine and water used in Wave Buoy Hydrokinetic Technology, current Hydrokinetic Technology, Tidal Hydrokinetic Technology, and Pumping Energy for Reversible (Pumped Storage) Hydroelectric Turbines."
                           WC,"Waste/Other Coal. Including anthracite culm, bituminous gob, fine coal, lignite waste, waste coal."
                           WDL,"Wood Waste Liquids, excluding Black Liquor. Including red liquor, sludge wood, spent sulfite liquor, and other wood-based liquids."
                           WDS,"Wood/Wood Waste Solids. Including paper pellets, railroad ties, utility polies, wood chips, bark, and other wood waste solids."
                           WH,Waste Heat not directly attributed to a fuel source
                           WND,Wind
                           WO,"Waste/Other Oil. Including crude oil, liquid butane, liquid propane, naphtha, oil waste, re-refined moto oil, sludge oil, tar oil, or other petroleum-based liquid wastes."
MER Fuel Type Code,"A partial aggregation of the reported fuel type codes into larger categories used by EIA in, for example, the Monthly Energy Review (MER).Two or three letter alphanumeric.  See the Fuel Code table (Table 5), below:"
                           SUN,Solar PV and thermal
                           COL,Coal 
                           DFO,Distillate Petroleum
                           GEO,Geothermal
                           HPS,Hydroelectric Pumped Storage
                           HYC,Hydroelectric Conventional
                           MLG,Biogenic Municipal Solid Waste and Landfill Gas
                           NG,Natural Gas
                           NUC,Nuclear
                           OOG,Other Gases
                           ORW,Other Renewables 
                           OTH,Other (including nonbiogenic MSW)
                           PC,Petroleum Coke
                           RFO,Residual Petroleum
                           WND,Wind
                           WOC,Waste Coal
                           WOO,Waste Oil
                           WWW,Wood and Wood Waste
Physical Unit Lable,The type of physical units fuel consumption is reported in:
                           mcf,for gases
                           short tons,for solid
                           barrels,for liquids
QUANTITY_[Month],"Consumption of the fuel type in physical units.Numeric.  Note: this is the total quantity consumed for both electricity and, in the case of combined heat and power plants, process steam production."
ELEC_QUANTITY_[Month],Consumption for electric generation of the fuel type in physical units.Numeric.
MMBTU_PER_UNIT_[Month],Heat content of the fuel in millions of Btus per physical unit.Numeric.
TOT_MMBTU_[Month],"Total consumption of the fuel in millions of Btus.Numeric   Note: this is the total quantity consumed for both electricity and, in the case of combined heat and power plants, process steam production."
ELEC_MMBTUS_[Month],"Consumption of fuel in millions of Btus for the purpose of generating electricity.These fields are most relevant to combined heat and power plants.  For non-combined heat and power plants, the data in these fields and in columns AK through AV (total fuel consumed) will be identical."
NETGEN_[Month],"Net generation of electricity in megawatthours (MWh).Numeric.  This is total electrical output net of station service.  In the case of combined heat and power plants, this value is intended to include internal consumption of electricity for the purposes of a production process, as well as power put on the grid."
TOTAL FUEL CONSUMPTION QUANTITY,"Total consumption of fuel in physical units, year to date.Numeric   Note: this is the total quantity consumed for both electricity and, in the case of combined heat and power plants, process steam production."
ELECTRIC FUEL CONSUMPTION QUANTITY,"Total consumption of fuel to produce electricity, in physical units, year to date. Numeric"
TOTAL FUEL CONSUMPTION MMBTUS,"Total consumption of fuel in MMBtus, year to date. Numeric   Note: this is the total quantity consumed for both electricity and, in the case of combined heat and power plants, process steam production."
ELEC FUEL CONSUMPTION MMBTUS,"Consumption of fuel in millions of Btus for the purpose of generating electricity, year to date. This field is most relevant to combined heat and power plants.  For non-combined heat and power plants, the data in this field and in column BV (total fuel consumed) will be identical."
NET GENERATION (megawatthours),"Net generation, year to date in megawatthours (MWh).Numeric. This is total electrical output net of station service.  In the case of combined heat and power plants, this value is intended to include internal consumption of electricity for the purposes of a production process, as well as power put on the grid."
Year,Calendar Year for Data
,
Stocks Data,
Data Elements,Description 
,
Region Name,The census region and state the facility is located in
Coal Stock[Month],Coal stock in Thousand Tons
Petroleum Liquids [Month],Petroleum Liquids stock in Thousand Barrels
Petroleum Coke [Month],Petroleum Coke stock in Thousand Barrels
,
Boiler Fuel Data,
Data Elements,Description 
,
Plant ID,EIA Plant Identification number. One to five digit numeric.
Combined Heat & Power Plant,"Whether or not the plant is a combined heat & power facility (cogenerator). One character alphanumeric, “Y” or “N”"
Plant Name,Plant name.Alphanumeric
Operator Name,The name of the entity which operates the plant. Alphanumeric.
Operator ID,"The EIA operator identification number. Five digit numeric, padded with leading zeros."
State,State the facility is located in.Two character alphanumeric (standard state postal codes).
Census Region,The census region the state is located in.Three to five character alphanumeric:
                           NEW,New England
                           MAT,Middle Atlantic
                           SAT,South Atlantic
                           ESC,East South Central
                           WSC,West South Central
                           ENC,East North Central
                           WNC,West North Central
                           MTN,Mountain
                           PACC,"Pacific Contiguous (Oregon, Washington, and California)"
                           PACN,Pacific Non-Contiguous (Alaska and Hawaii)
NERC Region,The North American Electric Reliability Council (NERC) region where the plant is located.Alphanumeric:
                           NPCC,Northeast Power Coordinating Council
                           MRO,Midwest Reliability Organization
                           SERC,SERC Reliability Corporation
                           RFC,Reliability First Corporation
                           SPP,Southwest Power Pool
                           TRE,Texas Regional Entity
                           FRCC,Florida Reliability Coordinating Council
                           WECC,Western Electricity Coordinating Council
NAICS Code,"The facility’s North American Industrial Classification System (NAICS) code.Numeric.  For information on the NAICS system, see:http://www.census.gov/epcd/www/naics.html"
EIA Sector Number and Sector Name,"EIA’s internal consolidated NAICS sectors.For internal purposes, EIA consolidates the NAICS categories into seven groups.  These are shown below in the Sector Codes and Names table:"
1,Electric Utility: Traditional regulated electric utilities
2,NAICS-22 Non-Cogen: Independent power producers which are not cogenerators
3,"NAICS-22 Cogen: Independent power producers which are cogenerators, but whose primary business purpose is the sale of electricity to the public"
4,"Commercial NAICS Non-Cogen: Commercial non-cogeneration facilities that produce electric power, are connected to the gird, and can sell power to the public"
5,"Commercial NAICS Cogen: Commercial cogeneration facilities that produce electric power, are connected to the grid, and can sell power to the public"
6,"Industrial NAICS Non-Cogen: Industrial non-cogeneration facilities that produce electric power, are connected to the gird, and can sell power to the public"
7,"Industrial NAICS Cogen: Industrial cogeneration facilities that produce electric power, are connected to the gird, and can sell power to the public"
Boiler ID,Boiler identification code; Alphanumeric
Reported Primer Mover,Type of prime mover:
                           BA,"Energy Storage, Battery"
                           BT,Turbines Used in a Binary Cycle. Including those used for geothermal applications
                           CA,Combined-Cycle -- Steam Part
                           CE,"Energy Storage, Compressed Air"
                           CP,"Energy Storage, Concentrated Solar Power"
                           CS,Combined-Cycle Single-Shaft Combustion Turbine and Steam Turbine share of single generator
                           CT,Combined-Cycle Combustion Turbine Part
                           ES,"Energy Storage, Other (Specify on Schedule 9, Comments)"
                           FC,Fuel Cell
