"Table 11. Net metering, 2010 through 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Virginia,,,,,,,,,,,,,,,
megawatts/megawatthours,,,,,,,,,,,,,,,
Technology by sector,"Year
2024","Year
2023","Year
2022","Year
2021","Year
2020","Year
2019","Year
2018","Year
2017","Year
2016","Year
2015","Year
2014","Year
2013","Year
2012","Year
2011","Year
2010"
Photovoltaic,,,,,,,,,,,,,,,
Capacity (MW),726.233,628.185,273.441,240.848,168.11,108.909,67.003,45.438,33.343,25.063,16.438,11.378,9.9,6.55,3.68
Residential,513.755,439.207,195.727,172.249,112.035,72.816,44.402,28.111,20.598,15.331,9.285,6.68,5.179,3.987,2.776
Commercial,208.398,184.912,70.803,67.169,54.65,35.404,22.082,16.958,12.567,9.6,6.938,4.596,4.582,2.468,0.788
Industrial,4.079,4.067,6.911,1.43,1.425,0.689,0.519,0.369,0.178,0.132,0.215,0.102,0.123,0.123,0.113
Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Customers,71370,60091,28501,25905,17598,11795,7578,5143,4041,3170,2147,1610,1305,992,702
Residential,69553,58515,27504,24981,16807,11142,7057,4724,3702,2898,1918,1420,1134,875,647
Commercial,1780,1539,951,905,773,642,513,411,333,269,225,188,169,115,53
Industrial,37,37,46,19,18,11,8,8,6,3,4,2,2,2,2
Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battery,,,,,,,,,,,,,,,
Capacity (MW),3.675,3.099,0.537,0.501,0.434,0.416,0.405,0.409,0.337,0,0,0,0,0,0
Residential,3.553,3.006,0.522,0.486,0.419,0.401,0.39,0.394,0.322,0,0,0,0,0,0
Commercial,0.122,0.093,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0,0,0,0,0,0
Industrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Customers,710,650,101,93,80,76,69,70,60,0,0,0,0,0,0
Residential,697,639,98,90,77,73,66,67,57,0,0,0,0,0,0
Commercial,13,11,3,3,3,3,3,3,3,0,0,0,0,0,0
Industrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Energy Capacity  (MWh),8,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Commercial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virtual PV,,,,,,,,,,,,,,,
Capacity (MW),0.945,1.907,0.908,0.908,0.908,0.908,0.408,0.408,0.018,0,0,0,0,0,0
Residential,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Commercial,0.945,1.907,0.518,0.518,0.518,0.518,0.018,0.018,0.018,0,0,0,0,0,0
Industrial,0,0,0.39,0.39,0.39,0.39,0.39,0.39,0,0,0,0,0,0,0
Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Customers,3,7,3,3,3,3,2,2,1,0,0,0,0,0,0
Residential,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Commercial,3,7,2,2,2,2,1,1,1,0,0,0,0,0,0
Industrial,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wind,,,,,,,,,,,,,,,
Capacity (MW),0.392,0.374,0.356,0.366,0.362,0.359,0.369,0.322,0.325,0.335,0.334,0.287,0.28,0.244,0.207
Residential,0.232,0.225,0.241,0.251,0.247,0.257,0.267,0.21,0.216,0.226,0.225,0.227,0.213,0.204,0.167
Commercial,0.16,0.149,0.115,0.115,0.115,0.102,0.102,0.112,0.109,0.109,0.109,0.05,0.047,0.03,0.03
Industrial,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.01,0.01
Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Customers,86,83,84,89,83,85,84,79,80,81,82,76,74,69,47
Residential,69,68,68,71,67,71,70,64,66,67,68,67,64,61,40
Commercial,17,15,16,18,16,14,14,15,14,14,14,8,8,7,6
Industrial,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1
Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other,,,,,,,,,,,,,,,
Capacity (MW),1.968,0.84,2.003,2.003,2.005,1.979,1.967,1.967,1.967,1.128,1.128,0,0,0,0
Residential,0,0,0.036,0.036,0.038,0.012,0,0,0,0,0,0,0,0,0
Commercial,1.968,0.84,1.967,1.967,1.967,1.967,1.967,1.967,0.839,1.128,1.128,0,0,0,0
Industrial,0,0,0,0,0,0,0,0,1.128,0,0,0,0,0,0
Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Customers,3,2,6,6,7,3,2,2,2,1,1,0,0,0,0
Residential,0,0,4,4,5,1,0,0,0,0,0,0,0,0,0
Commercial,3,2,2,2,2,2,2,2,1,1,1,0,0,0,0
Industrial,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All technologies,,,,,,,,,,,,,,,
Capacity (MW),729.538,631.306,276.708,244.125,171.385,112.155,69.747,48.135,35.653,26.526,17.9,11.665,10.164,6.822,3.884
Residential,513.987,439.432,196.004,172.536,112.32,73.085,44.669,28.321,20.814,15.557,9.51,6.907,5.392,4.191,2.943
Commercial,211.471,187.808,73.403,69.769,57.25,37.991,24.169,19.055,13.533,10.837,8.175,4.646,4.629,2.498,0.818
Industrial,4.079,4.067,7.301,1.82,1.815,1.079,0.909,0.759,1.306,0.132,0.215,0.112,0.143,0.133,0.123
Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
