"Table 13. Energy efficiency, 2013 through 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Virginia,,,,,,,,,,,,
Technology by sector,"Year
2024","Year
2023","Year
2022","Year
2021","Year
2020","Year
2019","Year
2018","Year
2017","Year
2016","Year
2015","Year
2014","Year
2013"
Reporting year incremental,,,,,,,,,,,,
Savings - energy (MWh),299772,243546,332883,272788,173603,161931,117696,142436,231776,115027,87098,26223
Residential,163381,110571,260521,207980,88615,79403,12482,17654,51602,22652,27305,15286
Commercial,135881,132753,71820,63499,82684,80269,100768,120744,170416,90827,58334,6679
Industrial,509,221,542,1309,2305,2260,4446,4038,9758,1548,1459,4258
Transportation,0,0,0,0,0,0,0,0,0,0,0,0
Savings - peak demand (MW),60.5,55.6,47.2,24.7,22.9,23.3,24.9,27.9,37.4,27,11.9,8.1
Residential,32.7,20.9,28.6,14.4,8.4,7.8,5.8,6.6,13.7,9.5,7.2,6.5
Commercial,27.8,34.4,18.4,10,14.2,15.1,18.7,21.1,22.3,17.2,4.7,1.5
Industrial,0.1,0.4,0.2,0.3,0.3,0.4,0.4,0.3,1.4,0.3,0,0.1
Transportation,0,0,0,0,0,0,0,0,0,0,0,0
Costs - customer incentive (thousand dollars),54902,54380,38843,36339,23856,18923,16250,20618,29600,20822,22084,7705
Residential,36748,32817,28352,25385,9042,6792,2116,6237,14581,7775,9482,4588
Commercial,18107,21474,10431,10860,14686,12007,13953,14194,14520,12953,12572,2697
Industrial,48,90,60,94,128,124,181,187,499,94,30,420
Transportation,0,0,0,0,0,0,0,0,0,0,0,0
Costs - all other costs (thousand dollars),43962,40144,39330,25722,13423,12808,8780,12301,15359,12210,11594,7144
Residential,29163,24509,29793,15933,6122,5588,2732,7161,11256,8977,7365,5648
Commercial,14756,15537,9489,9652,7191,6352,5986,5106,3925,3207,4228,1386
Industrial,43,97,48,137,110,869,63,34,178,26,1,110
Transportation,0,0,0,0,0,0,0,0,0,0,0,0
Incremental life cycle,,,,,,,,,,,,
Savings - energy (MWh),2444064,2477057,3949972,2875738,2227428,2071641,1331595,1603882,3217433,1481979,1236714,305574
Residential,1331978,972622,3126418,2304649,1430736,1264162,104986,159974,525908,217212,275289,177665
Commercial,1107336,1498997,817870,561425,777018,784396,1151616,1377403,2566362,1248489,949639,83587
Industrial,4750,5438,5684,9663,19674,23083,74993,66505,125163,16278,11786,44322
Transportation,0,0,0,0,0,0,0,0,0,0,0,0
Savings - peak demand (MW),60.5,55.6,47.2,24.7,22.9,23.3,25.6,28,37.5,28.5,13.3,8.1
Residential,32.7,20.9,28.6,14.4,8.4,7.8,6,6.6,13.8,11,8.6,6.5
Commercial,27.8,34.4,18.4,10,14.2,15.1,19.1,21.1,22.3,17.2,4.7,1.5
Industrial,0.1,0.4,0.2,0.3,0.3,0.4,0.4,0.3,1.4,0.3,0,0.1
Transportation,0,0,0,0,0,0,0,0,0,0,0,0
Costs - customer incentive (thousand dollars),55757,54380,38843,36339,23856,18923,16375,20618,29600,20822,22089,7705
Residential,36984,32817,28352,25385,9042,6792,2171,6237,14581,7775,9487,4588
Commercial,18688,21474,10431,10860,14686,12007,14011,14194,14520,12953,12572,2697
Industrial,84,90,60,94,128,124,192,187,499,94,30,420
Transportation,0,0,0,0,0,0,0,0,0,0,0,0
Costs - all other costs (thousand dollars),45076,40144,39330,25722,13423,12808,9007,12301,15359,12210,11594,7144
Residential,29344,24509,29793,15933,6122,5588,2958,7161,11256,8977,7365,5648
Commercial,15635,15537,9489,9652,7191,6352,5987,5106,3925,3207,4228,1386
Industrial,97,97,48,137,110,869,63,34,178,26,1,110
Transportation,0,0,0,0,0,0,0,0,0,0,0,0
"Data Source: U.S. Energy Information Administration, Form EIA-861, Annual Electric Power Industry Report.",,,,,,,,,,,,
