"Table 17. Reliability, 2013 through 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Virginia,,,,,,,,,,,,
Metric,"Year
2024","Year
2023","Year
2022","Year
2021","Year
2020","Year
2019","Year
2018","Year
2017","Year
2016","Year
2015","Year
2014","Year
2013"
IEEE only,,,,,,,,,,,,
Reporting statistics,,,,,,,,,,,,
Total utilities,32,32,32,32,32,32,32,32,32,32,32,32
Utilities reported,14,15,14,17,15,16,16,16,17,17,15,10
Percent reporting,30.610531302,30.815218904,26.455499492,26.48734216,25.877485268,26.930545363,27.031347759,27.168962666,31.31312094,31.350548475,26.791396098,21.975911677
All events,,,,,,,,,,,,
SAIDI,962.1,292.8,1108.2,798.2,337.7,478,1133.7,279.2,317.6,249,287.1,878.3
SAIFI,2.238,1.655,2.541,1.981,1.808,2.091,2.605,1.617,1.692,1.548,1.59,2.078
CAIDI,429.9,176.9,436.1,402.9,186.8,228.6,435.1,172.7,187.7,160.9,180.6,422.6
Without major event days,,,,,,,,,,,,
SAIDI,245.1,239.9,342.3,262.7,250.6,285.4,307.8,218,219.7,208.5,243,276.9
SAIFI,1.641,1.522,1.838,1.565,1.608,1.7,1.744,1.443,1.509,1.449,1.445,1.636
CAIDI,149.4,157.6,186.2,167.9,155.8,167.9,176.5,151,145.6,143.9,168.2,169.3
Loss of supply removed,,,,,,,,,,,,
SAIDI,911.2,280.6,1103.6,793.3,308.6,439.2,1099.9,232.1,302.8,231.8,259.3,817.5
SAIFI,2.038,1.561,2.444,1.883,1.695,1.943,2.447,1.51,1.349,1.418,1.38,1.905
CAIDI,447,179.8,451.6,421.3,182,226.1,449.5,153.7,224.5,163.5,187.9,429.2
Any method,,,,,,,,,,,,
Reporting statistics,,,,,,,,,,,,
Total utilities,32,32,32,32,32,32,32,32,32,32,32,32
Utilities reported,18,19,19,23,21,22,22,21,21,20,19,16
Percent reporting,96.434798754,96.754878812,96.766545092,96.661649343,96.07478695,97.346701256,97.382768238,97.336002456,97.018883913,96.393677539,95.505113449,94.914267011
All events,,,,,,,,,,,,
SAIDI,418.3,221.1,593.9,434.4,308.6,309,507.4,192.9,237.7,203.5,187.3,467.8
SAIFI,1.627,1.461,1.853,1.576,1.633,1.727,1.817,1.375,1.545,1.429,1.381,1.615
CAIDI,257.1,151.3,320.4,275.6,189,178.9,279.2,140.2,153.9,142.4,135.7,289.6
Without major events,,,,,,,,,,,,
SAIDI,166.4,159.3,187.5,164.9,165.3,182.1,187.8,142.2,164.8,148,148.3,143.3
SAIFI,1.342,1.283,1.343,1.254,1.323,1.342,1.389,1.176,1.346,1.245,1.229,1.171
CAIDI,124,124.2,139.6,131.5,124.9,135.8,135.2,120.9,122.4,118.9,120.8,122.4
"Data Source: U.S. Energy Information Administration, Form EIA-861, Annual Electric Power Industry Report.
Any method equals IEEE plus Other.
Percent Reporting is an approximate estimate of how many customers are covered by these metrics. The numerator is reported number of meters used on the reliability schedule,    while the denominator is the number of customers reported on the sales to ultimate customers schedule.",,,,,,,,,,,,
