"Table 2A. Ten largest plants by capacity, 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Virginia,,,,
,Plant,Primary energy source,Operating company,Net summer capacity (MW)
1,Bath County,Pumped storage,Virginia Electric & Power Co,3015.1
2,North Anna,Nuclear,Virginia Electric & Power Co,1893
3,Surry,Nuclear,Virginia Electric & Power Co,1676
4,Greensville County Power Station,Natural gas,Virginia Electric & Power Co,1588
5,Brunswick County Power Station,Natural gas,Virginia Electric & Power Co,1376
6,Warren County,Natural gas,Virginia Electric & Power Co,1370
7,Doswell Energy Center,Natural gas,Doswell Ltd Partnership,1189
8,Tenaska Virginia Generating Station,Natural gas,Tenaska Virginia Partners LP,937.4
9,Clover,Coal,Virginia Electric & Power Co,877.1
10,Ladysmith,Natural gas,Virginia Electric & Power Co,814
"Data Source: U.S. Energy Information Administration, Form EIA-860, Annual Electric Generator Report.",,,,
