"Table 2B. Ten largest plants by generation, 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Virginia,,,,
,Plant,Primary energy source,Operating company,Generation (MWh)
1,North Anna,Nuclear,Virginia Electric & Power Co,16023784
2,Surry,Nuclear,Virginia Electric & Power Co,12921543
3,Greensville County Power Station,Natural gas,Virginia Electric & Power Co,11532140
4,Warren County,Natural gas,Virginia Electric & Power Co,9420053
5,Brunswick County Power Station,Natural gas,Virginia Electric & Power Co,9343385
6,Doswell Energy Center,Natural gas,Doswell Ltd Partnership,5655128
7,Tenaska Virginia Generating Station,Natural gas,Tenaska Virginia Partners LP,5122590
8,"Potomac Energy Center, LLC",Natural gas,Potomac Energy Center LLC,4833190
9,Bear Garden,Natural gas,Virginia Electric & Power Co,3422316
10,Possum Point,Natural gas,Virginia Electric & Power Co,2182052
"Data Source: U.S. Energy Information Administration, Form EIA-923, Power Plant Operations Report and predecessor forms.",,,,
