"Table 4B. Capacity additions and retirements, 1990 through 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
megawatts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Year
2024","Year
2023","Year
2022","Year
2021","Year
2020","Year
2019","Year
2018","Year
2017","Year
2016","Year
2015","Year
2014","Year
2013","Year
2012","Year
2011","Year
2010","Year
2009","Year
2008","Year
2007","Year
2006","Year
2005","Year
2004","Year
2003","Year
2002","Year
2001","Year
2000","Year
1999","Year
1998","Year
1997","Year
1996","Year
1995","Year
1994","Year
1993","Year
1992","Year
1991","Year
1990"
Additions,1000.9,835.6,698.2,903.1,679.4,163.1,1969,1057.6,1521,15,1370,131.8,618.8,624.8,14,180.9,342.6,13.5,2,5,1440.5,1055.4,110,941.3,741.1,9,.,26.3,439.8,440,218,11.5,1085,348,1041.8
Battery,.,20,50.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Coal,.,.,.,.,.,.,.,.,.,.,.,.,610,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,437.1,440,.,.,.,.,.
Hydroelectric,.,.,.,0.6,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.9,.,.,4.5
Natural gas,2,.,.,2.4,.,.,1911,766,1376,15,1370,.,1,621.9,.,165,325,.,.,.,1418.7,1039,84,744,603.7,.,.,.,.,.,218,.,922.8,348,925.8
..Natural gas - CC,.,.,.,.,.,.,1588,766,1376,.,1370,.,.,621.9,.,.,.,.,.,.,937.4,573,.,.,.,.,.,.,.,.,218,.,542.8,348,569
..Natural gas - GT,.,.,.,.,.,.,323,.,.,15,.,.,.,.,.,165,325,.,.,.,481.3,466,84,744,603.7,.,.,.,.,.,.,.,325,.,340
..Natural gas - IC,2,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
..Natural gas - ST,.,.,.,2.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,55,.,16.8
Other biomass,.,.,.,.,.,.,.,.,.,.,.,5.4,7.8,2.9,14,8.4,15.6,10.5,.,.,.,14.4,.,14.4,.,.,.,.,.,.,.,3.2,.,.,98
Petroleum,.,.,.,.,.,.,.,3,6,.,.,.,.,.,.,7.5,.,3,2,5,21.8,2,26,182.9,137.4,9,.,26.3,2.7,.,.,5.4,9.2,.,13.5
..Petroleum - GT,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,179.7,137.4,9,.,18,.,.,.,.,.,.,.
..Petroleum - IC,.,.,.,.,.,.,.,3,6,.,.,.,.,.,.,7.5,.,3,2,5,21.8,2,26,3.2,.,.,.,8.3,2.7,.,.,5.4,9.2,.,13.5
Solar,998.9,815.6,647.7,888.1,679.4,163.1,58,288.6,139,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
..Solar- PV,998.9,815.6,647.7,888.1,679.4,163.1,58,288.6,139,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Wind,.,.,.,12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
..Wind - Offshore,.,.,.,12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Wood,.,.,.,.,.,.,.,.,.,.,.,126.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,153,.,.
Retirements,31.1,1823.9,3.8,343.5,787.2,1726.8,49,.,119.7,1150,1.6,26.7,487.6,64,75.6,5.5,3,2.5,9,.,5,2,143,.,.,.,.,.,1.4,.,.,.,.,.,.
Coal,.,1006,.,342.7,.,813.6,.,.,115,1150,1.6,21,482,.,9,.,3,.,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Natural gas,.,790.3,1,.,.,810,46.4,.,2.7,.,.,.,5.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
