"Table 8. Sales to ultimate customers, revenue, and average price by sector, 1990 through 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector,"Year
2024","Year
2023","Year
2022","Year
2021","Year
2020","Year
2019","Year
2018","Year
2017","Year
2016","Year
2015","Year
2014","Year
2013","Year
2012","Year
2011","Year
2010","Year
2009","Year
2008","Year
2007","Year
2006","Year
2005","Year
2004","Year
2003","Year
2002","Year
2001","Year
2000","Year
1999","Year
1998","Year
1997","Year
1996","Year
1995","Year
1994","Year
1993","Year
1992","Year
1991","Year
1990",Percent share 2000,Percent share 2010,Percent share 2020,Percent share 2024
Sales (megawatthours),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , 
Residential,45272825,43095838,46717547,46634411,46088846,46666163,47962606,43982440,45186057,45928411,46443716,45416253,43534675,45771144,48438958,44763019,44596588,45480519,42906018,44661839,42503395,40876706,40358373,37325231,37541300,35778745,34703132,33923494,34650534,33471693,32343035,32472064,29780325,29607347,28129556,38.8,42.6,39.3,32.8
Commercial,78710662,73807035,68556082,58723978,53526846,53981176,52268211,50200525,49263847,48347037,47751655,47750595,46756658,47051425,48036984,46828102,46877973,46971480,44653831,44670192,43024672,41179139,29998990,29065836,28298795,26968087,26176251,24905199,24564931,24027876,22947822,22726975,21609574,21230493,20213040,29.3,42.2,45.7,57
Industrial,13775530,15176022,16861186,19712199,17474236,17598247,17736936,17168820,17648014,17537165,17700993,17150375,17315739,17218005,17141224,16677928,18437713,18924871,18998109,19354048,19734461,19282214,19520908,19701918,20618946,20269126,20024370,19249298,19020734,18554114,18153521,17390106,16713730,16028804,16398544,21.3,15.1,14.9,10
Other,,,,,,,,,,,,,,,,,,,,,,,10740299,10360190,10256361,10016510,9704770,9342349,9359444,9108802,8765760,8782636,8344797,8244504,7955129,10.6,0,0,0
Transportation,285755,239610,129802,174608,164460,189794,198595,177947,182747,196432,202017,194604,187913,187691,188969,193414,194063,192682,163283,163473,161645,171672,,,,,,,,,,,,,,0,0.2,0.1,0.2
Total,138044772,132318505,132264617,125245196,117254388,118435380,118166348,111529732,112280665,112009045,112098381,110511827,107794985,110228265,113806135,108462463,110106337,111569552,106721241,108849552,105424173,101509731,100618570,96453175,96715402,93032468,90608523,87420340,87595643,85162485,82210138,81371781,76448426,75111148,72696269,100,100,100,100
Revenue (thousand dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , 
Residential,6524032.6,6145510.9,6233143.8,5579585.4,5542948.3,5632065.9,5624477.9,5078888.6,5131025.4,5221258.9,5155280.8,4924510,4822892.8,4871348.8,5061603.4,4747647.9,4288126.6,3975897,3641809,3644951,3397449,3173954,3144111,2907600,2822623,2677381,2607610,2628143,2632866,2625754,2507237,2458741,2273321,2173237,2038635,49.2,51.2,51.6,44.5
Commercial,6865113.6,6604436.7,6620629.3,4575241.5,4085685.9,4417181.5,4346838.4,4023032.3,3908785.1,3969544.6,3892714.8,3820166.4,3777881.5,3742883.7,3676235.9,3772480.8,3433337.7,2995928,2774956,2704508,2529644,2365003,1761586,1701360,1597907,1497523,1468599,1486605,1450684,1458299,1339129,1395465,1346642,1284045,1225466,27.8,37.2,38,46.8
Industrial,1238977.3,1353013.6,1347185.7,1279923.9,1096748,1206041.3,1216724.2,1117710,1156878.7,1218735.6,1219659.2,1136238.5,1162772.3,1118026.8,1141320.7,1152699.5,1072331.9,958560,891170,862603,842859,815395,806898,819781,803559,778452,764004,770461,758728,772389,754950,729047,715373,677829,699743,14,11.5,10.2,8.5
Other,,,,,,,,,,,,,,,,,,,,,,,552537,535052,517579,501136,483502,480533,491910,474298,493439,488558,464687,440897,422267,9,0,0,0
Transportation,26443.3,24957.9,14086.9,14822.7,14431.2,15689.8,16434.2,14430.7,14178.4,15928.8,16642,15897.2,15992.5,15472.9,14552.3,16288.4,15140,12968,11119,11127,10106,9375,,,,,,,,,,,,,,0,0.1,0.1,0.2
