date,datatype,station,attributes,value
2024-01-01T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",4.7
2024-01-01T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",6.1
2024-01-01T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",1.7
2024-01-02T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",3.8
2024-01-02T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",7.2
2024-01-02T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",0.0
2024-01-03T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",3.1
2024-01-03T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",8.9
2024-01-03T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-2.7
2024-01-04T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",3.9
2024-01-04T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",7.2
2024-01-04T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-0.5
2024-01-05T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",0.0
2024-01-05T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",5.6
2024-01-05T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-6.6
2024-01-06T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",0.6
2024-01-06T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",3.3
2024-01-06T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-3.2
2024-01-07T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",3.6
2024-01-07T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",10.6
2024-01-07T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-1.0
2024-01-08T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",5.2
2024-01-08T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",9.4
2024-01-08T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-1.0
2024-01-09T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",5.6
2024-01-09T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",15.0
2024-01-09T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",3.3
2024-01-10T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",10.2
2024-01-10T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",12.8
2024-01-10T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",3.9
2024-01-11T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",5.0
2024-01-11T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",12.2
2024-01-11T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-2.1
2024-01-12T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",3.8
2024-01-12T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",10.0
2024-01-12T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-2.7
2024-01-13T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",8.1
2024-01-13T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",9.4
2024-01-13T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-2.1
2024-01-14T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",0.9
2024-01-14T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",7.8
2024-01-14T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-2.7
2024-01-15T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",-2.6
2024-01-15T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",-1.6
2024-01-15T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-4.3
2024-01-16T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",-2.3
2024-01-16T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",-1.0
2024-01-16T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-8.2
2024-01-17T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",-6.9
2024-01-17T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",-1.0
2024-01-17T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-13.2
2024-01-18T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",-5.6
2024-01-18T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",1.7
2024-01-18T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-11.6
2024-01-19T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",-1.2
2024-01-19T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",0.0
2024-01-19T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-6.0
2024-01-20T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",-4.9
2024-01-20T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",-3.2
2024-01-20T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-11.0
2024-01-21T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",-5.0
2024-01-21T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",0.0
2024-01-21T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-8.2
2024-01-22T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",-4.9
2024-01-22T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",3.9
2024-01-22T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-13.8
2024-01-23T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",-0.1
2024-01-23T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",8.9
2024-01-23T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-6.6
2024-01-24T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",4.6
2024-01-24T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",8.3
2024-01-24T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",1.7
2024-01-25T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",12.7
2024-01-25T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",19.4
2024-01-25T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",7.2
2024-01-26T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",20.0
2024-01-26T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",26.1
2024-01-26T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",13.3
2024-01-27T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",12.5
2024-01-27T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",16.1
2024-01-27T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",5.0
2024-01-28T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",7.8
2024-01-28T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",8.3
2024-01-28T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",5.6
2024-01-29T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",6.1
2024-01-29T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",8.3
2024-01-29T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",2.8
2024-01-30T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",4.7
2024-01-30T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",6.7
2024-01-30T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",3.3
2024-01-31T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",4.1
2024-01-31T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",6.1
2024-01-31T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-1.6
2024-02-01T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",3.4
2024-02-01T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",12.8
2024-02-01T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-2.7
2024-02-02T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",8.3
2024-02-02T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",10.0
2024-02-02T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",5.0
2024-02-03T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",5.9
2024-02-03T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",11.1
2024-02-03T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-1.0
2024-02-04T00:00:00,TAVG,GHCND:USW00093738,"H,,S,",3.3
2024-02-04T00:00:00,TMAX,GHCND:USW00093738,",,W,2400",12.2
2024-02-04T00:00:00,TMIN,GHCND:USW00093738,",,W,2400",-3.2
