datetime_utc,respondent,demand_mwh
2019-01-01T00,PJM,94016.0
2019-01-01T01,PJM,90385.0
2019-01-01T02,PJM,86724.0
2019-01-01T03,PJM,82978.0
2019-01-01T04,PJM,79536.0
2019-01-01T05,PJM,76608.0
2019-01-01T06,PJM,73926.0
2019-01-01T07,PJM,72062.0
2019-01-01T08,PJM,70756.0
2019-01-01T09,PJM,69515.0
2019-01-01T10,PJM,68853.0
2019-01-01T11,PJM,68963.0
2019-01-01T12,PJM,69854.0
2019-01-01T13,PJM,70903.0
2019-01-01T14,PJM,72179.0
2019-01-01T15,PJM,74696.0
2019-01-01T16,PJM,77250.0
2019-01-01T17,PJM,78965.0
2019-01-01T18,PJM,79373.0
2019-01-01T19,PJM,79311.0
2019-01-01T20,PJM,79817.0
2019-01-01T21,PJM,80800.0
2019-01-01T22,PJM,83593.0
2019-01-01T23,PJM,89012.0
2019-01-02T00,PJM,89834.0
2019-01-02T01,PJM,89119.0
2019-01-02T02,PJM,87728.0
2019-01-02T03,PJM,85318.0
2019-01-02T04,PJM,81720.0
2019-01-02T05,PJM,78215.0
2019-01-02T06,PJM,76219.0
2019-01-02T07,PJM,75598.0
2019-01-02T08,PJM,75736.0
2019-01-02T09,PJM,75872.0
2019-01-02T10,PJM,77069.0
2019-01-02T11,PJM,81476.0
2019-01-02T12,PJM,88974.0
2019-01-02T13,PJM,94629.0
2019-01-02T14,PJM,96052.0
2019-01-02T15,PJM,96343.0
2019-01-02T16,PJM,96829.0
2019-01-02T17,PJM,96764.0
2019-01-02T18,PJM,96228.0
2019-01-02T19,PJM,96516.0
2019-01-02T20,PJM,96338.0
2019-01-02T21,PJM,96454.0
2019-01-02T22,PJM,98841.0
2019-01-02T23,PJM,103309.0
2019-01-03T00,PJM,103563.0
2019-01-03T01,PJM,102023.0
2019-01-03T02,PJM,99984.0
2019-01-03T03,PJM,95984.0
2019-01-03T04,PJM,90866.0
2019-01-03T05,PJM,86151.0
2019-01-03T06,PJM,82740.0
2019-01-03T07,PJM,80814.0
2019-01-03T08,PJM,80448.0
2019-01-03T09,PJM,80257.0
2019-01-03T10,PJM,81009.0
2019-01-03T11,PJM,84212.0
2019-01-03T12,PJM,91596.0
2019-01-03T13,PJM,96677.0
2019-01-03T14,PJM,97188.0
2019-01-03T15,PJM,96808.0
2019-01-03T16,PJM,96840.0
2019-01-03T17,PJM,96041.0
2019-01-03T18,PJM,95078.0
2019-01-03T19,PJM,94238.0
2019-01-03T20,PJM,93218.0
2019-01-03T21,PJM,93287.0
2019-01-03T22,PJM,95547.0
2019-01-03T23,PJM,101637.0
2019-01-04T00,PJM,103784.0
2019-01-04T01,PJM,103292.0
2019-01-04T02,PJM,101909.0
2019-01-04T03,PJM,98959.0
2019-01-04T04,PJM,94328.0
2019-01-04T05,PJM,90254.0
2019-01-04T06,PJM,87368.0
