,,,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
US-DC,"Special region: US-DC",total,1.09096,1.05516,0.97198,0.95184,1.05575,1.05408,1.30819,1.30806,1.06896,0.97046,0.9357,1.04575,1.09431,0.99645,1.14379,0.92841,0.79654,1.20532,1.38079,1.37397,1.17484,1.00338,0.9828,1.09131,0.90375,0.98094,1.03017,0.92953,1.02495,1.22073,1.15216,1.11356,1.12091,1.10342,1.07908,1.02266,1.04961,1.0534,0.96603,0.9457,1.07171,1.17276,1.27667,1.27768,1.11432,1.05314,0.9818,1.10948,1.51137,1.38835,1.3425,,,1.79045,1.86789,1.67542,1.54176,1.39015,,,1.59824,1.31683,,1.30136,1.42746,1.59203,1.69767,1.80435,,,,1.52739,,,1.19695,1.15608,1.36227,1.63516,1.68885,1.62837,1.3995,1.23003,,1.41775,1.08799,0.91531,0.95023,0.89039,1.02601,1.15712,1.33605,1.15887,1.0144,0.94071,0.9057,0.96698,1.00257,0.90021,0.89383,0.87409,1.02527,1.07087,1.30247,1.21047,0.99138,0.90915,0.9367,0.94406,0.87303,0.90504,1.04459,0.84554,0.94973,1.08569,1.25183,1.18151,0.94223,0.91645,0.87355,0.97908,1.07512,0.94286,0.99101,0.9175,0.95465,1.05008,1.18864,1.06473,0.9842,0.93437,0.91251,0.96989,1.09152,1.02682,0.98288,0.9059,0.97116,1.10611,1.20822,1.15273,1.05352,0.83075,0.89224,0.9129,1.04899,1.069,0.99122,0.82809,0.90754,1.11989,1.21756,1.23555,1.06693,0.94224,0.8782,0.9563,0.99342,0.85988,0.93424,0.86321,0.91502,1.06761,1.19586,1.11163,0.98676,0.94558,0.88402,0.97576,1.06305,0.88803,1.02155,0.88191,0.94998,1.03355,1.19127,1.17662,1.06065,0.99162,0.96207,0.9679,1.03051,0.89598,0.97446,0.85131,0.99985,1.02176,1.23103,1.17698,1.03852,0.91556,0.87695,0.9289,0.9757,0.88036,0.80897,0.77173,0.82779,0.80489,1.09755,1.00117,0.89212,0.79631,0.81307,0.91064,0.93346,0.82592,0.81288,0.74844,0.87409,0.95281,1.13525,1.12423,0.89089,0.85335,0.88246,0.88917,0.99678,0.87095,0.88169,0.76199,0.87324,1.0022,1.12824,1.07235,0.95295,0.8436,0.82776,0.88026,0.90818,0.83907,0.81985,0.8118,0.77661,0.90433,1.08034,1.04496,1.05154,0.82264,0.82831,0.83547,0.9541,0.83975,0.89071,0.77354,0.8522,0.98865,1.14755,1.13019,0.93377,0.78893,0.75338,1.04182,1.06379,0.88806,0.91474,0.8371,0.87814,1.07868,1.19543,1.0183,,,,
US-DC,"Special region: US-DC",lowcarbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00185,0.00211,0.00265,0.00278,0.00302,0.00305,0.00315,0.00301,0.00261,0.00238,0.00194,0.00196,0.00203,0.00228,0.00287,0.00303,0.00331,0.00711,0.00793,0.00759,0.00677,0.0071,0.00662,0.0068,0.00552,0.00539,0.00685,0.0074,0.00766,0.00754,0.00784,0.00782,0.00716,0.00684,0.00697,0.0075,0.00811,0.00692,0.00922,0.00835,0.00855,0.00723,0.01075,0.00753,0.0068,0.00914,0.00773,0.00884,0.00807,0.00973,0.0116,0.01126,0.01184,0.01147,0.01216,0.01169,0.01051,0.01044,0.00922,0.00988,0.01035,0.01094,0.01295,0.01362,0.01464,0.01472,0.01558,0.01534,0.01352,0.01248,0.01207,0.01207,0.01276,0.01359,0.01646,0.01673,0.01765,0.01771,0.01722,0.01678,0.01565,0.01532,0.01325,0.01296,0.01399,0.01416,0.0179,0.01987,0.02214,0.0213,0.02193,0.02102,0.01892,0.0183,0.01617,0.01607,0.01685,0.01779,0.02243,0.02304,0.02492,0.0249,0.02488,0.02407,0.02149,0.02077,0.01737,0.01729,0.01823,0.01961,0.02516,0.02627,0.02851,0.02847,0.02864,0.02732,0.02417,0.02323,0.0198,0.01947,0.02038,0.02395,0.02879,0.03069,0.03351,0.03393,0.03443,0.03399,0.02968,0.02901,0.02339,0.02276,0.02454,0.02717,0.03498,0.03684,0.04057,0.04031,0.04143,0.03976,,,,
US-DC,"Special region: US-DC",fossil,0.01582,0.00183,0.00055,-0.00056,0.00267,0.00615,0.00168,0.00461,0.001,-0.00063,-0.0007,0.00407,0.00209,0.00021,-0.00109,-0.0006,-0.00061,0.04234,0.09049,0.07528,0.00397,0.00917,0,0.00479,0.00235,0.00147,-0.00033,0.00015,0.00171,0.00374,0.02255,0.04775,-0.00052,0.00055,-0.00066,0.00269,-0.00052,0.00268,-0.00024,-0.00032,-0.00032,0.01414,0.01131,0.04058,0.00552,0.00364,-0.00071,-0.00052,0.003,0.00126,0.0004,,,0.05012,0.00874,0.00548,0.00058,0.00274,,,0.0058,0.00287,,0.00058,0.00018,0.00792,0.00606,0.01168,,,,0.00041,,,0.00233,0.00081,0.02393,0.07442,0.05094,0.02399,0.0147,0.00338,,0.00537,0.00676,0.00425,0.00493,0.00549,0.00916,0.03128,0.08062,0.03287,0.00882,0.00592,0.00514,0.00564,0.00538,0.00438,0.00481,0.00716,0.01186,0.00572,0.00674,0.00624,0.00568,0.00492,0.00414,0.00475,0.00505,0.00505,0.00511,0.00499,0.00534,0.00597,0.00642,0.00669,0.00605,0.00559,0.00481,0.00479,0.00523,0.00384,0.00502,0.00525,0.00584,0.00626,0.00688,0.00724,0.00638,0.0056,0.00484,0.00524,0.00171,0.00158,0.00167,0.00171,0.00195,0.00216,0.00233,0.00226,0.00204,0.0018,0.00175,0.00179,0.0019,0.00173,0.0018,0.00174,0.00195,0.00224,0.00261,0.00259,0.00211,0.00178,0.00163,0.00162,0.00445,0.00188,0.00391,7.0E-5,0.00106,0.00391,0.00036,0.00034,0.003,0,0.00012,0.0006,0.00266,0.00229,0.00307,0,-0.0009,0.00222,0.00454,0.00037,0.00186,-0.00073,-0.0002,0.00315,0.0101,0.00771,0.00984,0.00857,0.00728,0.01023,0.00857,0.00902,0.00951,0.00903,0.00811,0.01216,0.01194,0.01272,0.00887,0.00576,0.0064,0.01027,0.01398,0.01479,0.01323,0.01278,0.00989,0.0129,0.01216,0.0114,0.01228,0.00638,0.0107,0.01346,0.01452,0.01347,0.01296,0.00935,0.01058,0.00982,0.00549,0.00472,0.00871,0.00797,0.00965,0.00666,0.00735,0.00741,0.00623,0.00547,0.00524,0.00536,0.00457,0.00543,0.00763,0.00986,0.01007,0.00871,0.01015,0.01005,0.00946,0.00449,0.00435,0.00446,0.0068,0.00765,0.00948,0.00361,0.0063,0.01109,0.0107,0.00983,0.01067,0.00569,0.00851,0.00926,0.00957,0.00962,0.00548,0,0,0.00781,0.00938,0.0091,,,,
US-DC,"Special region: US-DC",renewables-including-hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00185,0.00211,0.00265,0.00278,0.00302,0.00305,0.00315,0.00301,0.00261,0.00238,0.00194,0.00196,0.00203,0.00228,0.00287,0.00303,0.00331,0.00711,0.00793,0.00759,0.00677,0.0071,0.00662,0.0068,0.00552,0.00539,0.00685,0.0074,0.00766,0.00754,0.00784,0.00782,0.00716,0.00684,0.00697,0.0075,0.00811,0.00692,0.00922,0.00835,0.00855,0.00723,0.01075,0.00753,0.0068,0.00914,0.00773,0.00884,0.00807,0.00973,0.0116,0.01126,0.01184,0.01147,0.01216,0.01169,0.01051,0.01044,0.00922,0.00988,0.01035,0.01094,0.01295,0.01362,0.01464,0.01472,0.01558,0.01534,0.01352,0.01248,0.01207,0.01207,0.01276,0.01359,0.01646,0.01673,0.01765,0.01771,0.01722,0.01678,0.01565,0.01532,0.01325,0.01296,0.01399,0.01416,0.0179,0.01987,0.02214,0.0213,0.02193,0.02102,0.01892,0.0183,0.01617,0.01607,0.01685,0.01779,0.02243,0.02304,0.02492,0.0249,0.02488,0.02407,0.02149,0.02077,0.01737,0.01729,0.01823,0.01961,0.02516,0.02627,0.02851,0.02847,0.02864,0.02732,0.02417,0.02323,0.0198,0.01947,0.02038,0.02395,0.02879,0.03069,0.03351,0.03393,0.03443,0.03399,0.02968,0.02901,0.02339,0.02276,0.02454,0.02717,0.03498,0.03684,0.04057,0.04031,0.04143,0.03976,,,,
US-DC,"Special region: US-DC",renewables-except-hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00185,0.00211,0.00265,0.00278,0.00302,0.00305,0.00315,0.00301,0.00261,0.00238,0.00194,0.00196,0.00203,0.00228,0.00287,0.00303,0.00331,0.00711,0.00793,0.00759,0.00677,0.0071,0.00662,0.0068,0.00552,0.00539,0.00685,0.0074,0.00766,0.00754,0.00784,0.00782,0.00716,0.00684,0.00697,0.0075,0.00811,0.00692,0.00922,0.00835,0.00855,0.00723,0.01075,0.00753,0.0068,0.00914,0.00773,0.00884,0.00807,0.00973,0.0116,0.01126,0.01184,0.01147,0.01216,0.01169,0.01051,0.01044,0.00922,0.00988,0.01035,0.01094,0.01295,0.01362,0.01464,0.01472,0.01558,0.01534,0.01352,0.01248,0.01207,0.01207,0.01276,0.01359,0.01646,0.01673,0.01765,0.01771,0.01722,0.01678,0.01565,0.01532,0.01325,0.01296,0.01399,0.01416,0.0179,0.01987,0.02214,0.0213,0.02193,0.02102,0.01892,0.0183,0.01617,0.01607,0.01685,0.01779,0.02243,0.02304,0.02492,0.0249,0.02488,0.02407,0.02149,0.02077,0.01737,0.01729,0.01823,0.01961,0.02516,0.02627,0.02851,0.02847,0.02864,0.02732,0.02417,0.02323,0.0198,0.01947,0.02038,0.02395,0.02879,0.03069,0.03351,0.03393,0.03443,0.03399,0.02968,0.02901,0.02339,0.02276,0.02454,0.02717,0.03498,0.03684,0.04057,0.04031,0.04143,0.03976,,,,
US-DC,"Special region: US-DC",wind-and-solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00185,0.00211,0.00265,0.00278,0.00302,0.00305,0.00315,0.00301,0.00261,0.00238,0.00194,0.00196,0.00203,0.00228,0.00287,0.00303,0.00331,0.00329,0.00335,0.00319,0.00274,0.00247,0.00196,0.00191,0.00101,0.00119,0.00246,0.00273,0.00301,0.00317,0.00341,0.00343,0.00317,0.00295,0.0026,0.00261,0.00285,0.0033,0.00424,0.00455,0.005,0.00521,0.00544,0.00526,0.0046,0.00445,0.00356,0.00354,0.0038,0.00443,0.00582,0.00615,0.00712,0.00714,0.0076,0.00736,0.00636,0.00591,0.00481,0.0048,0.00576,0.00652,0.00844,0.00897,0.01026,0.01034,0.0108,0.01041,0.00932,0.00847,0.00701,0.00686,0.00755,0.00874,0.01099,0.01172,0.01292,0.01309,0.01366,0.01305,0.01139,0.01064,0.00877,0.00871,0.00938,0.01066,0.01372,0.01467,0.01682,0.01666,0.01733,0.0168,0.01461,0.01351,0.01112,0.01078,0.01168,0.01338,0.0169,0.018,0.01982,0.0201,0.02038,0.01974,0.01713,0.01595,0.0126,0.01245,0.01308,0.01518,0.01969,0.02117,0.02326,0.02331,0.02407,0.02322,0.02001,0.01829,0.01501,0.0146,0.01543,0.01913,0.02365,0.02576,0.02819,0.02942,0.03022,0.02993,0.02537,0.02412,0.01902,0.01835,0.02091,0.0235,0.03036,0.03249,0.03552,0.03599,0.03696,0.03537,,,,
US-DC,"Special region: US-DC",geothermal-and-biofuels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.00382,0.00458,0.0044,0.00403,0.00463,0.00466,0.00489,0.00451,0.0042,0.00439,0.00467,0.00465,0.00437,0.00443,0.00439,0.00399,0.00389,0.00437,0.00489,0.00526,0.00362,0.00498,0.0038,0.00355,0.00202,0.00531,0.00227,0.0022,0.00469,0.00417,0.0053,0.00427,0.0053,0.00578,0.00511,0.00472,0.00433,0.00456,0.00433,0.00415,0.00453,0.00441,0.00508,0.0046,0.00442,0.00452,0.00465,0.00438,0.00438,0.00478,0.00494,0.0042,0.00401,0.00506,0.00521,0.00521,0.00484,0.00547,0.00501,0.00473,0.00462,0.00356,0.00373,0.00426,0.00469,0.00447,0.00425,0.00461,0.0035,0.00418,0.00521,0.00532,0.00464,0.00461,0.00422,0.00432,0.00479,0.00504,0.00529,0.00518,0.00441,0.00553,0.00505,0.00511,0.00481,0.0045,0.00433,0.00436,0.00482,0.00477,0.00484,0.00515,0.00443,0.00547,0.0051,0.00525,0.00516,0.00457,0.00411,0.00416,0.00494,0.00479,0.00487,0.00495,0.00482,0.00514,0.00492,0.00532,0.00452,0.00421,0.00407,0.00431,0.00488,0.00437,0.00441,0.00363,0.00367,0.00462,0.00435,0.00505,0.00432,0.00447,0.00439,,,,
US-DC,"Special region: US-DC",solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00185,0.00211,0.00265,0.00278,0.00302,0.00305,0.00315,0.00301,0.00261,0.00238,0.00194,0.00196,0.00203,0.00228,0.00287,0.00303,0.00331,0.00329,0.00335,0.00319,0.00274,0.00247,0.00196,0.00191,0.00101,0.00119,0.00246,0.00273,0.00301,0.00317,0.00341,0.00343,0.00317,0.00295,0.0026,0.00261,0.00285,0.0033,0.00424,0.00455,0.005,0.00521,0.00544,0.00526,0.0046,0.00445,0.00356,0.00354,0.0038,0.00443,0.00582,0.00615,0.00712,0.00714,0.0076,0.00736,0.00636,0.00591,0.00481,0.0048,0.00576,0.00652,0.00844,0.00897,0.01026,0.01034,0.0108,0.01041,0.00932,0.00847,0.00701,0.00686,0.00755,0.00874,0.01099,0.01172,0.01292,0.01309,0.01366,0.01305,0.01139,0.01064,0.00877,0.00871,0.00938,0.01066,0.01372,0.01467,0.01682,0.01666,0.01733,0.0168,0.01461,0.01351,0.01112,0.01078,0.01168,0.01338,0.0169,0.018,0.01982,0.0201,0.02038,0.01974,0.01713,0.01595,0.0126,0.01245,0.01308,0.01518,0.01969,0.02117,0.02326,0.02331,0.02407,0.02322,0.02001,0.01829,0.01501,0.0146,0.01543,0.01913,0.02365,0.02576,0.02819,0.02942,0.03022,0.02993,0.02537,0.02412,0.01902,0.01835,0.02091,0.0235,0.03036,0.03249,0.03552,0.03599,0.03696,0.03537,,,,
US-DC,"Special region: US-DC",solar-utility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00044,0.00043,0.00067,0.0007,0.00102,0.0009,0.00096,0.00088,0.0009,0.00073,0.00066,0.00055,0.00068,0.00072,0.00114,0.00126,0.0014,0.00127,0.00136,0.00119,0.00101,0.001,0.00084,0.00082,0.00078,0.00077,0.00115,0.00136,0.00217,0.00193,0.00206,0.00191,0.00185,0.00165,0.00148,0.00117,0.00129,0.00145,0.00187,0.00216,0.00243,0.00244,0.00226,0.00211,0.00191,0.00187,0.00128,0.0012,0.001,0.00141,0.00212,0.00267,0.00295,0.00277,0.00289,0.00265,0.002,0.00173,0.00145,0.00097,0.00077,0.00179,0.00235,0.00266,0.00276,0.00359,0.00366,0.00427,0.00306,0.00335,0.00203,0.00138,0.00255,0.00262,0.0041,0.00452,0.00487,0.00519,0.00548,0.00515,,,,
US-DC,"Special region: US-DC",solar-btm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00185,0.00211,0.00265,0.00278,0.00302,0.00305,0.00315,0.00301,0.00261,0.00238,0.00194,0.00196,0.00203,0.00228,0.00287,0.00303,0.00331,0.00329,0.00335,0.00319,0.00274,0.00247,0.00196,0.00191,0.00101,0.00119,0.00246,0.00273,0.00301,0.00317,0.00341,0.00343,0.00317,0.00295,0.0026,0.00261,0.00285,0.0033,0.00424,0.00455,0.005,0.00521,0.00544,0.00526,0.0046,0.00445,0.00356,0.00354,0.0038,0.00443,0.00582,0.00615,0.00712,0.00714,0.0076,0.00736,0.00636,0.00591,0.00481,0.0048,0.00532,0.00609,0.00777,0.00827,0.00924,0.00944,0.00984,0.00953,0.00842,0.00774,0.00635,0.00631,0.00687,0.00802,0.00985,0.01046,0.01152,0.01182,0.0123,0.01186,0.01038,0.00964,0.00793,0.00789,0.0086,0.00989,0.01257,0.01331,0.01465,0.01473,0.01527,0.01489,0.01276,0.01186,0.00964,0.00961,0.01039,0.01193,0.01503,0.01584,0.01739,0.01766,0.01812,0.01763,0.01522,0.01408,0.01132,0.01125,0.01208,0.01377,0.01757,0.0185,0.02031,0.02054,0.02118,0.02057,0.01801,0.01656,0.01356,0.01363,0.01466,0.01734,0.0213,0.0231,0.02543,0.02583,0.02656,0.02566,0.02231,0.02077,0.01699,0.01697,0.01836,0.02088,0.02626,0.02797,0.03065,0.0308,0.03148,0.03022,,,,
