datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,RTO,RTO,RTO,RTO,79399.421,False
2/28/2023 6:00:00 AM,2/28/2023 1:00:00 AM,RTO,RTO,RTO,RTO,77349.440,False
2/28/2023 7:00:00 AM,2/28/2023 2:00:00 AM,RTO,RTO,RTO,RTO,76390.990,False
2/28/2023 8:00:00 AM,2/28/2023 3:00:00 AM,RTO,RTO,RTO,RTO,76338.686,False
2/28/2023 9:00:00 AM,2/28/2023 4:00:00 AM,RTO,RTO,RTO,RTO,78150.217,False
2/28/2023 10:00:00 AM,2/28/2023 5:00:00 AM,RTO,RTO,RTO,RTO,82421.235,False
2/28/2023 11:00:00 AM,2/28/2023 6:00:00 AM,RTO,RTO,RTO,RTO,89417.676,False
2/28/2023 12:00:00 PM,2/28/2023 7:00:00 AM,RTO,RTO,RTO,RTO,93585.074,False
2/28/2023 1:00:00 PM,2/28/2023 8:00:00 AM,RTO,RTO,RTO,RTO,94572.327,False
2/28/2023 2:00:00 PM,2/28/2023 9:00:00 AM,RTO,RTO,RTO,RTO,94034.888,False
2/28/2023 3:00:00 PM,2/28/2023 10:00:00 AM,RTO,RTO,RTO,RTO,93266.685,False
2/28/2023 4:00:00 PM,2/28/2023 11:00:00 AM,RTO,RTO,RTO,RTO,91845.013,False
2/28/2023 5:00:00 PM,2/28/2023 12:00:00 PM,RTO,RTO,RTO,RTO,90235.972,False
2/28/2023 6:00:00 PM,2/28/2023 1:00:00 PM,RTO,RTO,RTO,RTO,88645.129,False
2/28/2023 7:00:00 PM,2/28/2023 2:00:00 PM,RTO,RTO,RTO,RTO,87236.184,False
2/28/2023 8:00:00 PM,2/28/2023 3:00:00 PM,RTO,RTO,RTO,RTO,86465.109,False
2/28/2023 9:00:00 PM,2/28/2023 4:00:00 PM,RTO,RTO,RTO,RTO,87111.516,False
2/28/2023 10:00:00 PM,2/28/2023 5:00:00 PM,RTO,RTO,RTO,RTO,89702.905,False
2/28/2023 11:00:00 PM,2/28/2023 6:00:00 PM,RTO,RTO,RTO,RTO,93309.202,False
3/1/2023 12:00:00 AM,2/28/2023 7:00:00 PM,RTO,RTO,RTO,RTO,94360.428,False
3/1/2023 1:00:00 AM,2/28/2023 8:00:00 PM,RTO,RTO,RTO,RTO,93179.264,False
3/1/2023 2:00:00 AM,2/28/2023 9:00:00 PM,RTO,RTO,RTO,RTO,90524.789,False
3/1/2023 3:00:00 AM,2/28/2023 10:00:00 PM,RTO,RTO,RTO,RTO,86752.615,False
3/1/2023 4:00:00 AM,2/28/2023 11:00:00 PM,RTO,RTO,RTO,RTO,83217.967,False
3/1/2023 5:00:00 AM,3/1/2023 12:00:00 AM,RTO,RTO,RTO,RTO,80767.446,False
3/1/2023 6:00:00 AM,3/1/2023 1:00:00 AM,RTO,RTO,RTO,RTO,79821.738,False
3/1/2023 7:00:00 AM,3/1/2023 2:00:00 AM,RTO,RTO,RTO,RTO,79546.199,False
3/1/2023 8:00:00 AM,3/1/2023 3:00:00 AM,RTO,RTO,RTO,RTO,80151.862,False
3/1/2023 9:00:00 AM,3/1/2023 4:00:00 AM,RTO,RTO,RTO,RTO,82289.774,False
3/1/2023 10:00:00 AM,3/1/2023 5:00:00 AM,RTO,RTO,RTO,RTO,87320.327,False
3/1/2023 11:00:00 AM,3/1/2023 6:00:00 AM,RTO,RTO,RTO,RTO,94750.077,False
3/1/2023 12:00:00 PM,3/1/2023 7:00:00 AM,RTO,RTO,RTO,RTO,97599.267,False
3/1/2023 1:00:00 PM,3/1/2023 8:00:00 AM,RTO,RTO,RTO,RTO,94666.000,False
3/1/2023 2:00:00 PM,3/1/2023 9:00:00 AM,RTO,RTO,RTO,RTO,90903.064,False
3/1/2023 3:00:00 PM,3/1/2023 10:00:00 AM,RTO,RTO,RTO,RTO,88150.821,False
3/1/2023 4:00:00 PM,3/1/2023 11:00:00 AM,RTO,RTO,RTO,RTO,86226.123,False
3/1/2023 5:00:00 PM,3/1/2023 12:00:00 PM,RTO,RTO,RTO,RTO,84996.136,False
