date,avg_wind_speed_mph,precipitation_inches,avg_relative_humidity_pct,snowfall_inches,snow_depth_inches,avg_temp_f,max_temp_f,min_temp_f,max_wind_speed_2min_mph,max_wind_speed_5sec_mph,year,month
2015-01-01,6.9,0.0,58.0,0.0,0.0,28.0,42.0,18.0,17.0,21.9,2015,1
2015-01-02,0.4,0.0,69.0,0.0,0.0,32.0,44.0,23.0,6.9,8.1,2015,1
2015-01-03,2.0,0.56,92.0,0.0,0.0,33.0,38.0,24.0,6.9,8.9,2015,1
2015-01-04,12.8,0.28,86.0,0.0,0.0,46.0,60.0,38.0,30.0,36.0,2015,1
2015-01-05,16.1,0.0,42.0,0.0,0.0,40.0,46.0,24.0,33.1,40.0,2015,1
2015-01-06,3.6,0.28,77.0,4.2,1.2,24.0,28.0,12.0,8.9,13.0,2015,1
2015-01-07,13.4,0.0,59.0,0.0,3.1,18.0,22.0,9.0,29.1,36.9,2015,1
2015-01-08,9.4,0.0,42.0,0.0,2.0,11.0,21.0,3.0,29.1,36.9,2015,1
2015-01-09,10.7,0.0,43.0,0.0,2.0,26.0,36.0,21.0,25.1,35.1,2015,1
2015-01-10,5.1,0.0,50.0,0.0,2.0,20.0,25.0,8.0,16.1,21.9,2015,1
2015-01-11,3.1,0.0,59.0,0.0,2.0,19.0,39.0,7.0,15.0,25.1,2015,1
2015-01-12,4.5,0.62,93.0,0.0,1.2,34.0,38.0,32.0,14.1,17.0,2015,1
2015-01-13,11.4,0.0,58.0,0.0,0.0,33.0,38.0,22.0,21.9,25.9,2015,1
2015-01-14,6.5,0.0,74.0,0.0,0.0,24.0,28.0,21.0,12.1,14.1,2015,1
2015-01-15,2.7,0.0,76.0,0.0,0.0,30.0,36.0,22.0,12.1,14.1,2015,1
2015-01-16,8.7,0.0,68.0,0.0,0.0,29.0,42.0,19.0,28.0,33.1,2015,1
2015-01-17,6.9,0.0,59.0,0.0,0.0,30.0,37.0,20.0,14.1,18.1,2015,1
2015-01-18,5.1,0.0,83.0,0.0,0.0,35.0,43.0,30.0,21.0,28.0,2015,1
2015-01-19,6.3,0.0,59.0,0.0,0.0,39.0,46.0,25.0,21.9,25.9,2015,1
2015-01-20,1.3,0.0,76.0,0.0,0.0,32.0,46.0,21.0,13.0,21.9,2015,1
2015-01-21,1.6,0.16,93.0,2.2,0.0,30.0,33.0,25.0,8.1,8.9,2015,1
2015-01-22,7.8,0.01,76.0,0.0,1.2,35.0,44.0,30.0,25.1,32.0,2015,1
2015-01-23,4.7,0.68,79.0,0.3,0.0,33.0,40.0,23.0,13.0,16.1,2015,1
2015-01-24,9.2,0.37,80.0,0.0,0.0,35.0,42.0,32.0,21.9,28.0,2015,1
2015-01-25,4.3,0.0,63.0,0.0,0.0,39.0,47.0,33.0,14.1,,2015,1
2015-01-26,10.3,0.23,87.0,1.7,0.0,37.0,43.0,26.0,18.1,21.9,2015,1
2015-01-27,15.7,0.02,70.0,0.2,2.0,28.0,32.0,26.0,23.9,31.1,2015,1
2015-01-28,11.9,0.0,47.0,0.0,1.2,27.0,35.0,18.0,23.9,31.1,2015,1
2015-01-29,5.4,0.05,63.0,0.1,1.2,24.0,36.0,14.0,13.0,18.1,2015,1
2015-01-30,18.3,0.0,54.0,0.0,1.2,35.0,39.0,19.0,36.9,47.0,2015,1
2015-01-31,9.4,0.0,50.0,0.0,0.0,23.0,34.0,16.0,28.0,35.1,2015,1
2015-02-01,4.9,0.05,,0.0,0.0,28.0,41.0,18.0,13.0,15.0,2015,2
2015-02-02,13.9,0.15,,0.0,0.0,37.0,47.0,23.0,38.9,51.0,2015,2
2015-02-03,7.6,0.0,,0.0,0.0,26.0,36.0,21.0,21.0,25.9,2015,2
2015-02-04,6.9,0.0,,0.0,0.0,34.0,54.0,21.0,16.1,21.0,2015,2
2015-02-05,16.6,0.0,,0.0,0.0,35.0,41.0,17.0,35.1,42.9,2015,2
2015-02-06,5.8,0.0,,0.0,0.0,21.0,36.0,9.0,16.1,19.9,2015,2
2015-02-07,2.5,0.0,,0.0,0.0,31.0,47.0,17.0,10.1,25.1,2015,2
2015-02-08,3.8,0.0,,0.0,0.0,38.0,60.0,27.0,10.1,,2015,2
2015-02-09,7.4,0.11,,0.0,0.0,38.0,39.0,32.0,13.0,28.0,2015,2
2015-02-10,12.3,0.0,,0.0,0.0,33.0,38.0,29.0,21.0,28.0,2015,2
2015-02-11,5.1,0.0,,0.0,0.0,33.0,45.0,25.0,13.0,15.0,2015,2
2015-02-12,13.9,0.0,,0.0,0.0,35.0,40.0,17.0,35.1,48.1,2015,2
2015-02-13,10.5,0.0,,0.0,0.0,19.0,27.0,11.0,28.0,38.0,2015,2
2015-02-14,12.5,0.03,,0.7,0.0,26.0,42.0,13.0,44.1,53.0,2015,2
2015-02-15,26.6,0.0,,0.0,0.0,14.0,18.0,6.0,45.0,55.9,2015,2
2015-02-16,6.7,0.27,,2.5,0.0,10.0,16.0,6.0,21.0,25.1,2015,2
2015-02-17,3.6,0.12,,1.4,3.9,17.0,28.0,7.0,14.1,17.0,2015,2
2015-02-18,8.9,0.0,,0.4,2.0,17.0,33.0,2.0,31.1,38.9,2015,2
2015-02-19,17.7,0.0,,0.1,2.0,14.0,15.0,6.0,28.0,36.0,2015,2
2015-02-20,8.9,0.0,,0.0,2.0,9.0,19.0,0.0,23.9,36.0,2015,2
2015-02-21,8.5,0.93,,8.9,2.0,16.0,33.0,9.0,18.1,25.1,2015,2
2015-02-22,2.9,0.0,,0.0,7.1,36.0,46.0,32.0,10.1,13.0,2015,2
2015-02-23,12.5,0.0,,0.0,3.1,31.0,38.0,11.0,21.0,32.0,2015,2
2015-02-24,5.4,0.0,,0.0,3.1,15.0,27.0,-4.0,17.0,21.0,2015,2
2015-02-25,3.8,0.0,,0.0,3.1,23.0,38.0,6.0,8.9,10.1,2015,2
2015-02-26,4.5,0.1,,2.1,3.9,32.0,34.0,28.0,13.0,16.1,2015,2
2015-02-27,8.7,0.0,,0.0,3.9,28.0,31.0,20.0,17.0,21.9,2015,2
2015-02-28,3.8,0.0,,0.0,3.9,22.0,30.0,12.0,13.0,16.1,2015,2
2015-03-01,4.5,0.31,78.0,0.1,3.9,24.0,31.0,19.0,23.9,25.1,2015,3
2015-03-02,10.1,0.0,61.0,0.0,3.9,35.0,41.0,27.0,31.1,40.9,2015,3
2015-03-03,8.7,0.0,61.0,0.0,3.1,30.0,37.0,25.0,21.9,29.1,2015,3
2015-03-04,4.9,0.33,91.0,0.0,2.0,39.0,46.0,36.0,19.9,28.0,2015,3
2015-03-05,12.3,0.88,82.0,9.5,1.2,33.0,41.0,18.0,23.9,31.1,2015,3
2015-03-06,4.9,0.0,58.0,0.0,5.1,18.0,27.0,6.0,17.0,21.9,2015,3
2015-03-07,6.9,0.0,60.0,0.0,3.9,20.0,47.0,2.0,21.0,28.0,2015,3
2015-03-08,3.1,0.0,59.0,0.0,2.0,41.0,55.0,25.0,15.0,17.0,2015,3
2015-03-09,0.7,0.0,61.0,0.0,0.0,42.0,61.0,30.0,8.9,23.0,2015,3
2015-03-10,1.3,0.53,87.0,0.0,0.0,39.0,45.0,30.0,6.9,23.0,2015,3
2015-03-11,4.7,0.0,74.0,0.0,0.0,49.0,62.0,41.0,18.1,25.1,2015,3
2015-03-12,8.1,0.0,41.0,0.0,0.0,48.0,56.0,31.0,18.1,23.0,2015,3
2015-03-13,5.6,0.0,49.0,0.0,0.0,40.0,51.0,26.0,15.0,19.9,2015,3
2015-03-14,7.6,0.55,89.0,0.0,0.0,47.0,57.0,41.0,16.1,19.9,2015,3
2015-03-15,14.5,0.0,57.0,0.0,0.0,49.0,55.0,35.0,36.0,47.0,2015,3
2015-03-16,3.1,0.0,61.0,0.0,0.0,45.0,69.0,29.0,12.1,16.1,2015,3
2015-03-17,14.3,0.0,48.0,0.0,0.0,55.0,69.0,36.0,31.1,36.9,2015,3
2015-03-18,10.5,0.0,35.0,0.0,0.0,39.0,49.0,25.0,25.9,32.0,2015,3
2015-03-19,2.9,0.0,43.0,0.0,0.0,40.0,51.0,30.0,12.1,18.1,2015,3
2015-03-20,5.4,0.54,89.0,0.9,0.0,37.0,43.0,33.0,12.1,25.9,2015,3
2015-03-21,4.9,0.0,71.0,0.0,0.0,41.0,61.0,29.0,16.1,19.9,2015,3
2015-03-22,10.1,0.0,39.0,0.0,0.0,48.0,54.0,39.0,21.0,28.0,2015,3
2015-03-23,6.5,0.0,34.0,0.0,0.0,40.0,47.0,32.0,13.0,16.1,2015,3
