rel_path,kind,size_bytes,encoding,rows,cols,columns,timestamp_columns,ts_min,ts_max,missing_ratio_sample,quality_flags,notes
EIA923_Schedules_2_3_4_5_M_11_2025_21JAN2026.xlsx,xlsx,20048177,binary,0,0,,,,,0.0,xlsx_read_error,Missing optional dependency 'openpyxl'.  Use pip or conda to install openpyxl.
ashburn_va_temperature_2019.csv,csv,216534,utf-8-sig,8760,2,"timestamp,temperature_c",timestamp,2019-01-01T00:00:00+00:00,2019-12-31T23:00:00+00:00,0.0,,
ashburn_va_temperature_2024.csv,csv,64553,utf-8-sig,1098,5,"date,datatype,station,attributes,value",date,2024-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,0.0,,
cleaned/ashburn_va_temperature_2019_cleaned.csv,csv,225295,utf-8-sig,8760,2,"timestamp,temperature_c",timestamp,2019-01-01T00:00:00+00:00,2019-12-31T23:00:00+00:00,0.0,,
cleaned/ashburn_va_temperature_2024_cleaned.csv,csv,54671,utf-8-sig,1098,5,"date,datatype,station,attributes,value",date,2024-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,0.0,,
cleaned/google_cluster_plus_power_2019_cellb_hourly.csv,csv,67440,utf-8-sig,743,6,"real_timestamp,avg_cpu_utilization,num_tasks_sampled,measured_power_util,production_power_util,sample_count",real_timestamp,2019-05-01T07:00:00+00:00,2019-06-01T06:00:00+00:00,0.0,,
cleaned/google_cluster_utilization_2019_cellb_hourly_cleaned.csv,csv,40173,utf-8-sig,745,3,"real_timestamp,avg_cpu_utilization,num_tasks_sampled",real_timestamp,2019-05-01T06:00:00+00:00,2019-06-01T06:00:00+00:00,0.0,,
cleaned/google_cluster_utilization_2019_cleaned.csv,csv,103885,utf-8-sig,2000,4,"real_timestamp,hour_of_day,avg_cpu_utilization,num_tasks_sampled",real_timestamp,2019-05-01T00:10:00+00:00,2019-05-01T00:43:19+00:00,0.0,,
cleaned/google_power_utilization_2019_cellb_hourly.csv,csv,47450,utf-8-sig,743,4,"real_timestamp,measured_power_util,production_power_util,sample_count",real_timestamp,2019-05-01T07:00:00+00:00,2019-06-01T06:00:00+00:00,0.0,,
cleaned/noaa_global_hourly_dulles_2019_2024_cleaned.csv,csv,2407340,utf-8-sig,52608,6,"timestamp,temperature_c,dew_point_c,sea_level_pressure_hpa,wind_speed_mps,visibility_m",timestamp,2019-01-01T00:00:00+00:00,2020-02-21T15:00:00+00:00,0.31375,,
cleaned/pjm_exogenous_hourly_2019_2024_cleaned.csv,csv,13853826,utf-8-sig,52561,21,"timestamp,demand_mwh,demand_forecast_mwh,interchange_mwh,net_generation_mwh,fuel_col_mwh,fuel_ng_mwh,fuel_nuc_mwh,fuel_oth_mwh,fuel_sun_mwh,fuel_wat_mwh,fuel_wnd_mwh,fuel_total_mwh,fuel_col_share,fuel_ng_share,fuel_nuc_share,fuel_oth_share,fuel_sun_share,fuel_wat_share,fuel_wnd_share,demand_forecast_error_mwh",timestamp,2019-01-01T00:00:00+00:00,2020-02-21T15:00:00+00:00,0.0007523809523809525,,
cleaned/pjm_grid_carbon_intensity_2019_full_cleaned.csv,csv,2064401,utf-8-sig,52443,2,"timestamp,carbon_intensity_kg_per_mwh",timestamp,2019-01-01T00:00:00+00:00,2020-02-21T17:00:00+00:00,0.0,,
cleaned/pjm_hourly_demand_2019_2024_cleaned.csv,csv,1428416,utf-8-sig,52469,3,"datetime_utc,respondent,demand_mwh",datetime_utc,2019-01-01T00:00:00+00:00,2020-02-22T14:00:00+00:00,3.3333333333333335e-05,,
cleaned/semisynthetic_datacenter_power_2015_2024.csv,csv,8252637,utf-8-sig,87672,5,"datetime,temp_f,it_load_mw,pue,total_power_mw",datetime,2015-01-01T00:00:00+00:00,2016-02-21T15:00:00+00:00,0.0,synthetic_data,
cleaned/virginia_co2_emissions_2015_2023_cleaned.csv,csv,3209,utf-8-sig,32,7,"period,sectorid,sector_name,fuelid,fuel_name,stateid,state_name",,,,0.0,,
cleaned/virginia_electricity_consumption_2015_2024_cleaned.csv,csv,28253,utf-8-sig,720,5,"period,stateid,statedescription,sectorid,sectorname",,,,0.0,,
cleaned/virginia_generation_by_fuel_2015_2024_cleaned.csv,csv,331034,utf-8-sig,5000,7,"period,location,statedescription,sectorid,sectordescription,fueltypeid,fueltypedescription",,,,0.0,,
cleaned/virginia_renewable_generation_2015_2024_cleaned.csv,csv,131443,utf-8-sig,1996,7,"period,location,statedescription,sectorid,sectordescription,fueltypeid,fueltypedescription",,,,0.0,,
data_quality_report.txt,txt,10939,n/a,0,0,,,,,0.0,,documentation_or_metadata
datacenter_constants.json,json,1374,n/a,0,0,,,,,0.0,,documentation_or_metadata
epa_temperature_loudoun_2019.csv,csv,0,utf-8-sig,0,0,,,,,1.0,empty_file,
external_downloads/README_DOWNLOADED.txt,txt,748,n/a,0,0,,,,,0.0,,documentation_or_metadata
external_downloads/alibaba_batch_task.tar.gz,gz,130310549,n/a,0,0,,,,,0.0,,binary_asset
external_downloads/alibaba_cluster_trace_v2018_contents.json,json,5976,n/a,0,0,,,,,0.0,,documentation_or_metadata
external_downloads/alibaba_clusterdata_README.md,md,12585,n/a,0,0,,,,,0.0,,documentation_or_metadata
external_downloads/alibaba_container_meta.tar.gz,gz,2491220,n/a,0,0,,,,,0.0,,binary_asset
external_downloads/alibaba_fetchData.sh,sh,582,n/a,0,0,,,,,0.0,,
external_downloads/alibaba_machine_meta.tar.gz,gz,92432,n/a,0,0,,,,,0.0,,binary_asset
external_downloads/egrid2023_data_metric_rev2.xlsx,xlsx,24803997,binary,0,0,,,,,0.0,xlsx_read_error,Missing optional dependency 'openpyxl'.  Use pip or conda to install openpyxl.
external_downloads/egrid2023_data_rev2.xlsx,xlsx,21213301,binary,0,0,,,,,0.0,xlsx_read_error,Missing optional dependency 'openpyxl'.  Use pip or conda to install openpyxl.
external_downloads/egrid2023_release_notes.txt,txt,7733,n/a,0,0,,,,,0.0,,documentation_or_metadata
external_downloads/epa_egrid_detailed_data.html,html,56702,n/a,0,0,,,,,0.0,,documentation_or_metadata
external_downloads/google_ClusterData2019.md,md,2323,n/a,0,0,,,,,0.0,,documentation_or_metadata
external_downloads/google_PowerData2019.md,md,1843,n/a,0,0,,,,,0.0,,documentation_or_metadata
external_downloads/google_cluster_cpu_cellb_hourly_2019.csv,csv,74400,utf-16,745,3,"real_timestamp,avg_cpu_utilization,num_tasks_sampled",real_timestamp,2019-05-01T06:00:00+00:00,2019-06-01T06:00:00+00:00,0.0,,
external_downloads/google_cluster_data_README.md,md,2929,n/a,0,0,,,,,0.0,,documentation_or_metadata
external_downloads/google_power_cellb_hourly_2019.csv,csv,85986,utf-16,743,4,"real_timestamp,measured_power_util,production_power_util,sample_count",real_timestamp,2019-05-01T07:00:00+00:00,2019-06-01T06:00:00+00:00,0.0,,
external_downloads/google_power_trace_analysis_colab.ipynb,ipynb,22366,n/a,0,0,,,,,0.0,,documentation_or_metadata
external_downloads/google_power_trace_documentation.pdf,pdf,103720,n/a,0,0,,,,,0.0,,binary_asset
external_downloads/noaa_global_hourly_72403093738_2019.csv,csv,7721709,utf-8-sig,12366,101,"STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AA1,AA2,AA3,AB1,AD1,AE1,AH1,AH2,AH3,AH4,AH5,AH6,AI1,AI2,AI3,AI4,AI5,AI6,AJ1,AK1,AL1,AM1,AN1,AT1,AT2,AT3,AT4,AT5,AT6,AT7,AT8,AU1,AU2,AU3,AW1,AW2,AW3,AW4,AX1,AX2,AX3,AX4,ED1,GA1,GA2,GA3,GA4,GD1,GD2,GD3,GD4,GE1,GF1,KA1,KA2,KB1,KB2,KB3,KC1,KC2,KD1,KD2,KE1,KG1,KG2,MA1,MD1,MF1,MG1,MH1,MK1,MV1,MW1,MW2,OC1,OD1,OE1,OE2,OE3,RH1,RH2,RH3,WA1,REM,EQD",DATE,2019-01-01T00:00:00+00:00,2019-10-24T06:52:00+00:00,0.7375851485148515,high_missingness_sample,
external_downloads/noaa_global_hourly_72403093738_2020.csv,csv,7812241,utf-8-sig,12567,101,"STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AA1,AA2,AA3,AB1,AD1,AE1,AH1,AH2,AH3,AH4,AH5,AH6,AI1,AI2,AI3,AI4,AI5,AI6,AJ1,AK1,AL1,AM1,AN1,AT1,AT2,AT3,AT4,AT5,AT6,AT7,AU1,AU2,AU3,AW1,AW2,AW3,AW4,AX1,AX2,AX3,AX4,AX5,ED1,GA1,GA2,GA3,GA4,GD1,GD2,GD3,GD4,GE1,GF1,KA1,KA2,KB1,KB2,KB3,KC1,KC2,KD1,KD2,KE1,KG1,KG2,MA1,MD1,MF1,MG1,MH1,MK1,MV1,MW1,MW2,OC1,OD1,OE1,OE2,OE3,RH1,RH2,RH3,WA1,REM,EQD",DATE,2020-01-01T00:00:00+00:00,2020-10-18T14:52:00+00:00,0.738439603960396,high_missingness_sample,
external_downloads/noaa_global_hourly_72403093738_2021.csv,csv,7439937,utf-8-sig,12139,98,"STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AA1,AA2,AA3,AB1,AD1,AE1,AH1,AH2,AH3,AH4,AH5,AH6,AI1,AI2,AI3,AI4,AI5,AI6,AJ1,AK1,AL1,AM1,AN1,AT1,AT2,AT3,AT4,AT5,AT6,AU1,AU2,AU3,AW1,AW2,AW3,AW4,AX1,AX2,AX3,ED1,GA1,GA2,GA3,GA4,GD1,GD2,GD3,GD4,GE1,GF1,KA1,KA2,KB1,KB2,KB3,KC1,KC2,KD1,KD2,KE1,KG1,KG2,MA1,MD1,MF1,MG1,MH1,MK1,MV1,MW1,MW2,OC1,OD1,OE1,OE2,OE3,RH1,RH2,RH3,WA1,REM,EQD",DATE,2021-01-01T00:00:00+00:00,2021-10-25T04:52:00+00:00,0.7338377551020409,high_missingness_sample,
external_downloads/noaa_global_hourly_72403093738_2022.csv,csv,7554261,utf-8-sig,12317,100,"STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AA1,AA2,AA3,AB1,AD1,AE1,AH1,AH2,AH3,AH4,AH5,AH6,AI1,AI2,AI3,AI4,AI5,AI6,AJ1,AK1,AL1,AM1,AN1,AT1,AT2,AT3,AT4,AT5,AT6,AT7,AU1,AU2,AU3,AW1,AW2,AW3,AW4,AX1,AX2,AX3,AX4,ED1,GA1,GA2,GA3,GA4,GD1,GD2,GD3,GD4,GE1,GF1,KA1,KA2,KB1,KB2,KB3,KC1,KC2,KD1,KD2,KE1,KG1,KG2,MA1,MD1,MF1,MG1,MH1,MK1,MV1,MW1,MW2,OC1,OD1,OE1,OE2,OE3,RH1,RH2,RH3,WA1,REM,EQD",DATE,2022-01-01T00:00:00+00:00,2022-10-23T13:23:00+00:00,0.7381759999999999,high_missingness_sample,
