period,sectorId,sector-name,fuelId,fuel-name,stateId,state-name
2022,EC,Electric Power carbon dioxide emissions,CO,Coal,VA,Virginia
2022,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,VA,Virginia
2022,EC,Electric Power carbon dioxide emissions,PE,Petroleum,VA,Virginia
2022,EC,Electric Power carbon dioxide emissions,TO,All Fuels,VA,Virginia
2021,EC,Electric Power carbon dioxide emissions,CO,Coal,VA,Virginia
2021,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,VA,Virginia
2021,EC,Electric Power carbon dioxide emissions,PE,Petroleum,VA,Virginia
2021,EC,Electric Power carbon dioxide emissions,TO,All Fuels,VA,Virginia
2020,EC,Electric Power carbon dioxide emissions,CO,Coal,VA,Virginia
2020,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,VA,Virginia
2020,EC,Electric Power carbon dioxide emissions,PE,Petroleum,VA,Virginia
2020,EC,Electric Power carbon dioxide emissions,TO,All Fuels,VA,Virginia
2019,EC,Electric Power carbon dioxide emissions,CO,Coal,VA,Virginia
2019,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,VA,Virginia
2019,EC,Electric Power carbon dioxide emissions,PE,Petroleum,VA,Virginia
2019,EC,Electric Power carbon dioxide emissions,TO,All Fuels,VA,Virginia
2018,EC,Electric Power carbon dioxide emissions,CO,Coal,VA,Virginia
2018,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,VA,Virginia
2018,EC,Electric Power carbon dioxide emissions,PE,Petroleum,VA,Virginia
2018,EC,Electric Power carbon dioxide emissions,TO,All Fuels,VA,Virginia
2017,EC,Electric Power carbon dioxide emissions,CO,Coal,VA,Virginia
2017,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,VA,Virginia
2017,EC,Electric Power carbon dioxide emissions,PE,Petroleum,VA,Virginia
2017,EC,Electric Power carbon dioxide emissions,TO,All Fuels,VA,Virginia
2016,EC,Electric Power carbon dioxide emissions,CO,Coal,VA,Virginia
2016,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,VA,Virginia
2016,EC,Electric Power carbon dioxide emissions,PE,Petroleum,VA,Virginia
2016,EC,Electric Power carbon dioxide emissions,TO,All Fuels,VA,Virginia
2015,EC,Electric Power carbon dioxide emissions,CO,Coal,VA,Virginia
2015,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,VA,Virginia
2015,EC,Electric Power carbon dioxide emissions,PE,Petroleum,VA,Virginia
2015,EC,Electric Power carbon dioxide emissions,TO,All Fuels,VA,Virginia
