period,stateid,stateDescription,sectorid,sectorName
2015-01,VA,Virginia,ALL,all sectors
2015-01,VA,Virginia,COM,commercial
2015-01,VA,Virginia,IND,industrial
2015-01,VA,Virginia,OTH,other
2015-01,VA,Virginia,RES,residential
2015-01,VA,Virginia,TRA,transportation
2015-02,VA,Virginia,ALL,all sectors
2015-02,VA,Virginia,COM,commercial
2015-02,VA,Virginia,IND,industrial
2015-02,VA,Virginia,OTH,other
2015-02,VA,Virginia,RES,residential
2015-02,VA,Virginia,TRA,transportation
2015-03,VA,Virginia,ALL,all sectors
2015-03,VA,Virginia,COM,commercial
2015-03,VA,Virginia,IND,industrial
2015-03,VA,Virginia,OTH,other
2015-03,VA,Virginia,RES,residential
2015-03,VA,Virginia,TRA,transportation
2015-04,VA,Virginia,ALL,all sectors
2015-04,VA,Virginia,COM,commercial
2015-04,VA,Virginia,IND,industrial
2015-04,VA,Virginia,OTH,other
2015-04,VA,Virginia,RES,residential
2015-04,VA,Virginia,TRA,transportation
2015-05,VA,Virginia,ALL,all sectors
2015-05,VA,Virginia,COM,commercial
2015-05,VA,Virginia,IND,industrial
2015-05,VA,Virginia,OTH,other
2015-05,VA,Virginia,RES,residential
2015-05,VA,Virginia,TRA,transportation
2015-06,VA,Virginia,ALL,all sectors
2015-06,VA,Virginia,COM,commercial
2015-06,VA,Virginia,IND,industrial
2015-06,VA,Virginia,OTH,other
2015-06,VA,Virginia,RES,residential
2015-06,VA,Virginia,TRA,transportation
2015-07,VA,Virginia,ALL,all sectors
2015-07,VA,Virginia,COM,commercial
2015-07,VA,Virginia,IND,industrial
2015-07,VA,Virginia,OTH,other
2015-07,VA,Virginia,RES,residential
2015-07,VA,Virginia,TRA,transportation
2015-08,VA,Virginia,ALL,all sectors
2015-08,VA,Virginia,COM,commercial
2015-08,VA,Virginia,IND,industrial
2015-08,VA,Virginia,OTH,other
2015-08,VA,Virginia,RES,residential
2015-08,VA,Virginia,TRA,transportation
2015-09,VA,Virginia,ALL,all sectors
2015-09,VA,Virginia,COM,commercial
