period,location,stateDescription,sectorid,sectorDescription,fueltypeid,fuelTypeDescription
2015-01,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2015-01,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2015-01,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
2015-01,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2015-01,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2015-01,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2015-01,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2015-01,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2015-01,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2015-02,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2015-02,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2015-02,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
2015-02,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2015-02,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2015-02,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2015-02,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2015-02,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2015-02,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2015-03,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2015-03,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2015-03,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
2015-03,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2015-03,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2015-03,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2015-03,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2015-03,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2015-03,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2015-04,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2015-04,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2015-04,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
2015-04,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2015-04,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2015-04,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2015-04,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2015-04,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2015-04,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2015-05,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2015-05,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2015-05,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
2015-05,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2015-05,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2015-05,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2015-05,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2015-05,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2015-05,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2015-06,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2015-06,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2015-06,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
2015-06,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2015-06,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2015-06,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2015-06,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2015-06,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2015-06,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2015-07,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2015-07,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2015-07,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
2015-07,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2015-07,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2015-07,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2015-07,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2015-07,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2015-07,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2015-08,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2015-08,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2015-08,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
2015-08,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2015-08,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2015-08,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2015-08,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2015-08,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2015-08,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2015-09,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2015-09,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2015-09,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
2015-09,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2015-09,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2015-09,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2015-09,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2015-09,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2015-09,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2015-10,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2015-10,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2015-10,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
2015-10,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2015-10,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2015-10,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2015-10,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2015-10,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2015-10,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2015-11,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2015-11,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2015-11,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
2015-11,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2015-11,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2015-11,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2015-11,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2015-11,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2015-11,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2015-12,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2015-12,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2015-12,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
2015-12,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2015-12,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2015-12,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2015-12,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2015-12,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2015-12,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2016-01,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2016-01,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2016-01,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
2016-01,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2016-01,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2016-01,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2016-01,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2016-01,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2016-01,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2016-02,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2016-02,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2016-02,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
2016-02,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2016-02,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2016-02,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2016-02,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2016-02,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2016-02,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2016-03,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2016-03,VA,Virginia,1,Electric Utility,SUN,solar
2016-03,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2016-03,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
2016-03,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2016-03,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2016-03,VA,Virginia,90,Electric Power Sector Non-CHP,SUN,solar
2016-03,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2016-03,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2016-03,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2016-03,VA,Virginia,98,Electric Power,SUN,solar
2016-03,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2016-03,VA,Virginia,99,All Sectors,SUN,solar
2016-04,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2016-04,VA,Virginia,1,Electric Utility,SUN,solar
2016-04,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2016-04,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
2016-04,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2016-04,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2016-04,VA,Virginia,90,Electric Power Sector Non-CHP,SUN,solar
2016-04,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2016-04,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2016-04,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2016-04,VA,Virginia,98,Electric Power,SUN,solar
2016-04,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2016-04,VA,Virginia,99,All Sectors,SUN,solar
2016-05,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2016-05,VA,Virginia,1,Electric Utility,SUN,solar
2016-05,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2016-05,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
