timestamp,total_gen_mw,total_emissions_kg,carbon_intensity,Net Generation (MW) from Coal,Net Generation (MW) from Natural Gas,Net Generation (MW) from All Petroleum Products,Net Generation (MW) from Nuclear,Net Generation (MW) from Hydropower and Pumped Storage,Net Generation (MW) from Solar,Net Generation (MW) from Wind,Net Generation (MW) from Other Fuel Sources
2019-01-01 01:00:00,70094.0,21573780.0,307.78354780723026,16197.0,12246.0,212.0,34702.0,2040.0,4.0,4139.0,554.0
2019-01-01 02:00:00,69079.0,21190540.0,306.75805961290695,16036.0,11683.0,217.0,34689.0,2055.0,4.0,3831.0,564.0
2019-01-01 03:00:00,68034.0,20902060.0,307.2296204838757,15941.0,11174.0,219.0,34671.0,2049.0,4.0,3388.0,588.0
2019-01-01 04:00:00,67307.0,20524260.0,304.9349993314217,15649.0,10977.0,221.0,34677.0,2042.0,4.0,3164.0,573.0
2019-01-01 05:00:00,67418.0,20739120.0,307.61992346257676,15750.0,11231.0,222.0,34680.0,2042.0,4.0,2904.0,585.0
2019-01-01 06:00:00,68335.0,21286940.0,311.5085973512841,15772.0,12484.0,222.0,34699.0,2124.0,4.0,2445.0,585.0
2019-01-01 07:00:00,68793.0,21707380.0,315.54634919250503,16117.0,12691.0,218.0,34707.0,2163.0,4.0,2310.0,583.0
2019-01-01 08:00:00,70197.0,22345960.0,318.3321224553756,16146.0,14114.0,224.0,34720.0,2164.0,45.0,2190.0,594.0
2019-01-01 09:00:00,72765.0,23565860.0,323.86257129114273,16657.0,16095.0,82.0,34701.0,2358.0,106.0,2171.0,595.0
2019-01-01 10:00:00,74651.0,25045180.0,335.4969122985626,18056.0,16375.0,80.0,34711.0,2363.0,243.0,2239.0,584.0
2019-01-01 11:00:00,76318.0,26662680.0,349.3629287979245,19566.0,16710.0,78.0,34725.0,2196.0,305.0,2156.0,582.0
2019-01-01 12:00:00,76312.0,26684480.0,349.6760666736555,19515.0,16899.0,79.0,34735.0,2199.0,343.0,1972.0,570.0
2019-01-01 13:00:00,75383.0,25959140.0,344.36331798946713,18864.0,16691.0,79.0,34742.0,2170.0,339.0,1928.0,570.0
2019-01-01 14:00:00,75240.0,25749460.0,342.2309941520468,18432.0,17205.0,78.0,34742.0,2173.0,182.0,1860.0,568.0
2019-01-01 15:00:00,74740.0,25491760.0,341.07251806261706,18064.0,17452.0,77.0,34742.0,2173.0,90.0,1574.0,568.0
2019-01-01 16:00:00,76867.0,26812700.0,348.8193893348251,18866.0,18721.0,76.0,34760.0,2578.0,20.0,1274.0,572.0
2019-01-01 17:00:00,83396.0,30685880.0,367.9538586982589,21201.0,22525.0,74.0,34724.0,3200.0,7.0,1109.0,556.0
2019-01-01 18:00:00,85584.0,32061040.0,374.6148812862217,22540.0,22672.0,72.0,34755.0,3918.0,7.0,1060.0,560.0
2019-01-01 19:00:00,84904.0,31875900.0,375.43460849901066,22649.0,21944.0,70.0,34758.0,3979.0,7.0,915.0,582.0
2019-01-01 20:00:00,82669.0,30523500.0,369.22546541025054,21352.0,21762.0,70.0,34755.0,3478.0,7.0,670.0,575.0
2019-01-01 21:00:00,83838.0,31912180.0,380.6409981154131,22390.0,22629.0,73.0,34776.0,2944.0,7.0,437.0,582.0
2019-01-01 22:00:00,80423.0,30665120.0,381.29788742026534,22082.0,20378.0,75.0,34765.0,2164.0,7.0,372.0,580.0
2019-01-01 23:00:00,74542.0,27331100.0,366.653698586032,20486.0,16181.0,73.0,34758.0,2168.0,7.0,297.0,572.0
2019-01-02 00:00:00,71608.0,21998860.0,307.21232264551446,16101.0,13479.0,211.0,34710.0,2100.0,4.0,4446.0,557.0
2019-01-02 01:00:00,73146.0,25563580.0,349.48705329067894,18332.0,17006.0,77.0,34798.0,2062.0,7.0,301.0,563.0
2019-01-02 02:00:00,72908.0,25393500.0,348.2951116475558,18213.0,16858.0,80.0,34782.0,2058.0,7.0,338.0,572.0
2019-01-02 03:00:00,72786.0,25274800.0,347.24809716154203,18048.0,16948.0,83.0,34793.0,2036.0,7.0,295.0,576.0
2019-01-02 04:00:00,72898.0,25149060.0,344.98971165189715,17720.0,17408.0,87.0,34767.0,2038.0,7.0,296.0,575.0
2019-01-02 05:00:00,77380.0,27525180.0,355.71439648487984,18631.0,20925.0,86.0,34788.0,2080.0,7.0,278.0,585.0
2019-01-02 06:00:00,83553.0,30969780.0,370.6602994506481,20477.0,24826.0,85.0,34784.0,2584.0,7.0,208.0,582.0
2019-01-02 07:00:00,90045.0,35287900.0,391.89183186184687,23632.0,27732.0,86.0,34782.0,3024.0,7.0,193.0,589.0
2019-01-02 08:00:00,90430.0,35578700.0,393.43912418445206,24056.0,27461.0,89.0,34809.0,3056.0,52.0,337.0,570.0
2019-01-02 09:00:00,91253.0,35673980.0,390.93487337402604,23932.0,27966.0,87.0,34791.0,3185.0,119.0,594.0,579.0
2019-01-02 10:00:00,93133.0,36443240.0,391.3031900615249,24188.0,29230.0,81.0,34792.0,3502.0,199.0,573.0,568.0
2019-01-02 11:00:00,92676.0,36353400.0,392.2633691570633,23994.0,29499.0,80.0,34798.0,2523.0,310.0,921.0,551.0
