east_north_central,22969,21435,21651,22234,23222,22044,20926,20169,19783,20534,21348,0,1029,1008,1009,996,1011,922,917,933,924,925,921,0_1,w,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,0_2
Illinois,6121,5985,6662,7424,7257,5938.0,5885.0,5521.0,5706.0,5820.0,5921.0,0,99.0,100.0,100.0,99.0,100.0,97.0,97.0,96.0,97.0,96.0,96.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Indiana,7973,7286,7309,6763,7051,6942.0,6459.0,6218.0,6028.0,6297.0,6601.0,0,111.0,111.0,112.0,112.0,114.0,104.0,109.0,107.0,104.0,104.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Michigan,2509,2053,1364,1557,2221,2559.0,2642.0,2874.0,2446.0,2263.0,2448.0,0,161.0,160.0,156.0,156.0,158.0,149.0,150.0,148.0,143.0,142.0,150.0,0,,,,,,,,,,,,0
Ohio,3646,3460,3539,3536,3797,3788.0,3314.0,3040.0,3113.0,3679.0,3821.0,0,444.0,422.0,427.0,419.0,428.0,416.0,403.0,427.0,424.0,428.0,421.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Wisconsin,2720,2651,2776,2955,2896,2817.0,2626.0,2516.0,2489.0,2475.0,2557.0,0,215.0,215.0,212.0,210.0,212.0,156.0,158.0,156.0,157.0,156.0,154.0,0,,,,,,,,,,,,0
West North Central,23838,22009,23409,23749,23605,22581.0,20444.0,18867.0,18701.0,20013.0,20614.0,0,1103.0,1085.0,1091.0,1068.0,1080.0,1022.0,980.0,981.0,994.0,995.0,996.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Iowa,4397,4004,4134,4119,3976,3631.0,2982.0,2730.0,2875.0,3170.0,3372.0,0,82.0,82.0,81.0,84.0,86.0,81.0,81.0,83.0,78.0,80.0,82.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Kansas,5228,4990,5356,5324,5262,5102.0,4743.0,4413.0,4030.0,4234.0,4317.0,0,163.0,158.0,160.0,156.0,157.0,152.0,150.0,159.0,157.0,162.0,169.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Minnesota,2102,1714,2225,2292,2404,2417.0,1671.0,1196.0,1355.0,1572.0,1841.0,0,93.0,95.0,94.0,93.0,93.0,93.0,93.0,92.0,92.0,91.0,90.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Missouri,7419,6838,6990,7308,7371,6935.0,6776.0,6501.0,6495.0,6911.0,7042.0,0,502.0,494.0,504.0,499.0,504.0,463.0,435.0,425.0,441.0,436.0,432.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Nebraska,2870,2782,2864,2902,2972,2961.0,2784.0,2508.0,2409.0,2510.0,2445.0,0,151.0,142.0,139.0,126.0,135.0,130.0,129.0,127.0,125.0,119.0,117.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
North Dakota,1405,1304,1434,1433,1256,1179.0,1194.0,1228.0,1205.0,1197.0,1163.0,0,36.0,42.0,41.0,38.0,36.0,33.0,35.0,31.0,31.0,31.0,31.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
South Dakota,W,W,W,W,W,,,,,,,0,75.0,73.0,72.0,71.0,70.0,70.0,58.0,65.0,70.0,76.0,75.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
South Atlantic,15994,15555,17035,17650,19039,18385.0,16881.0,16710.0,18216.0,18667.0,19346.0,0,8752.0,8943.0,8962.0,9344.0,9378.0,8897.0,8752.0,8870.0,8819.0,8798.0,8783.0,0,,,,,,,,,,,,0
Delaware,W,W,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,356.0,465.0,460.0,459.0,457.0,453.0,443.0,438.0,436.0,432.0,432.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
District of Columbia,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Florida,1587,1766,2032,1948,1844,1823.0,1793.0,1828.0,1933.0,1739.0,2081.0,0,3721.0,3729.0,3706.0,4046.0,4051.0,3724.0,3678.0,3711.0,3681.0,3668.0,3651.0,0,,,,,,,,,,,,0
Georgia,W,W,W,W,W,,,,,,,0,1133.0,1135.0,1132.0,1157.0,1159.0,1128.0,1110.0,1106.0,1095.0,1094.0,1076.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Maryland,W,W,W,W,W,,,,,,,0,463.0,539.0,607.0,593.0,587.0,514.0,481.0,533.0,553.0,544.0,550.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
North Carolina,3243,3207,3482,3788,4096,4001.0,3691.0,3689.0,4027.0,4168.0,4293.0,0,1104.0,1095.0,1083.0,1093.0,1092.0,1071.0,1064.0,1056.0,1049.0,1050.0,1037.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
South Carolina,1336,1339,1500,1550,1509,1324.0,1130.0,1206.0,1452.0,1759.0,1999.0,0,569.0,565.0,559.0,564.0,566.0,557.0,549.0,547.0,545.0,544.0,537.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Virginia,W,W,W,W,W,,,,,,,0,1256.0,1266.0,1277.0,1286.0,1334.0,1308.0,1276.0,1318.0,1302.0,1303.0,1336.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
West Virginia,5785,5180,5783,5959,6756,6390.0,5877.0,5290.0,5919.0,6243.0,6255.0,0,151.0,148.0,138.0,145.0,133.0,142.0,152.0,160.0,158.0,163.0,164.0,0,,,,,,,,,,,,0
