category,year_2024,year_2023,year_2022,year_2021,year_2020,year_2019,year_2018,year_2017,year_2016,year_2015,year_2014,year_2013,year_2012,year_2011,year_2010,year_2009,year_2008,year_2007,year_2006,year_2005,year_2004,year_2003,year_2002,year_2001,year_2000,year_1999,year_1998,year_1997,year_1996,year_1995,year_1994,year_1993,year_1992,year_1991,year_1990
Supply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
..Electric utilities,76210758.0,68966543.0,69673108.0,72449064.0,80243866.0,74385815.0,72378588.0,70951166.0,76224379.0,67573071.0,62966914.0,63724860.0,56188401.0,53328664.0,58902054.0,59225368.0,59780402.0,64316732.0,61176351.0,65456080.0,65103653.0,61806347.0,62880125.0,62135492.0,65842720.0,65071068.0,63814565.0,58985991.0,56532918.0,52727470.0,52732286.0,52181906.0,48963593.0,48940655.0,47200499.0
..Independent power producers,21361213.0,18167174.0,15910766.0,17372680.0,18138146.0,18141353.0,18747217.0,15395810.0,12051970.0,12151327.0,10124494.0,9587886.0,10824652.0,9150792.0,9303146.0,5627311.0,4969674.0,6537922.0,4635550.0,5278554.0,6263260.0,6058005.0,4828127.0,4696899.0,2857726.0,2408323.0,2285178.0,2510375.0,3016640.0,3341351.0,2313071.0,2297630.0,1670272.0,813240.0,427932.0
"..Combined heat and power, electric",2088756.0,969055.0,745938.0,1012106.0,1967251.0,1528805.0,1517249.0,1223999.0,1373406.0,1765112.0,1363562.0,1080585.0,1484439.0,1999340.0,2544588.0,2607854.0,5020046.0,4638270.0,4409041.0,5251187.0,4508634.0,4367778.0,4074281.0,4593146.0,5344130.0,3233798.0,2827119.0,3745571.0,3952388.0,3856415.0,4061982.0,4067684.0,2885741.0,2317857.0,2161720.0
Electric power sector generation subtotal,99660727.0,88102772.0,86329812.0,90833850.0,100349262.0,94055972.0,92643054.0,87570975.0,89649755.0,81489510.0,74454970.0,74393330.0,68497492.0,64478796.0,70749788.0,67460533.0,69770121.0,75492925.0,70220942.0,75985821.0,75875547.0,72232130.0,71782533.0,71425537.0,74044576.0,70713189.0,68926861.0,65241937.0,63501945.0,59925237.0,59107339.0,58547219.0,53519606.0,52071752.0,49790151.0
"..Combined heat and power, commercial",828113.0,909778.0,1017438.0,328390.0,363879.0,367971.0,381651.0,439456.0,448655.0,463144.0,476142.0,450717.0,253178.0,386830.0,361778.0,333718.0,386340.0,398376.0,346884.0,389315.0,360767.0,332445.0,456195.0,514904.0,606409.0,543276.0,610415.0,657491.0,759998.0,554133.0,333414.0,90720.0,182509.0,164514.0,264869.0
"..Combined heat and power, industrial",2209775.0,2046794.0,2130075.0,2315942.0,2342859.0,2403696.0,2484416.0,2406718.0,2456466.0,2458938.0,2206326.0,2052518.0,1988565.0,1805233.0,1854890.0,2287814.0,2522070.0,2469206.0,2501710.0,2567909.0,2663726.0,2744845.0,2766923.0,2164303.0,2538386.0,2641144.0,2662167.0,2615906.0,2633181.0,2516651.0,2608173.0,2605571.0,2650240.0,2492830.0,2509438.0
Industrial and commercial generation subtotal,3037888.0,2956572.0,3147513.0,2644332.0,2706738.0,2771667.0,2866067.0,2846174.0,2905121.0,2922082.0,2682468.0,2503235.0,2241743.0,2192063.0,2216668.0,2621533.0,2908410.0,2867582.0,2848594.0,2957224.0,3024493.0,3077290.0,3223118.0,2679207.0,3144795.0,3184420.0,3272582.0,3273397.0,3393179.0,3070785.0,2941587.0,2696291.0,2832749.0,2657344.0,2774307.0
Total net generation,102698615.0,91059344.0,89477325.0,93478182.0,103056001.0,96827639.0,95509121.0,90417149.0,92554876.0,84411592.0,77137438.0,76896565.0,70739235.0,66670859.0,72966456.0,70082066.0,72678531.0,78360507.0,73069537.0,78943045.0,78900040.0,75309420.0,75005651.0,74104744.0,77189371.0,73897608.0,72199443.0,68515334.0,66895125.0,62996021.0,62048926.0,61243511.0,56352355.0,54729096.0,52564458.0
