technology_by_sector,year_2024,year_2023,year_2022,year_2021,year_2020,year_2019,year_2018,year_2017,year_2016,year_2015,year_2014,year_2013,year_2012,year_2011,year_2010
Photovoltaic,,,,,,,,,,,,,,,
Capacity (MW),726.233,628.185,273.441,240.848,168.11,108.909,67.003,45.438,33.343,25.063,16.438,11.378,9.9,6.55,3.68
Residential,513.755,439.207,195.727,172.249,112.035,72.816,44.402,28.111,20.598,15.331,9.285,6.68,5.179,3.987,2.776
Commercial,208.398,184.912,70.803,67.169,54.65,35.404,22.082,16.958,12.567,9.6,6.938,4.596,4.582,2.468,0.788
Industrial,4.079,4.067,6.911,1.43,1.425,0.689,0.519,0.369,0.178,0.132,0.215,0.102,0.123,0.123,0.113
Transportation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Customers,71370.0,60091.0,28501.0,25905.0,17598.0,11795.0,7578.0,5143.0,4041.0,3170.0,2147.0,1610.0,1305.0,992.0,702.0
Residential,69553.0,58515.0,27504.0,24981.0,16807.0,11142.0,7057.0,4724.0,3702.0,2898.0,1918.0,1420.0,1134.0,875.0,647.0
Commercial,1780.0,1539.0,951.0,905.0,773.0,642.0,513.0,411.0,333.0,269.0,225.0,188.0,169.0,115.0,53.0
Industrial,37.0,37.0,46.0,19.0,18.0,11.0,8.0,8.0,6.0,3.0,4.0,2.0,2.0,2.0,2.0
Battery,,,,,,,,,,,,,,,
Capacity (MW),3.675,3.099,0.537,0.501,0.434,0.416,0.405,0.409,0.337,0.0,0.0,0.0,0.0,0.0,0.0
Residential,3.553,3.006,0.522,0.486,0.419,0.401,0.39,0.394,0.322,0.0,0.0,0.0,0.0,0.0,0.0
Commercial,0.122,0.093,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.0,0.0,0.0,0.0,0.0,0.0
Industrial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Customers,710.0,650.0,101.0,93.0,80.0,76.0,69.0,70.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential,697.0,639.0,98.0,90.0,77.0,73.0,66.0,67.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial,13.0,11.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Energy Capacity  (MWh),8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
