technology_by_sector,year_2024,year_2023,year_2022,year_2021,year_2020,year_2019,year_2018,year_2017,year_2016,year_2015,year_2014,year_2013,year_2012,year_2011,year_2010,year_2009,year_2008,year_2007
AMR meters,271236.0,511512.0,990242.0,1705849.0,2222840.0,2457778.0,2659117.0,2818704.0,2872010.0,2871089.0,2902638.0,2978913.0,3094379.0,3079891.0,3159249.0,3047610.0,3053272.0,2934487.0
Residential,230901.0,440292.0,908954.0,1571537.0,2057030.0,2269776.0,2452742.0,2596922.0,2639560.0,2635564.0,2670605.0,2742598.0,2851174.0,2841255.0,2930873.0,2825185.0,2842167.0,2730183.0
Commercial,40136.0,70921.0,80905.0,133421.0,164596.0,186322.0,204426.0,220056.0,230359.0,233396.0,229930.0,234244.0,240960.0,236618.0,226654.0,220991.0,209453.0,204144.0
Industrial,192.0,291.0,383.0,891.0,1214.0,1680.0,1949.0,1726.0,2091.0,2128.0,2103.0,2071.0,2245.0,2018.0,1722.0,1434.0,1652.0,160.0
Transportation,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMI meters,3833385.0,3562066.0,2998592.0,2205681.0,1616783.0,1295701.0,1019599.0,848075.0,750962.0,720728.0,647006.0,532415.0,400698.0,306378.0,158244.0,105371.0,8402.0,0.0
Residential,3426446.0,3185576.0,2674019.0,1963964.0,1440333.0,1161913.0,917496.0,764297.0,673357.0,646469.0,580265.0,472323.0,353586.0,274038.0,138202.0,87411.0,1751.0,0.0
Commercial,403305.0,372551.0,321031.0,239030.0,174446.0,132408.0,101043.0,82918.0,76805.0,73529.0,66057.0,59359.0,46373.0,31707.0,20030.0,17943.0,6642.0,0.0
Industrial,3610.0,3917.0,3512.0,2657.0,1974.0,1350.0,1029.0,830.0,770.0,702.0,684.0,733.0,739.0,633.0,12.0,17.0,9.0,0.0
Transportation,24.0,22.0,30.0,30.0,30.0,30.0,31.0,30.0,30.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Standard meters,38579.0,49774.0,88852.0,118816.0,140322.0,169323.0,173042.0,174117.0,194129.0,181788.0,160655.0,170421.0,,,,,,
Residential,29725.0,37787.0,41166.0,40717.0,41126.0,50933.0,50256.0,50232.0,66832.0,67145.0,45285.0,52684.0,,,,,,
Commercial,8255.0,11289.0,46796.0,76978.0,98152.0,117186.0,121564.0,122610.0,125959.0,113228.0,113977.0,116366.0,,,,,,
Industrial,596.0,694.0,883.0,1114.0,1037.0,1197.0,1215.0,1267.0,1330.0,1407.0,1393.0,1371.0,,,,,,
Transportation,3.0,4.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,0.0,0.0,,,,,,
All meters,4143200.0,4123352.0,4077686.0,4030346.0,3979945.0,3922802.0,3851758.0,3840896.0,3817101.0,3773605.0,3710299.0,3681749.0,,,,,,
Residential,3687072.0,3663655.0,3624139.0,3576218.0,3538489.0,3482622.0,3420494.0,3411451.0,3379749.0,3349178.0,3296155.0,3267605.0,,,,,,
Commercial,451696.0,454761.0,448732.0,449429.0,437194.0,435916.0,427033.0,425584.0,433123.0,420153.0,409964.0,409969.0,,,,,,
Industrial,4398.0,4902.0,4778.0,4662.0,4225.0,4227.0,4193.0,3823.0,4191.0,4237.0,4180.0,4175.0,,,,,,
Transportation,34.0,34.0,37.0,37.0,37.0,37.0,38.0,38.0,38.0,37.0,0.0,0.0,,,,,,
"AMR- Automatic Meter Reading.
AMI- Advanced Meter Infrastructure.
Prior to 2010, the count was the number of customers, not number of meters.
Starting in 2013 Standard (Non-AMR/AMI) meter data was collected on the EIA-861. This data is not collected on the EIA-861S.
Data Source: U.S. Energy Information Administration, Form EIA-861 & EIA-861S, Annual Electric Power Industry Report.",,,,,,,,,,,,,,,,,,
