technology_by_sector,year_2024,year_2023,year_2022,year_2021,year_2020,year_2019,year_2018,year_2017,year_2016,year_2015,year_2014,year_2013
Reporting year incremental,,,,,,,,,,,,
Savings - energy (MWh),299772.0,243546.0,332883.0,272788.0,173603.0,161931.0,117696.0,142436.0,231776.0,115027.0,87098.0,26223.0
Residential,163381.0,110571.0,260521.0,207980.0,88615.0,79403.0,12482.0,17654.0,51602.0,22652.0,27305.0,15286.0
Commercial,135881.0,132753.0,71820.0,63499.0,82684.0,80269.0,100768.0,120744.0,170416.0,90827.0,58334.0,6679.0
Industrial,509.0,221.0,542.0,1309.0,2305.0,2260.0,4446.0,4038.0,9758.0,1548.0,1459.0,4258.0
Transportation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Savings - peak demand (MW),60.5,55.6,47.2,24.7,22.9,23.3,24.9,27.9,37.4,27.0,11.9,8.1
Residential,32.7,20.9,28.6,14.4,8.4,7.8,5.8,6.6,13.7,9.5,7.2,6.5
Commercial,27.8,34.4,18.4,10.0,14.2,15.1,18.7,21.1,22.3,17.2,4.7,1.5
Industrial,0.1,0.4,0.2,0.3,0.3,0.4,0.4,0.3,1.4,0.3,0.0,0.1
Costs - customer incentive (thousand dollars),54902.0,54380.0,38843.0,36339.0,23856.0,18923.0,16250.0,20618.0,29600.0,20822.0,22084.0,7705.0
Residential,36748.0,32817.0,28352.0,25385.0,9042.0,6792.0,2116.0,6237.0,14581.0,7775.0,9482.0,4588.0
Commercial,18107.0,21474.0,10431.0,10860.0,14686.0,12007.0,13953.0,14194.0,14520.0,12953.0,12572.0,2697.0
Industrial,48.0,90.0,60.0,94.0,128.0,124.0,181.0,187.0,499.0,94.0,30.0,420.0
Costs - all other costs (thousand dollars),43962.0,40144.0,39330.0,25722.0,13423.0,12808.0,8780.0,12301.0,15359.0,12210.0,11594.0,7144.0
Residential,29163.0,24509.0,29793.0,15933.0,6122.0,5588.0,2732.0,7161.0,11256.0,8977.0,7365.0,5648.0
Commercial,14756.0,15537.0,9489.0,9652.0,7191.0,6352.0,5986.0,5106.0,3925.0,3207.0,4228.0,1386.0
Industrial,43.0,97.0,48.0,137.0,110.0,869.0,63.0,34.0,178.0,26.0,1.0,110.0
Incremental life cycle,,,,,,,,,,,,
Savings - energy (MWh),2444064.0,2477057.0,3949972.0,2875738.0,2227428.0,2071641.0,1331595.0,1603882.0,3217433.0,1481979.0,1236714.0,305574.0
Residential,1331978.0,972622.0,3126418.0,2304649.0,1430736.0,1264162.0,104986.0,159974.0,525908.0,217212.0,275289.0,177665.0
Commercial,1107336.0,1498997.0,817870.0,561425.0,777018.0,784396.0,1151616.0,1377403.0,2566362.0,1248489.0,949639.0,83587.0
Industrial,4750.0,5438.0,5684.0,9663.0,19674.0,23083.0,74993.0,66505.0,125163.0,16278.0,11786.0,44322.0
Savings - peak demand (MW),60.5,55.6,47.2,24.7,22.9,23.3,25.6,28.0,37.5,28.5,13.3,8.1
Residential,32.7,20.9,28.6,14.4,8.4,7.8,6.0,6.6,13.8,11.0,8.6,6.5
Commercial,27.8,34.4,18.4,10.0,14.2,15.1,19.1,21.1,22.3,17.2,4.7,1.5
Costs - customer incentive (thousand dollars),55757.0,54380.0,38843.0,36339.0,23856.0,18923.0,16375.0,20618.0,29600.0,20822.0,22089.0,7705.0
Residential,36984.0,32817.0,28352.0,25385.0,9042.0,6792.0,2171.0,6237.0,14581.0,7775.0,9487.0,4588.0
Commercial,18688.0,21474.0,10431.0,10860.0,14686.0,12007.0,14011.0,14194.0,14520.0,12953.0,12572.0,2697.0
Industrial,84.0,90.0,60.0,94.0,128.0,124.0,192.0,187.0,499.0,94.0,30.0,420.0
Costs - all other costs (thousand dollars),45076.0,40144.0,39330.0,25722.0,13423.0,12808.0,9007.0,12301.0,15359.0,12210.0,11594.0,7144.0
Residential,29344.0,24509.0,29793.0,15933.0,6122.0,5588.0,2958.0,7161.0,11256.0,8977.0,7365.0,5648.0
Commercial,15635.0,15537.0,9489.0,9652.0,7191.0,6352.0,5987.0,5106.0,3925.0,3207.0,4228.0,1386.0
Industrial,97.0,97.0,48.0,137.0,110.0,869.0,63.0,34.0,178.0,26.0,1.0,110.0
"Data Source: U.S. Energy Information Administration, Form EIA-861, Annual Electric Power Industry Report.",,,,,,,,,,,,
