technology_by_sector,year_2024,year_2023,year_2022,year_2021,year_2020,year_2019,year_2018,year_2017,year_2016
Photovoltaic  (MW),5.149,8.262,5.753,5.337,4.852,4.837,4.826,4.727,3.309
Residential,0.173,0.226,0.156,0.185,0.15,0.14,0.13,0.12,0.108
Commercial,0.212,0.794,0.816,0.851,0.401,0.396,0.396,0.389,0.393
Industrial,0.066,0.066,0.083,0.083,0.083,0.083,0.083,,
Transportation,0.0,0.0,0.0,0.0,0.0,0.0,,,
Direct Connected,4.698,7.175,4.698,4.218,4.218,4.218,4.218,4.218,2.808
Battery  (MW),3.475,1.2,0.71,0.47,0.47,0.0,,,
Residential,0.115,0.0,0.0,0.0,0.0,0.0,,,
Commercial,3.36,1.2,0.71,0.47,0.47,0.0,,,
Industrial,,0.0,0.0,0.0,0.0,0.0,,,
Transportation,,0.0,0.0,0.0,0.0,0.0,,,
Direct Connected,,0.0,0.0,0.0,0.0,0.0,,,
Battery Energy  (MWh),0.0,0.0,,,,,,,
Residential,,,,,,,,,
Commercial,,,,,,,,,
Industrial,,,,,,,,,
Transportation,,,,,,,,,
Direct Connected,,,,,,,,,
Wind  (MW),0.01,0.0,0.0,0.0,0.0,0.01,0.01,,0.002
Residential,0.0,0.0,0.0,0.0,0.0,0.0,,,
Commercial,0.01,0.0,0.0,0.0,0.0,0.01,0.01,,0.002
Industrial,0.0,0.0,0.0,0.0,0.0,0.0,,,
Direct Connected,0.0,0.0,0.0,0.0,0.0,0.0,,,
Hydroelectric  (MW),2.32,12.32,2.32,2.57,2.57,2.57,2.57,2.57,2.37
Commercial,0.51,0.51,0.11,0.11,0.11,0.11,0.11,0.11,1.71
Industrial,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Direct Connected,1.81,11.81,1.81,2.06,2.06,2.06,2.06,2.06,0.26
Fuel Cell  (MW),0.6,0.6,0.6,0.6,0.0,0.0,,,
Commercial,0.6,0.6,0.6,0.6,0.0,0.0,,,
Internal Combustion  (MW),2.95,7.325,11.325,11.325,11.04,10.29,10.29,5.29,6.19
Commercial,2.2,1.575,5.575,5.575,4.95,4.95,4.95,4.95,5.75
Industrial,0.75,0.75,0.75,0.75,6.09,5.34,5.34,0.34,0.44
Direct Connected,0.0,5.0,5.0,5.0,0.0,0.0,,,
Gas Turbine  (MW),0.0,0.0,0.0,0.0,0.0,0.0,,,
Commercial,0.0,0.0,0.0,0.0,0.0,0.0,,,
Steam  (MW),0.0,0.0,0.0,0.0,0.0,0.0,,,
Other  (MW),0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065
Commercial,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065
Total  (MW),14.569,29.772,20.773,20.367,18.997,17.772,17.761,12.652,11.936
Residential,0.288,0.226,0.156,0.185,0.15,0.14,0.13,0.12,0.108
Commercial,6.957,4.744,7.876,7.671,5.996,5.531,5.531,5.514,7.92
Industrial,0.816,0.816,1.233,1.233,6.573,5.823,5.823,0.74,0.84
Direct Connected,6.508,23.985,11.508,11.278,6.278,6.278,6.278,6.278,3.068
"Data Source: U.S. Energy Information Administration, Form EIA-861, Annual Electric Power Industry Report.
Prior to 2023, the battery historical data was listed as storage.",,,,,,,,,
