commercial,257568_044,16244_576,18010_963,22066_984,23089_217,25714_168,25686_011,25846_897,25067_667,21550_214,20213_775,16995_617,17081_955
Industrial,6778.269,438.034,488.442,611.171,628.973,681.6,685.278,685.77,660.408,566.646,515.363,413.923,402.661
Non-Third Party Owner,1041556.938,64363.083,71417.165,87315.219,90926.646,103991.369,104149.662,105207.656,102620.343,88729.576,83214.244,70577.978,69043.997
Residential,777479.404,47691.675,52934.376,64659.707,67232.807,77620.367,77807.833,78706.37,76923.493,66635.3,62511.005,53184.148,51572.323
Commercial,257299.265,16233.374,17994.347,22044.341,23064.866,25689.402,25656.551,25815.515,25036.442,21527.631,20187.876,16979.907,17069.013
Third Party Owner,2417.061,23.656,39.139,192.571,276.5,248.681,378.528,361.167,331.319,238.203,262.888,33.918,30.491
Residential,2148.282,12.454,22.523,169.928,252.149,223.915,349.068,329.785,300.094,215.62,236.989,18.208,17.549
Commercial,268.779,11.202,16.616,22.643,24.351,24.766,29.46,31.382,31.225,22.583,25.899,15.71,12.942
Industrial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),,,,,,,,,,,,,
Total,690.141,595.155,597.203,599.428,602.007,632.026,637.75,643.715,650.845,658.173,667.672,676.014,690.141
Residential,515.006,441.308,443.134,445.103,446.995,473.868,478.892,483.911,490.128,496.101,502.672,509.486,515.006
Commercial,170.99,149.714,149.936,150.146,150.833,153.979,154.679,155.614,156.527,157.88,160.808,162.336,170.99
Industrial,4.145,4.133,4.133,4.179,4.179,4.179,4.179,4.19,4.19,4.192,4.192,4.192,4.145
Non-Third Party Owner,689.683,593.19,595.538,597.596,599.658,629.987,635.283,641.253,648.331,655.653,665.245,675.581,689.683
Residential,514.756,439.551,441.677,443.479,444.854,472.037,476.633,481.657,487.822,493.789,500.453,509.261,514.756
Commercial,170.782,149.506,149.728,149.938,150.625,153.771,154.471,155.406,156.319,157.672,160.6,162.128,170.782
Third Party Owner,0.458,1.965,1.665,1.832,2.349,2.039,2.467,2.462,2.514,2.52,2.427,0.433,0.458
Residential,0.25,1.757,1.457,1.624,2.141,1.831,2.259,2.254,2.306,2.312,2.219,0.225,0.25
Commercial,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208
"TPO- Third-party owners- companies that provide either solar electricity or equipment to generate it to building owners or tenants,   typically with little or no upfront costs.
Non-Third Party Owners- privately owned PV systems.
TPO generation is included in the reported EIA-861 sales to ultimate customer data, non-TPO generation is not included.
Data Source: U.S. Energy Information Administration, Form EIA-860, Annual Electric Generator Report. U.S. Energy Information Administration, Form   EIA-861, Annual Electric Power Industry Report. U.S. Energy Information Administration, Form EIA-923, Power Plant Operations Report and Small Scale Solar Estimation.",,,,,,,,,,,,,
