sector,year_2024,year_2023,year_2022,year_2021,year_2020,year_2019,year_2018,year_2017,year_2016,year_2015,year_2014
Generation (MWh),,,,,,,,,,,
Total,1043973.999,707598.734,389302.439,320259.738,213743.981,131502.103,82301.734,65721.952,41130.878,29690.853,21709.162
Residential,779627.686,539012.309,299717.218,236079.641,148179.053,92939.079,57832.456,40613.846,25192.545,16158.93,10699.53
Commercial,257568.044,162333.192,84620.737,81091.95,62947.406,36791.742,22887.456,24453.676,15679.87,13157.818,10743.137
Industrial,6778.269,6253.235,4964.485,3088.145,2617.523,1771.282,1581.819,654.43,258.462,374.108,266.494
Non-Third Party Owner,1041556.938,706534.203,388630.067,319644.878,213164.199,131106.267,81992.144,65398.228,40841.502,29631.981,21709.162
Residential,777479.404,538246.996,299354.266,235769.411,147873.975,92618.58,57522.866,40290.122,24903.169,16100.058,10699.53
Commercial,257299.265,162033.974,84311.317,80787.32,62672.702,36716.405,22887.456,24453.676,15679.87,13157.818,10743.137
Third Party Owner,2417.061,1064.531,672.372,614.86,579.782,395.836,309.59,323.724,289.376,58.872,0.0
Residential,2148.282,765.313,362.952,310.23,305.078,320.499,309.59,323.724,289.376,58.872,0.0
Commercial,268.779,299.218,309.42,304.63,274.704,75.337,0.0,0.0,0.0,0.0,0.0
Industrial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capacity (MW),,,,,,,,,,,
Total,690.141,592.81,258.417,225.888,161.334,100.603,60.65,46.456,29.542,22.484,15.206
Residential,515.006,440.551,196.961,173.512,111.876,70.71,43.727,28.725,18.259,12.713,8.093
Commercial,170.99,148.117,54.072,50.473,47.559,28.699,15.936,16.968,11.124,9.451,6.913
Industrial,4.145,4.142,7.384,1.903,1.899,1.194,0.987,0.763,0.16,0.32,0.2
Non-Third Party Owner,689.683,591.086,257.763,225.465,160.898,100.18,60.435,46.241,29.335,22.342,15.206
Residential,514.756,439.035,196.515,173.297,111.648,70.495,43.512,28.51,18.052,12.571,8.093
Commercial,170.782,147.909,53.864,50.265,47.351,28.491,15.936,16.968,11.124,9.451,6.913
Third Party Owner,0.458,1.724,0.654,0.423,0.436,0.423,0.215,0.215,0.207,0.142,0.0
Residential,0.25,1.516,0.446,0.215,0.228,0.215,0.215,0.215,0.207,0.142,0.0
Commercial,0.208,0.208,0.208,0.208,0.208,0.208,0.0,0.0,0.0,0.0,0.0
"TPO- Third-party owners- companies that provide either solar electricity or equipment to generate it to building owners or tenants,   typically with little or no upfront costs.
Non-Third Party Owners- privately owned PV systems.
TPO generation is included in the reported EIA-861 sales to ultimate customer data, non-TPO generation is not included.
Data Source: U.S. Energy Information Administration, Form EIA-860, Annual Electric Generator Report. U.S. Energy Information Administration, Form   EIA-861, Annual Electric Power Industry Report. U.S. Energy Information Administration, Form EIA-923, Power Plant Operations Report and Small Scale Solar Estimation.",,,,,,,,,,,
