1,bath_county,pumped_storage,virginia_electric___power_co,3015_1
2.0,North Anna,Nuclear,Virginia Electric & Power Co,1893.0
3.0,Surry,Nuclear,Virginia Electric & Power Co,1676.0
4.0,Greensville County Power Station,Natural gas,Virginia Electric & Power Co,1588.0
5.0,Brunswick County Power Station,Natural gas,Virginia Electric & Power Co,1376.0
6.0,Warren County,Natural gas,Virginia Electric & Power Co,1370.0
7.0,Doswell Energy Center,Natural gas,Doswell Ltd Partnership,1189.0
8.0,Tenaska Virginia Generating Station,Natural gas,Tenaska Virginia Partners LP,937.4
9.0,Clover,Coal,Virginia Electric & Power Co,877.1
10.0,Ladysmith,Natural gas,Virginia Electric & Power Co,814.0
,,,,
