nan,year_2024,year_2023,year_2022,year_2021,year_2020,year_2019,year_2018,year_2017,year_2016,year_2015,year_2014,year_2013,year_2012,year_2011,year_2010,year_2009,year_2008,year_2007,year_2006,year_2005,year_2004,year_2003,year_2002,year_2001,year_2000,year_1999,year_1998,year_1997,year_1996,year_1995,year_1994,year_1993,year_1992,year_1991,year_1990,percent_share_2000,percent_share_2010,percent_share_2020,percent_share_2024
Electric utilities,21256.2,21020.3,22592.2,22304.0,22024.4,22504.8,23975.4,22371.2,22327.5,20928.1,22061.5,20601.1,20626.1,19999,19429.5,19130.9,18823.7,18372,18162,18087,17547,17045,15817,15761,15608,15312,15316,15293,14764,14300,13764,14055,14020,13652,13661,79.5,80.6,78.8,72.9
Battery,60.0,60.0,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,0.2
Coal,1487.1,1487.1,2493.0,2493.0,2493.0,2493.0,3214.0,3214.0,3214.0,3674,4811,4811,5205,4600.5,4594,4587,4587,4605,4586,4586,4468,4405,4789,4784,4796,5099,5099,5099,5099,5451,4217,4217,4217,4210,4225,24.4,19.1,8.9,5.1
Hydroelectric,821.6,821.6,821.6,821.6,832.1,832.1,844.6,844.6,844.6,844.6,844.6,844.6,844.8,844.8,844.8,694.7,655.5,654,650,650,760,759,738,738,742,739,742,740,741,742,764,765,763,765,765,3.8,3.5,3.0,2.8
Natural gas,9963.4,9955.3,10056.6,10055.6,10845.6,10041.6,10856.6,9271.6,9238.6,7410,7410,5936.3,5709.3,5710.7,5121.7,5075.7,4896.7,4429,4395,4395,4101,3714,2097,2119,1877,1318,1318,1395,865,995,400,595,336,136,130,9.6,21.2,38.8,34.2
..Natural gas - CC,6132.4,6128.4,6233.3,6233.3,6233.3,6219.3,6491.3,4906.3,4873.3,3502.2,3502.2,2030,2030,2030,1441,1419,1419,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,22.3,21.0
..Natural gas - GT,3370.0,3365.9,3362.3,3362.3,3362.3,3362.3,3362.3,3362.3,3362.3,3362.1,3362.1,3360.6,3360.6,3362,3362,3338,3159,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13.9,12.0,11.6
..Natural gas - IC,1.0,1.0,1.0,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,0.0
..Natural gas - ST,460.0,460.0,460.0,460.0,1250.0,460.0,1003.0,1003.0,1003.0,545.7,545.7,545.7,318.7,318.7,318.7,318.7,318.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.3,4.5,1.6
Nuclear,3568.0,3568.0,3568.0,3568.0,3568.0,3568.0,3568.0,3568.0,3568.0,3568,3568,3581.3,3562,3539,3501,3404,3404,3404,3432,3432,3440,3467,3467,3467,3467,3392,3392,3392,3392,3392,3349,3349,3349,3382,3382,17.7,14.5,12.8,12.2
Other,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,129,206,206,206,129,129,.,.,.,257,62,62,1,.,,
Other biomass,,,,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0,
Petroleum,363.6,364.8,1152.4,1164.4,374.4,1951.6,1953.0,1955.6,1960.7,1953.5,1949.9,1949.9,1980,1980,2044,2045.5,2036.5,2037,2023,2027,2078,2061,2081,2180,2176,2214,2214,2193,2193,1375,2690,2785,2753,2753,2752,11.1,8.5,1.3,1.2
..Petroleum - GT,260.4,260.4,261.0,273.0,273.0,273.0,273.0,273.0,275.1,275.1,275.1,275.1,275.1,275.1,339.1,339.1,339.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.4,1.0,0.9
..Petroleum - IC,103.2,104.4,101.4,101.4,101.4,102.6,104.0,106.6,109.6,102.4,98.8,98.8,100.9,100.9,100.9,102.4,93.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.4,0.4,0.4
..Petroleum - ST,,,790.0,790.0,,1576.0,1576.0,1576.0,1576.0,1576,1576,1576,1604,1604,1604,1604,1604,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6.7,,
Pumped storage,3253.1,3253.1,3241.0,3241.0,3241.0,3241.0,3241.0,3241.0,3241.0,3241,3241,3241,3241,3241,3241,3241,3161,3161,2997,2917,2700,2638,2645,2345,2345,2345,2345,2345,2345,2345,2345,2345,2345,2345,2345,11.9,13.4,11.6,11.2
Solar,1574.4,1345.4,1094.6,794.4,516.3,223.5,61.2,39.4,23.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,1.8,5.4
..Solar- PV,1574.4,1345.4,1094.6,794.4,516.3,223.5,61.2,39.4,23.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.8,5.4
Wind,12.0,12.0,12.0,12.0,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,0.0
..Wind - Offshore,12.0,12.0,12.0,12.0,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,0.0
Wood,153.0,153.0,153.0,153.0,153.0,153.0,236.0,236.0,236.0,236,236,236,83,83,83,83,83,83,80,80,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.3,0.5,0.5
"IPP, commercial and industrial",7890.3,7197.9,6577.0,6211.3,5918.2,5539.9,5659.4,5288.9,4294.1,4253.5,4230.9,4226.7,4222.5,4685.9,4679.5,4657.1,4651.9,4620,4486,4513,4934,4127,4386,4325,4017,3415,3434,3439,3609,3328,3332,2983,2913,1835,1404,20.5,19.4,21.2,27.1
Battery,10.5,10.5,10.5,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,0.0
Coal,43.0,43.0,43.0,43.0,385.7,385.9,566.0,564.0,586.4,705.3,730.9,743.1,771.3,1247.6,1273.9,1190.2,1186.4,1189,1188,1197,1327,1328,1328,1353,1589,1106,1122,1150,1119,925,894,894,913,462,373,8.1,5.3,1.4,0.1
Hydroelectric,45.0,45.0,45.0,44.4,33.9,33.9,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.2,21.2,21,21,22,22,21,20,20,20,20,22,22,22,22,22,22,18,18,13,0.1,0.1,0.1,0.2
Natural gas,3749.5,3771.2,3747.0,3650.6,3646.5,3651.4,3695.4,3349.8,2561.6,2483.2,2345,2334.4,2458.3,2451.9,2458.9,2460.1,2454.1,2440,2414,2433,2654,1844,2094,1589,1649,1638,1637,832,1805,1805,1805,1544,1474,698,531,8.4,10.2,13.0,12.9
..Natural gas - CC,2777.7,2770.4,2738.9,2645.5,2643.8,2648.7,2742.1,2752.6,1986.8,1912.2,1816.2,1816.2,1939.3,1932.9,1939.9,1948.2,1948.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,9.5,9.5
..Natural gas - GT,842.0,880.0,887.0,883.0,883.0,883.0,883.0,532.0,532.0,532,517,517,517,517,517,509.9,503.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.1,3.2,2.9
