nan,year_2024,year_2023,year_2022,year_2021,year_2020,year_2019,year_2018,year_2017,year_2016,year_2015,year_2014,year_2013,year_2012,year_2011,year_2010,year_2009,year_2008,year_2007,year_2006,year_2005,year_2004,year_2003,year_2002,year_2001,year_2000,year_1999,year_1998,year_1997,year_1996,year_1995,year_1994,year_1993,year_1992,year_1991,year_1990
Additions,1000.9,835.6,698.2,903.1,679.4,163.1,1969,1057.6,1521,15,1370,131.8,618.8,624.8,14,180.9,342.6,13.5,2,5,1440.5,1055.4,110,941.3,741.1,9,.,26.3,439.8,440,218,11.5,1085,348,1041.8
Battery,.,20,50.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Coal,.,.,.,.,.,.,.,.,.,.,.,.,610,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,437.1,440,.,.,.,.,.
Hydroelectric,.,.,.,0.6,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.9,.,.,4.5
Natural gas,2,.,.,2.4,.,.,1911,766,1376,15,1370,.,1,621.9,.,165,325,.,.,.,1418.7,1039,84,744,603.7,.,.,.,.,.,218,.,922.8,348,925.8
..Natural gas - CC,.,.,.,.,.,.,1588,766,1376,.,1370,.,.,621.9,.,.,.,.,.,.,937.4,573,.,.,.,.,.,.,.,.,218,.,542.8,348,569
..Natural gas - GT,.,.,.,.,.,.,323,.,.,15,.,.,.,.,.,165,325,.,.,.,481.3,466,84,744,603.7,.,.,.,.,.,.,.,325,.,340
..Natural gas - IC,2,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
..Natural gas - ST,.,.,.,2.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,55,.,16.8
Other biomass,.,.,.,.,.,.,.,.,.,.,.,5.4,7.8,2.9,14,8.4,15.6,10.5,.,.,.,14.4,.,14.4,.,.,.,.,.,.,.,3.2,.,.,98
Petroleum,.,.,.,.,.,.,.,3,6,.,.,.,.,.,.,7.5,.,3,2,5,21.8,2,26,182.9,137.4,9,.,26.3,2.7,.,.,5.4,9.2,.,13.5
..Petroleum - GT,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,179.7,137.4,9,.,18,.,.,.,.,.,.,.
..Petroleum - IC,.,.,.,.,.,.,.,3,6,.,.,.,.,.,.,7.5,.,3,2,5,21.8,2,26,3.2,.,.,.,8.3,2.7,.,.,5.4,9.2,.,13.5
Solar,998.9,815.6,647.7,888.1,679.4,163.1,58,288.6,139,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
..Solar- PV,998.9,815.6,647.7,888.1,679.4,163.1,58,288.6,139,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Wind,.,.,.,12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
..Wind - Offshore,.,.,.,12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Wood,.,.,.,.,.,.,.,.,.,.,.,126.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,153,.,.
Retirements,31.1,1823.9,3.8,343.5,787.2,1726.8,49,.,119.7,1150,1.6,26.7,487.6,64,75.6,5.5,3,2.5,9,.,5,2,143,.,.,.,.,.,1.4,.,.,.,.,.,.
Coal,.,1006,.,342.7,.,813.6,.,.,115,1150,1.6,21,482,.,9,.,3,.,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Natural gas,.,790.3,1,.,.,810,46.4,.,2.7,.,.,.,5.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
..Natural gas - CC,.,.,.,.,.,267,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
..Natural gas - GT,.,.,.,.,.,.,46.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
..Natural gas - IC,.,0.3,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
..Natural gas - ST,.,790,.,.,.,543,.,.,2.7,.,.,.,5.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Other biomass,29.9,6.6,2.8,.,.,5,.,.,2,.,.,2.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Petroleum,1.2,21,.,0.8,787.2,15.2,2.6,.,.,.,.,3,.,64,3,.,.,1.5,.,.,.,2,143,.,.,.,.,.,1.4,.,.,.,.,.,.
..Petroleum - GT,.,.,.,.,.,12,.,.,.,.,.,.,.,64,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
..Petroleum - IC,1.2,21,.,0.8,1.2,3.2,2.6,.,.,.,.,3,.,.,3,.,.,1.5,.,.,.,2,.,.,.,.,.,.,1.4,.,.,.,.,.,.
..Petroleum - ST,.,.,.,.,786,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,143,.,.,.,.,.,.,.,.,.,.,.,.
Wood,.,.,.,.,.,83,.,.,.,.,.,.,.,.,63.6,5.5,.,1,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"EIA capacity additions and retirements are determined by the respective operating and retirement dates in the most recent final data year. EIA estimates for capacity   values prior to 2002 are estimates based on best available data.
Other biomass includes agricultural byproducts, landfill gas, biogenic municipal solid waste, other biomass (solid, liquid and gas) and sludge waste.
Other gases includes blast furnace gas, and other manufactured and waste gases derived from fossil fuels.
Other includes non-biogenic municipal solid waste, batteries, chemicals, hydrogen, pitch, purchased steam, sulfur, tire-derived fuels, waste heat and miscellaneous technologies.
Data Source: U.S. Energy Information Administration, Form EIA-860, Annual Electric Generator Report.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
