nan,year_2024,year_2023,year_2022,year_2021,year_2020,year_2019,year_2018,year_2017,year_2016,year_2015,year_2014,year_2013,year_2012,year_2011,year_2010,year_2009,year_2008,year_2007,year_2006,year_2005,year_2004,year_2003,year_2002,year_2001,year_2000,year_1999,year_1998,year_1997,year_1996,year_1995,year_1994,year_1993,year_1992,year_1991,year_1990,percent_share_2000,percent_share_2010,percent_share_2020,percent_share_2024
Electric utilities,76210758.0,68966543.0,69673108.0,72449064.0,80243866.0,74385815.0,72378588.0,70951166.0,76224379.0,67573071,62966914,63724860,56188401,53328664,58902054,59225368,59780402,64316732,61176351,65456080,65103653,61806347,62880125,62135492,65842720,65071068,63814565,58985991,56532918,52727470,52732286,52181906,48963593,48940655,47200499,85.3,80.7,77.9,74.2
Battery,-4393.0,0.0,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,0.0
Coal,1859547.0,1324822.0,3223592.0,3023002.0,3563210.0,3175687.0,8452786.0,9998745.0,15605426.0,16023099,19043496,19735508,12573273,17243195,21365585,22424638,25779154,29425485,28553670,28803324,27772985,29145703,31099307,30657436,33964556,31743474,31471297,29676411,27930011,24442870,22448944,24722481,22676018,21939027,21000180,44,29.3,3.5,1.8
Hydroelectric,1142731.0,1283711.0,1026958.0,1194096.0,1941016.0,1444643.0,1696258.0,1056341.0,1390966.0,1071704,881608,1170663,969358,1131815,1424606,1396112,947412,1182353,1270707,1391152,1490114,1669793,840374,973563,649614,620073,1210984,939569,1339167,917654,1070830,1247208,1017844,1012074,1261363,0.8,2,1.9,1.1
Natural gas,42271289.0,34877855.0,35195217.0,38047952.0,44064909.0,39928037.0,32229260.0,29021964.0,29012699.0,21401118,12047248,13781412,14708570,10062158,9573845,7348089,5350551,5947608,3781091,4414479,3976271,2690674,2128402,2130640,1839850,2599607,2198665,1291954,1123697,1880982,2151992,2139635,1177489,1104440,758289,2.4,13.1,42.8,41.2
..Natural gas - CC,39310217.0,32892650.0,33039612.0,35732430.0,40670017.0,37210132.0,28557550.0,26674523.0,25649593.0,18491223,10035004,11636077,13125703,8702014,6578140,6367466,4237475,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,39.5,38.3
..Natural gas - GT,2769958.0,1897755.0,2057384.0,2159305.0,3091741.0,2357497.0,2927574.0,1936701.0,2563144.0,2640264,1578975,1976460,1367771,1166700,2664365,824583,892189,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3.7,3.0,2.7
..Natural gas - IC,259.0,92.0,109.0,0.0,2303.0,2476.0,1682.0,1879.0,3756.0,675,102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0,0.0
..Natural gas - ST,190855.0,87358.0,98112.0,156217.0,300849.0,357931.0,742454.0,408861.0,796205.0,268956,433167,168876,215096,193445,331340,156039,220887,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.5,0.3,0.2
Nuclear,28945327.0,29662935.0,28197337.0,28571516.0,30140054.0,29497516.0,29251668.0,30553734.0,29731895.0,28060358,30220977,29326231,28723390,25547997,26571899,28212252,27930764,27268475,27593516,27918481,28315294,24816022,27346163,25759130,28321091,28300643,27234399,27084059,26286283,25134831,25428856,22688763,23334340,23886268,23820152,36.7,36.4,29.2,28.2
Other,,,,,,,,,0.0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,.,.,.,0,0,0,.,.,,
Other biomass,0.0,0.0,0.0,0.0,2796.0,3650.0,2700.0,3798.0,3957.0,3642,4826,4449,3906,13526,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0,0.0
Petroleum,135552.0,65923.0,431767.0,217453.0,142276.0,163645.0,692307.0,308867.0,382310.0,850925,935487,225736,234305,394399,1033926,738411,903428,1653940,662100,3809135,4664410,4982314,3454714,4854800,2408600,3035028,2654660,857789,683363,1119524,2373888,2157896,1422824,2036478,1194150,3.1,1.4,0.1,0.1
..Petroleum - GT,112054.0,35035.0,269804.0,95957.0,34968.0,29878.0,264431.0,136118.0,102515.0,136326,338910,45642,8594,66151,189576,162257,110266,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.3,0.0,0.1
..Petroleum - IC,6868.0,7089.0,7726.0,8050.0,7177.0,4577.0,2662.0,1487.0,2209.0,3455,3604,1354,1354,2060,6010,6411,7468,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0.0,0.0
..Petroleum - OTH,6077.0,4991.0,76682.0,48105.0,4172.0,16897.0,125049.0,11384.0,14258.0,142295,155518,3229,9128,32614,22486,50360,16758,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0.0,0.0
..Petroleum - ST,10552.0,18808.0,77555.0,65340.0,95960.0,112293.0,300164.0,159878.0,263328.0,568849,437455,175511,215229,293574,815854,519383,768936,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.1,0.1,0.0
Pumped storage,-1532586.0,-1454881.0,-1501756.0,-1038703.0,-1079536.0,-1104203.0,-1291976.0,-1277795.0,-1162636.0,-1036382,-1295354,-1189000,-1365574,-1469539,-1490602,-1334709,-1637688,-1620283,-1167444,-1420823,-1166111,-1498159,-1988835,-2240077,-1340991,-1227757,-955440,-863791,-829603,-768394,-742235,-774085,-664933,-1037665,-833669,-1.7,-2,-1.0,-1.5
Solar,2334454.0,2101097.0,1913330.0,1357813.0,666297.0,264013.0,141367.0,109229.0,4996.0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,3,11,8,11,33,34,0,.,0.6,2.3
..Solar- PV,2334454.0,2101097.0,1913330.0,1357813.0,666297.0,264013.0,141367.0,109229.0,4996.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.6,2.3
Wind,50260.0,46969.0,50852.0,49583.0,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,0.0
..Wind - Offshore,50260.0,46969.0,50852.0,49583.0,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,0.0
Wood,1008578.0,1058112.0,1135812.0,1026352.0,802842.0,1012827.0,1204218.0,1176283.0,1254766.0,1198607,1128627,669861,341173,405112,422794,440576,506781,459154,482711,540332,50690,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,0.6,0.8,1.0
"IPP, commercial and industrial",26487857.0,22092801.0,19804217.0,21029118.0,22812135.0,22441825.0,23130533.0,19465983.0,16330496.0,16838521,14170524,13171706,14550834,13342195,14064402,10856698,12898129,14043775,11893186,13486965,13796387,13503073,12125526,11969252,11346651,8826540,8384878,9529343,10362207,10268551,9316640,9061605,7388762,5788441,5363959,14.7,19.3,22.1,25.8
Battery,-2348.0,-1513.0,-91.0,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,0.0
Coal,112563.0,90205.0,122481.0,225471.0,199585.0,242423.0,813489.0,727678.0,893986.0,1208327,1775088,1424994,1607523,2637918,4093636,3174650,5997202,5995261,5734471,6621551,7883021,7947628,6983074,7112480,5796761,3701049,3404469,4483521,4551836,4054195,4141711,4687521,3549016,2882365,2899721,7.5,5.6,0.2,0.1
