emission_type,year_2024,year_2023,year_2022,year_2021,year_2020,year_2019,year_2018,year_2017,year_2016,year_2015,year_2014,year_2013,year_2012,year_2011,year_2010,year_2009,year_2008,year_2007,year_2006,year_2005,year_2004,year_2003,year_2002,year_2001,year_2000,year_1999,year_1998,year_1997,year_1996,year_1995,year_1994,year_1993,year_1992,year_1991,year_1990
Sulfur dioxide (short tons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal,1122.0,1609.0,2924.0,3027.0,1157.0,3015.0,9298.0,8613.0,16816.0,22128.0,55985.0,56438.0,49857.0,83949.0,117386.0,111861.0,136906.0,189547.0,190542.0,223296.0,200877.0,220539.0,279910.0,231117.0,277674.0,289507.0,268063.0,278805.0,263005.0,276636.0,220087.0,238627.0,227184.0,226261.0,213816.0
Natural gas,174.0,120.0,101.0,131.0,206.0,209.0,247.0,150.0,165.0,46.0,31.0,40.0,60.0,77.0,44.0,20.0,18.0,17.0,11.0,15.0,12.0,9.0,8.0,12.0,12.0,13.0,12.0,6.0,11.0,14.0,13.0,12.0,6.0,4.0,2.0
Other,9471.0,9251.0,9889.0,10627.0,10611.0,10851.0,8604.0,11568.0,11313.0,8465.0,10457.0,10712.0,10373.0,9431.0,10066.0,13212.0,14689.0,14727.0,15528.0,13887.0,13569.0,13041.0,19265.0,15936.0,15501.0,14924.0,16074.0,15672.0,16762.0,15625.0,13256.0,12594.0,12111.0,11395.0,11245.0
Petroleum,274.0,199.0,499.0,360.0,393.0,548.0,1154.0,527.0,1085.0,3102.0,2075.0,887.0,1095.0,1713.0,4591.0,4577.0,5325.0,13231.0,11292.0,20065.0,25134.0,27526.0,23269.0,25067.0,18945.0,22469.0,23479.0,12041.0,9078.0,14682.0,13759.0,12066.0,8446.0,20383.0,13399.0
Total,11041.0,11179.0,13413.0,14145.0,12367.0,14623.0,19303.0,20858.0,29379.0,33741.0,68548.0,68077.0,61385.0,95170.0,132087.0,129670.0,156938.0,217475.0,217325.0,257220.0,239548.0,261066.0,321962.0,271946.0,312135.0,326919.0,307630.0,306527.0,288853.0,306960.0,247116.0,263299.0,247746.0,258043.0,238461.0
Nitrogen oxide (short tons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal,1930.0,894.0,1898.0,2328.0,2933.0,4157.0,10265.0,10123.0,15776.0,17251.0,21485.0,21633.0,21672.0,33077.0,37833.0,30409.0,47800.0,56266.0,53285.0,58506.0,59685.0,69141.0,112819.0,92277.0,102531.0,106437.0,121643.0,124769.0,121907.0,132997.0,123394.0,135178.0,122332.0,119375.0,117510.0
Natural gas,6243.0,5266.0,5040.0,5254.0,6659.0,6364.0,5858.0,5743.0,5844.0,6285.0,4539.0,4284.0,4764.0,4932.0,4672.0,3241.0,3282.0,3091.0,2118.0,3186.0,2823.0,3062.0,3859.0,6058.0,7664.0,8567.0,8290.0,4907.0,6973.0,9032.0,3770.0,3698.0,2331.0,1849.0,1499.0
Other,8797.0,9649.0,10672.0,11845.0,12525.0,13085.0,13613.0,11938.0,12166.0,12677.0,12804.0,13269.0,12315.0,9321.0,9659.0,8639.0,8541.0,10193.0,9498.0,9854.0,9400.0,9550.0,18344.0,14451.0,8934.0,11204.0,10998.0,10750.0,11358.0,10317.0,4730.0,5542.0,5298.0,4943.0,4713.0
Petroleum,729.0,644.0,1115.0,758.0,678.0,615.0,1529.0,846.0,1111.0,1773.0,1828.0,520.0,682.0,853.0,1640.0,1100.0,1976.0,2935.0,2059.0,3988.0,5491.0,7243.0,6455.0,8611.0,5264.0,7094.0,5507.0,6999.0,4841.0,5322.0,4479.0,4187.0,3317.0,4158.0,2974.0
Total,17699.0,16453.0,18725.0,20185.0,22795.0,24221.0,31265.0,28650.0,34897.0,37986.0,40656.0,39706.0,39433.0,48183.0,53804.0,43389.0,61599.0,70381.0,64736.0,73265.0,75224.0,86828.0,137909.0,118890.0,124398.0,133303.0,146444.0,147430.0,145079.0,157668.0,136372.0,148605.0,133277.0,130324.0,126696.0
Carbon dioxide (thousand metric tons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal,2389.0,1748.0,3595.0,3430.0,4143.0,4535.0,10458.0,11584.0,17585.0,18451.0,22508.0,23564.0,17099.0,23224.0,29764.0,28714.0,34955.0,38707.0,36839.0,38418.0,38742.0,38614.0,40226.0,39688.0,43010.0,37688.0,36745.0,35617.0,35155.0,31404.0,29399.0,31731.0,28395.0,26947.0,26160.0
Natural gas,25907.0,21704.0,20798.0,22728.0,26492.0,24274.0,21352.0,18720.0,17701.0,14739.0,9397.0,9963.0,10921.0,8080.0,7912.0,5528.0,4518.0,5253.0,3680.0,5035.0,3154.0,2356.0,2931.0,2272.0,2554.0,2713.0,2407.0,1482.0,2252.0,2868.0,2455.0,2319.0,1428.0,983.0,640.0
Other,822.0,901.0,1015.0,1022.0,877.0,863.0,861.0,463.0,822.0,808.0,861.0,851.0,847.0,835.0,833.0,851.0,849.0,967.0,1062.0,1046.0,1018.0,918.0,884.0,781.0,361.0,767.0,758.0,733.0,733.0,532.0,520.0,529.0,579.0,541.0,397.0
Petroleum,321.0,234.0,685.0,396.0,294.0,292.0,832.0,429.0,458.0,900.0,969.0,308.0,356.0,497.0,1211.0,1068.0,1079.0,2291.0,942.0,3717.0,4397.0,4705.0,3075.0,4442.0,2636.0,3065.0,2784.0,2208.0,1478.0,1769.0,2894.0,2490.0,2094.0,2321.0,1600.0
Total,29439.0,24587.0,26093.0,27575.0,31807.0,29965.0,33504.0,31195.0,36566.0,34898.0,33734.0,34686.0,29223.0,32637.0,39719.0,36161.0,41402.0,47218.0,42523.0,48216.0,47311.0,46592.0,47115.0,47183.0,48561.0,44234.0,42694.0,40041.0,39618.0,36573.0,35268.0,37069.0,32496.0,30791.0,28797.0
Total emission rate (lbs/MWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulfur dioxide,0.2,0.2,0.3,0.3,0.2,0.3,0.4,0.5,0.6,0.8,1.8,1.8,1.7,2.9,3.6,3.7,4.3,5.6,5.9,6.5,6.1,6.9,8.6,7.3,8.1,8.8,8.5,8.9,8.6,9.7,8.0,8.6,8.8,9.4,9.1
Nitrogen oxide,0.3,0.4,0.4,0.4,0.4,0.5,0.7,0.6,0.8,0.9,1.1,1.0,1.1,1.4,1.5,1.2,1.7,1.8,1.8,1.9,1.9,2.3,3.7,3.2,3.2,3.6,4.1,4.3,4.3,5.0,4.4,4.9,4.7,4.8,4.8
Carbon dioxide,631.0,594.0,642.0,649.0,679.0,681.0,772.0,759.0,869.0,910.0,962.0,992.0,909.0,1077.0,1198.0,1135.0,1253.0,1326.0,1280.0,1344.0,1319.0,1361.0,1382.0,1401.0,1384.0,1317.0,1301.0,1286.0,1303.0,1277.0,1250.0,1332.0,1269.0,1238.0,1205.0
"Data Source: Calculations made by the Electric Power Systems and Reliability Team; Office of Electricity,   Renewables, and Uranium Statistics; U.S. Energy Information Administration.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
