sector,year_2024,year_2023,year_2022,year_2021,year_2020,year_2019,year_2018,year_2017,year_2016,year_2015,year_2014,year_2013,year_2012,year_2011,year_2010,year_2009,year_2008,year_2007,year_2006,year_2005,year_2004,year_2003,year_2002,year_2001,year_2000,year_1999,year_1998,year_1997,year_1996,year_1995,year_1994,year_1993,year_1992,year_1991,year_1990,percent_share_2000,percent_share_2010,percent_share_2020,percent_share_2024
Sales (megawatthours),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residential,45272825.0,43095838.0,46717547.0,46634411.0,46088846.0,46666163.0,47962606.0,43982440.0,45186057.0,45928411.0,46443716.0,45416253.0,43534675.0,45771144.0,48438958.0,44763019.0,44596588.0,45480519.0,42906018.0,44661839.0,42503395.0,40876706.0,40358373.0,37325231.0,37541300.0,35778745.0,34703132.0,33923494.0,34650534.0,33471693.0,32343035.0,32472064.0,29780325.0,29607347.0,28129556.0,38.8,42.6,39.3,32.8
Commercial,78710662.0,73807035.0,68556082.0,58723978.0,53526846.0,53981176.0,52268211.0,50200525.0,49263847.0,48347037.0,47751655.0,47750595.0,46756658.0,47051425.0,48036984.0,46828102.0,46877973.0,46971480.0,44653831.0,44670192.0,43024672.0,41179139.0,29998990.0,29065836.0,28298795.0,26968087.0,26176251.0,24905199.0,24564931.0,24027876.0,22947822.0,22726975.0,21609574.0,21230493.0,20213040.0,29.3,42.2,45.7,57.0
Industrial,13775530.0,15176022.0,16861186.0,19712199.0,17474236.0,17598247.0,17736936.0,17168820.0,17648014.0,17537165.0,17700993.0,17150375.0,17315739.0,17218005.0,17141224.0,16677928.0,18437713.0,18924871.0,18998109.0,19354048.0,19734461.0,19282214.0,19520908.0,19701918.0,20618946.0,20269126.0,20024370.0,19249298.0,19020734.0,18554114.0,18153521.0,17390106.0,16713730.0,16028804.0,16398544.0,21.3,15.1,14.9,10.0
Other,,,,,,,,,,,,,,,,,,,,,,,10740299.0,10360190.0,10256361.0,10016510.0,9704770.0,9342349.0,9359444.0,9108802.0,8765760.0,8782636.0,8344797.0,8244504.0,7955129.0,10.6,0.0,0.0,0.0
Transportation,285755.0,239610.0,129802.0,174608.0,164460.0,189794.0,198595.0,177947.0,182747.0,196432.0,202017.0,194604.0,187913.0,187691.0,188969.0,193414.0,194063.0,192682.0,163283.0,163473.0,161645.0,171672.0,,,,,,,,,,,,,,0.0,0.2,0.1,0.2
Total,138044772.0,132318505.0,132264617.0,125245196.0,117254388.0,118435380.0,118166348.0,111529732.0,112280665.0,112009045.0,112098381.0,110511827.0,107794985.0,110228265.0,113806135.0,108462463.0,110106337.0,111569552.0,106721241.0,108849552.0,105424173.0,101509731.0,100618570.0,96453175.0,96715402.0,93032468.0,90608523.0,87420340.0,87595643.0,85162485.0,82210138.0,81371781.0,76448426.0,75111148.0,72696269.0,100.0,100.0,100.0,100.0
Revenue (thousand dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residential,6524032.6,6145510.9,6233143.8,5579585.4,5542948.3,5632065.9,5624477.9,5078888.6,5131025.4,5221258.9,5155280.8,4924510.0,4822892.8,4871348.8,5061603.4,4747647.9,4288126.6,3975897.0,3641809.0,3644951.0,3397449.0,3173954.0,3144111.0,2907600.0,2822623.0,2677381.0,2607610.0,2628143.0,2632866.0,2625754.0,2507237.0,2458741.0,2273321.0,2173237.0,2038635.0,49.2,51.2,51.6,44.5
Commercial,6865113.6,6604436.7,6620629.3,4575241.5,4085685.9,4417181.5,4346838.4,4023032.3,3908785.1,3969544.6,3892714.8,3820166.4,3777881.5,3742883.7,3676235.9,3772480.8,3433337.7,2995928.0,2774956.0,2704508.0,2529644.0,2365003.0,1761586.0,1701360.0,1597907.0,1497523.0,1468599.0,1486605.0,1450684.0,1458299.0,1339129.0,1395465.0,1346642.0,1284045.0,1225466.0,27.8,37.2,38.0,46.8
