date,station,TAVG,TMAX,TMIN
2024-01-01,GHCND:USW00093738,4.7,6.1,1.7
2024-01-02,GHCND:USW00093738,3.8,7.2,0.0
2024-01-03,GHCND:USW00093738,3.1,8.9,-2.7
2024-01-04,GHCND:USW00093738,3.9,7.2,-0.5
2024-01-05,GHCND:USW00093738,0.0,5.6,-6.6
2024-01-06,GHCND:USW00093738,0.6,3.3,-3.2
2024-01-07,GHCND:USW00093738,3.6,10.6,-1.0
2024-01-08,GHCND:USW00093738,5.2,9.4,-1.0
2024-01-09,GHCND:USW00093738,5.6,15.0,3.3
2024-01-10,GHCND:USW00093738,10.2,12.8,3.9
2024-01-11,GHCND:USW00093738,5.0,12.2,-2.1
2024-01-12,GHCND:USW00093738,3.8,10.0,-2.7
2024-01-13,GHCND:USW00093738,8.1,9.4,-2.1
2024-01-14,GHCND:USW00093738,0.9,7.8,-2.7
2024-01-15,GHCND:USW00093738,-2.6,-1.6,-4.3
2024-01-16,GHCND:USW00093738,-2.3,-1.0,-8.2
2024-01-17,GHCND:USW00093738,-6.9,-1.0,-13.2
2024-01-18,GHCND:USW00093738,-5.6,1.7,-11.6
2024-01-19,GHCND:USW00093738,-1.2,0.0,-6.0
2024-01-20,GHCND:USW00093738,-4.9,-3.2,-11.0
2024-01-21,GHCND:USW00093738,-5.0,0.0,-8.2
2024-01-22,GHCND:USW00093738,-4.9,3.9,-13.8
2024-01-23,GHCND:USW00093738,-0.1,8.9,-6.6
2024-01-24,GHCND:USW00093738,4.6,8.3,1.7
2024-01-25,GHCND:USW00093738,12.7,19.4,7.2
2024-01-26,GHCND:USW00093738,20.0,26.1,13.3
2024-01-27,GHCND:USW00093738,12.5,16.1,5.0
2024-01-28,GHCND:USW00093738,7.8,8.3,5.6
2024-01-29,GHCND:USW00093738,6.1,8.3,2.8
2024-01-30,GHCND:USW00093738,4.7,6.7,3.3
2024-01-31,GHCND:USW00093738,4.1,6.1,-1.6
2024-02-01,GHCND:USW00093738,3.4,12.8,-2.7
2024-02-02,GHCND:USW00093738,8.3,10.0,5.0
2024-02-03,GHCND:USW00093738,5.9,11.1,-1.0
2024-02-04,GHCND:USW00093738,3.3,12.2,-3.2
2024-02-05,GHCND:USW00093738,3.3,11.1,-3.2
2024-02-06,GHCND:USW00093738,3.4,7.8,-3.2
2024-02-07,GHCND:USW00093738,2.1,11.7,-4.9
2024-02-08,GHCND:USW00093738,4.2,15.0,-2.7
2024-02-09,GHCND:USW00093738,10.2,19.4,5.0
2024-02-10,GHCND:USW00093738,12.7,18.3,8.9
2024-02-11,GHCND:USW00093738,11.6,13.3,8.3
2024-02-12,GHCND:USW00093738,8.8,9.4,6.7
2024-02-13,GHCND:USW00093738,5.8,8.3,1.1
2024-02-14,GHCND:USW00093738,4.6,7.8,-2.1
2024-02-15,GHCND:USW00093738,2.6,11.1,-4.9
2024-02-16,GHCND:USW00093738,6.8,10.0,3.3
2024-02-17,GHCND:USW00093738,2.6,5.0,-3.8
2024-02-18,GHCND:USW00093738,0.4,10.6,-6.6
2024-02-19,GHCND:USW00093738,4.0,10.0,-3.8
2024-02-20,GHCND:USW00093738,2.0,10.0,-4.9
2024-02-21,GHCND:USW00093738,3.4,10.6,-3.8
2024-02-22,GHCND:USW00093738,4.4,10.6,0.0
2024-02-23,GHCND:USW00093738,6.6,11.1,2.2
2024-02-24,GHCND:USW00093738,6.4,10.0,0.0
2024-02-25,GHCND:USW00093738,2.1,9.4,-6.0
2024-02-26,GHCND:USW00093738,9.2,20.6,0.6
2024-02-27,GHCND:USW00093738,12.2,17.2,4.4
2024-02-28,GHCND:USW00093738,15.9,18.3,3.9
2024-02-29,GHCND:USW00093738,5.3,10.0,-0.5
2024-03-01,GHCND:USW00093738,4.6,12.2,-4.3
2024-03-02,GHCND:USW00093738,7.6,12.8,4.4
2024-03-03,GHCND:USW00093738,10.2,18.3,3.3
2024-03-04,GHCND:USW00093738,13.1,20.6,7.8
2024-03-05,GHCND:USW00093738,12.1,14.4,9.4
2024-03-06,GHCND:USW00093738,11.7,13.9,10.0
2024-03-07,GHCND:USW00093738,13.7,18.9,7.2
2024-03-08,GHCND:USW00093738,11.1,16.1,6.7
2024-03-09,GHCND:USW00093738,8.2,10.0,6.1
2024-03-10,GHCND:USW00093738,7.2,8.9,3.3
2024-03-11,GHCND:USW00093738,6.4,13.3,2.8
2024-03-12,GHCND:USW00093738,12.9,23.9,1.1
2024-03-13,GHCND:USW00093738,13.6,23.3,3.3
2024-03-14,GHCND:USW00093738,14.6,26.7,4.4
2024-03-15,GHCND:USW00093738,19.7,23.3,12.2
2024-03-16,GHCND:USW00093738,13.4,19.4,6.7
2024-03-17,GHCND:USW00093738,14.9,22.2,8.9
2024-03-18,GHCND:USW00093738,8.7,10.6,1.7
2024-03-19,GHCND:USW00093738,5.1,11.7,1.1
2024-03-20,GHCND:USW00093738,10.2,20.0,1.7
2024-03-21,GHCND:USW00093738,5.0,10.6,-0.5
2024-03-22,GHCND:USW00093738,4.6,12.2,-2.7
2024-03-23,GHCND:USW00093738,7.4,11.7,1.7
2024-03-24,GHCND:USW00093738,4.6,10.6,0.0
2024-03-25,GHCND:USW00093738,6.1,15.0,-2.1
2024-03-26,GHCND:USW00093738,8.0,17.2,0.0
2024-03-27,GHCND:USW00093738,8.9,10.6,7.2
2024-03-28,GHCND:USW00093738,10.1,12.8,6.7
2024-03-29,GHCND:USW00093738,9.9,17.2,-0.5
2024-03-30,GHCND:USW00093738,10.2,19.4,0.0
2024-03-31,GHCND:USW00093738,13.0,19.4,5.6
2024-04-01,GHCND:USW00093738,12.8,15.6,11.1
2024-04-02,GHCND:USW00093738,11.2,12.2,8.9
2024-04-03,GHCND:USW00093738,9.8,11.1,7.2
2024-04-04,GHCND:USW00093738,7.7,13.3,1.1
2024-04-05,GHCND:USW00093738,7.9,13.3,2.8
2024-04-06,GHCND:USW00093738,7.8,13.9,3.3
2024-04-07,GHCND:USW00093738,10.8,18.3,1.1
2024-04-08,GHCND:USW00093738,12.3,23.9,1.7
2024-04-09,GHCND:USW00093738,17.6,26.7,9.4
2024-04-10,GHCND:USW00093738,20.8,26.7,16.1
2024-04-11,GHCND:USW00093738,19.9,21.7,17.8
2024-04-12,GHCND:USW00093738,17.9,19.4,13.9
2024-04-13,GHCND:USW00093738,15.2,19.4,7.8
2024-04-14,GHCND:USW00093738,16.9,28.9,5.6
2024-04-15,GHCND:USW00093738,23.0,29.4,14.4
2024-04-16,GHCND:USW00093738,20.9,25.6,8.9
2024-04-17,GHCND:USW00093738,18.6,23.3,15.0
2024-04-18,GHCND:USW00093738,19.9,26.1,11.7
2024-04-19,GHCND:USW00093738,13.7,13.9,11.7
2024-04-20,GHCND:USW00093738,16.1,23.3,11.7
2024-04-21,GHCND:USW00093738,11.4,12.2,6.7
2024-04-22,GHCND:USW00093738,10.6,18.9,3.9
2024-04-23,GHCND:USW00093738,12.5,23.3,1.1
