period,location,statedescription,sectorid,sectordescription,fueltypeid,fueltypedescription
2015-01-01,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2015-01-01,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2015-01-01,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
2015-01-01,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2015-01-01,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2015-01-01,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2015-01-01,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2015-01-01,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2015-01-01,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2015-02-01,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2015-02-01,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2015-02-01,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
2015-02-01,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2015-02-01,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2015-02-01,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2015-02-01,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2015-02-01,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2015-02-01,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2015-03-01,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2015-03-01,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2015-03-01,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
2015-03-01,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2015-03-01,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2015-03-01,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2015-03-01,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2015-03-01,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2015-03-01,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2015-04-01,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2015-04-01,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2015-04-01,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
2015-04-01,VA,Virginia,7,Industrial CHP,HYC,conventional hydroelectric
2015-04-01,VA,Virginia,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric
2015-04-01,VA,Virginia,94,Independent Power Producers,HYC,conventional hydroelectric
2015-04-01,VA,Virginia,97,All Industrial,HYC,conventional hydroelectric
2015-04-01,VA,Virginia,98,Electric Power,HYC,conventional hydroelectric
2015-04-01,VA,Virginia,99,All Sectors,HYC,conventional hydroelectric
2015-05-01,VA,Virginia,1,Electric Utility,HYC,conventional hydroelectric
2015-05-01,VA,Virginia,2,IPP Non-CHP,HYC,conventional hydroelectric
2015-05-01,VA,Virginia,6,Industrial Non-CHP,HYC,conventional hydroelectric
