datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw
2/28/2022 5:00:00 AM,2/28/2022 12:00:00 AM,RTO,RTO,RTO,RTO,83634.117
2/28/2022 6:00:00 AM,2/28/2022 1:00:00 AM,RTO,RTO,RTO,RTO,83022.564
2/28/2022 7:00:00 AM,2/28/2022 2:00:00 AM,RTO,RTO,RTO,RTO,83354.374
2/28/2022 8:00:00 AM,2/28/2022 3:00:00 AM,RTO,RTO,RTO,RTO,84433.882
2/28/2022 9:00:00 AM,2/28/2022 4:00:00 AM,RTO,RTO,RTO,RTO,87362.408
2/28/2022 10:00:00 AM,2/28/2022 5:00:00 AM,RTO,RTO,RTO,RTO,92843.170
2/28/2022 11:00:00 AM,2/28/2022 6:00:00 AM,RTO,RTO,RTO,RTO,100945.039
2/28/2022 12:00:00 PM,2/28/2022 7:00:00 AM,RTO,RTO,RTO,RTO,104368.572
2/28/2022 1:00:00 PM,2/28/2022 8:00:00 AM,RTO,RTO,RTO,RTO,101688.234
2/28/2022 2:00:00 PM,2/28/2022 9:00:00 AM,RTO,RTO,RTO,RTO,97789.297
2/28/2022 3:00:00 PM,2/28/2022 10:00:00 AM,RTO,RTO,RTO,RTO,94822.955
2/28/2022 4:00:00 PM,2/28/2022 11:00:00 AM,RTO,RTO,RTO,RTO,92404.043
2/28/2022 5:00:00 PM,2/28/2022 12:00:00 PM,RTO,RTO,RTO,RTO,90434.886
2/28/2022 6:00:00 PM,2/28/2022 1:00:00 PM,RTO,RTO,RTO,RTO,89031.331
2/28/2022 7:00:00 PM,2/28/2022 2:00:00 PM,RTO,RTO,RTO,RTO,87348.468
2/28/2022 8:00:00 PM,2/28/2022 3:00:00 PM,RTO,RTO,RTO,RTO,86678.816
2/28/2022 9:00:00 PM,2/28/2022 4:00:00 PM,RTO,RTO,RTO,RTO,88453.808
2/28/2022 10:00:00 PM,2/28/2022 5:00:00 PM,RTO,RTO,RTO,RTO,92408.357
2/28/2022 11:00:00 PM,2/28/2022 6:00:00 PM,RTO,RTO,RTO,RTO,97719.124
