datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw
1/1/2021 1:00:00 AM,12/31/2020 8:00:00 PM,RTO,RTO,RTO,RTO,15175.284630000002
1/1/2021 1:00:00 PM,1/1/2021 8:00:00 AM,RTO,RTO,RTO,RTO,14195.48229
1/1/2021 10:00:00 AM,1/1/2021 5:00:00 AM,RTO,RTO,RTO,RTO,13342.871685
1/1/2021 10:00:00 PM,1/1/2021 5:00:00 PM,RTO,RTO,RTO,RTO,16081.78176
1/1/2021 11:00:00 AM,1/1/2021 6:00:00 AM,RTO,RTO,RTO,RTO,13709.563395000001
1/1/2021 11:00:00 PM,1/1/2021 6:00:00 PM,RTO,RTO,RTO,RTO,15969.852690000002
1/1/2021 12:00:00 AM,12/31/2020 7:00:00 PM,RTO,RTO,RTO,RTO,15580.88532
1/1/2021 12:00:00 PM,1/1/2021 7:00:00 AM,RTO,RTO,RTO,RTO,13997.58987
1/1/2021 2:00:00 AM,12/31/2020 9:00:00 PM,RTO,RTO,RTO,RTO,14762.64933
1/1/2021 2:00:00 PM,1/1/2021 9:00:00 AM,RTO,RTO,RTO,RTO,14486.367225
1/1/2021 3:00:00 AM,12/31/2020 10:00:00 PM,RTO,RTO,RTO,RTO,14332.453245
1/1/2021 3:00:00 PM,1/1/2021 10:00:00 AM,RTO,RTO,RTO,RTO,14883.83688
1/1/2021 4:00:00 AM,12/31/2020 11:00:00 PM,RTO,RTO,RTO,RTO,13907.380575000001
1/1/2021 4:00:00 PM,1/1/2021 11:00:00 AM,RTO,RTO,RTO,RTO,15193.081695
1/1/2021 5:00:00 AM,1/1/2021 12:00:00 AM,RTO,RTO,RTO,RTO,13504.03626
1/1/2021 5:00:00 PM,1/1/2021 12:00:00 PM,RTO,RTO,RTO,RTO,15369.172170000002
1/1/2021 6:00:00 AM,1/1/2021 1:00:00 AM,RTO,RTO,RTO,RTO,13200.93885
1/1/2021 6:00:00 PM,1/1/2021 1:00:00 PM,RTO,RTO,RTO,RTO,15352.628115000001
1/1/2021 7:00:00 AM,1/1/2021 2:00:00 AM,RTO,RTO,RTO,RTO,13025.21616
1/1/2021 7:00:00 PM,1/1/2021 2:00:00 PM,RTO,RTO,RTO,RTO,15288.133905
1/1/2021 8:00:00 AM,1/1/2021 3:00:00 AM,RTO,RTO,RTO,RTO,12963.05472
1/1/2021 8:00:00 PM,1/1/2021 3:00:00 PM,RTO,RTO,RTO,RTO,15320.459550000001
1/1/2021 9:00:00 AM,1/1/2021 4:00:00 AM,RTO,RTO,RTO,RTO,13057.514745
1/1/2021 9:00:00 PM,1/1/2021 4:00:00 PM,RTO,RTO,RTO,RTO,15628.35813
1/1/2022 1:00:00 AM,12/31/2021 8:00:00 PM,RTO,RTO,RTO,RTO,13410.974114999999
1/1/2022 1:00:00 PM,1/1/2022 8:00:00 AM,RTO,RTO,RTO,RTO,11546.504475000002
1/1/2022 10:00:00 AM,1/1/2022 5:00:00 AM,RTO,RTO,RTO,RTO,10757.941095
1/1/2022 10:00:00 PM,1/1/2022 5:00:00 PM,RTO,RTO,RTO,RTO,13778.369385
1/1/2022 11:00:00 AM,1/1/2022 6:00:00 AM,RTO,RTO,RTO,RTO,10983.453524999999
1/1/2022 11:00:00 PM,1/1/2022 6:00:00 PM,RTO,RTO,RTO,RTO,13790.368845
1/1/2022 12:00:00 AM,12/31/2021 7:00:00 PM,RTO,RTO,RTO,RTO,13835.969729999999
1/1/2022 12:00:00 PM,1/1/2022 7:00:00 AM,RTO,RTO,RTO,RTO,11254.855755
1/1/2022 2:00:00 AM,12/31/2021 9:00:00 PM,RTO,RTO,RTO,RTO,12979.048005
1/1/2022 2:00:00 PM,1/1/2022 9:00:00 AM,RTO,RTO,RTO,RTO,11971.492170000001
1/1/2022 3:00:00 AM,12/31/2021 10:00:00 PM,RTO,RTO,RTO,RTO,12484.1013
1/1/2022 3:00:00 PM,1/1/2022 10:00:00 AM,RTO,RTO,RTO,RTO,12406.554764999999
1/1/2022 4:00:00 AM,12/31/2021 11:00:00 PM,RTO,RTO,RTO,RTO,12013.749660000001
1/1/2022 4:00:00 PM,1/1/2022 11:00:00 AM,RTO,RTO,RTO,RTO,12701.08323
1/1/2022 5:00:00 AM,1/1/2022 12:00:00 AM,RTO,RTO,RTO,RTO,11544.08574
1/1/2022 5:00:00 PM,1/1/2022 12:00:00 PM,RTO,RTO,RTO,RTO,12860.430165000002
1/1/2022 6:00:00 AM,1/1/2022 1:00:00 AM,RTO,RTO,RTO,RTO,11172.534450000001
1/1/2022 6:00:00 PM,1/1/2022 1:00:00 PM,RTO,RTO,RTO,RTO,12866.36109
1/1/2022 7:00:00 AM,1/1/2022 2:00:00 AM,RTO,RTO,RTO,RTO,10868.402160000001
1/1/2022 7:00:00 PM,1/1/2022 2:00:00 PM,RTO,RTO,RTO,RTO,12838.413390000002
1/1/2022 8:00:00 AM,1/1/2022 3:00:00 AM,RTO,RTO,RTO,RTO,10711.015755
1/1/2022 8:00:00 PM,1/1/2022 3:00:00 PM,RTO,RTO,RTO,RTO,12892.838474999999
1/1/2022 9:00:00 AM,1/1/2022 4:00:00 AM,RTO,RTO,RTO,RTO,10645.932495000001
1/1/2022 9:00:00 PM,1/1/2022 4:00:00 PM,RTO,RTO,RTO,RTO,13214.692425000001
1/1/2023 1:00:00 AM,12/31/2022 8:00:00 PM,RTO,RTO,RTO,RTO,13687.16877
1/1/2023 1:00:00 PM,1/1/2023 8:00:00 AM,RTO,RTO,RTO,RTO,12300.422805000002
1/1/2023 10:00:00 AM,1/1/2023 5:00:00 AM,RTO,RTO,RTO,RTO,11546.76039
1/1/2023 10:00:00 PM,1/1/2023 5:00:00 PM,RTO,RTO,RTO,RTO,13686.9711
1/1/2023 11:00:00 AM,1/1/2023 6:00:00 AM,RTO,RTO,RTO,RTO,11812.173285
1/1/2023 11:00:00 PM,1/1/2023 6:00:00 PM,RTO,RTO,RTO,RTO,13868.656065
1/1/2023 12:00:00 AM,12/31/2022 7:00:00 PM,RTO,RTO,RTO,RTO,14053.44237
1/1/2023 12:00:00 PM,1/1/2023 7:00:00 AM,RTO,RTO,RTO,RTO,12106.200810000002
1/1/2023 2:00:00 AM,12/31/2022 9:00:00 PM,RTO,RTO,RTO,RTO,13263.292515000001
1/1/2023 2:00:00 PM,1/1/2023 9:00:00 AM,RTO,RTO,RTO,RTO,12347.62188
1/1/2023 3:00:00 AM,12/31/2022 10:00:00 PM,RTO,RTO,RTO,RTO,12863.523255000002
1/1/2023 3:00:00 PM,1/1/2023 10:00:00 AM,RTO,RTO,RTO,RTO,12255.898215000001
1/1/2023 4:00:00 AM,12/31/2022 11:00:00 PM,RTO,RTO,RTO,RTO,12455.9292
1/1/2023 4:00:00 PM,1/1/2023 11:00:00 AM,RTO,RTO,RTO,RTO,12295.34856
1/1/2023 5:00:00 AM,1/1/2023 12:00:00 AM,RTO,RTO,RTO,RTO,12090.067605
1/1/2023 5:00:00 PM,1/1/2023 12:00:00 PM,RTO,RTO,RTO,RTO,12355.190265000001
1/1/2023 6:00:00 AM,1/1/2023 1:00:00 AM,RTO,RTO,RTO,RTO,11795.986785000001
1/1/2023 6:00:00 PM,1/1/2023 1:00:00 PM,RTO,RTO,RTO,RTO,12353.182214999999
1/1/2023 7:00:00 AM,1/1/2023 2:00:00 AM,RTO,RTO,RTO,RTO,11553.916275000001
1/1/2023 7:00:00 PM,1/1/2023 2:00:00 PM,RTO,RTO,RTO,RTO,12380.20641
1/1/2023 8:00:00 AM,1/1/2023 3:00:00 AM,RTO,RTO,RTO,RTO,11430.586695
1/1/2023 8:00:00 PM,1/1/2023 3:00:00 PM,RTO,RTO,RTO,RTO,12490.59735
1/1/2023 9:00:00 AM,1/1/2023 4:00:00 AM,RTO,RTO,RTO,RTO,11422.6893
1/1/2023 9:00:00 PM,1/1/2023 4:00:00 PM,RTO,RTO,RTO,RTO,12927.308130000001
1/1/2024 1:00:00 AM,12/31/2023 8:00:00 PM,RTO,RTO,RTO,RTO,15066.031530000002
1/1/2024 1:00:00 PM,1/1/2024 8:00:00 AM,RTO,RTO,RTO,RTO,14103.126345
1/1/2024 10:00:00 AM,1/1/2024 5:00:00 AM,RTO,RTO,RTO,RTO,13355.205105000001
1/1/2024 10:00:00 PM,1/1/2024 5:00:00 PM,RTO,RTO,RTO,RTO,16168.29225
1/1/2024 11:00:00 AM,1/1/2024 6:00:00 AM,RTO,RTO,RTO,RTO,13664.572515
