month,avg_temp_f,min_temp_f,max_temp_f,precipitation,heating_degree_days,cooling_degree_days
January 2026,33.5,22.7,44.4,2.68,977,
December 2025,36.8,26.6,47.0,2.32,882,
November 2025,47.5,35.6,59.4,1.36,515,
October 2025,56.8,45.3,68.3,2.10,259,14
September 2025,67.7,56.8,78.7,3.39,29,133
August 2025,71.4,61.7,81.1,2.73,3,216
July 2025,78.6,68.7,88.5,6.96,,444
June 2025,74.4,63.4,85.3,3.97,1,302
May 2025,64.3,53.9,74.7,7.52,84,82
April 2025,59.1,46.6,71.6,3.05,194,16
March 2025,50.6,37.0,64.2,2.19,444,10
February 2025,40.0,29.6,50.4,5.66,707,
January 2025,30.7,20.8,40.7,2.18,1050,
December 2024,38.8,29.2,48.4,2.90,808,
November 2024,51.4,40.2,62.7,2.01,403,
October 2024,58.4,45.3,71.4,0.90,216,22
September 2024,68.2,58.7,77.6,6.70,30,136
August 2024,74.4,63.6,85.2,5.22,,316
July 2024,77.5,67.1,87.8,5.61,,415
June 2024,73.7,61.7,85.8,1.41,2,288
May 2024,66.6,55.8,77.2,5.18,56,113
April 2024,58.2,46.6,69.9,2.34,212,11
March 2024,50.1,38.2,62.0,4.95,470,8
February 2024,42.8,31.4,54.2,2.55,628,
January 2024,37.1,27.5,46.7,5.71,847,
December 2023,42.3,31.6,53.1,5.33,691,
November 2023,45.8,33.3,58.4,2.31,566,
October 2023,58.6,46.6,70.8,1.24,202,26
September 2023,68.3,58.0,78.8,3.97,26,148
August 2023,74.2,64.0,84.6,3.67,,317
July 2023,76.7,66.3,87.1,4.94,,396
June 2023,67.9,56.7,79.2,4.13,22,136
May 2023,61.4,50.3,72.5,3.16,141,38
April 2023,57.8,44.4,71.1,4.56,210,13
March 2023,47.4,35.5,59.2,1.86,547,3
February 2023,46.3,35.3,56.9,3.17,534,
January 2023,42.7,33.1,52.0,3.05,689,4
December 2022,37.3,27.2,47.3,3.89,850,
November 2022,49.1,37.9,60.2,4.03,464,
October 2022,53.9,42.0,65.8,2.86,331,5
September 2022,67.9,56.7,79.1,2.66,30,142
August 2022,74.8,64.9,84.6,4.36,,329
July 2022,76.9,67.0,86.8,5.48,,390
June 2022,72.2,60.6,83.8,3.27,2,233
May 2022,65.1,54.2,76.0,5.53,78,87
April 2022,55.2,42.4,67.9,2.76,297,3
March 2022,49.0,36.4,61.6,3.44,498,5
February 2022,40.8,28.8,52.7,2.79,677,
January 2022,32.9,23.0,42.8,4.52,995,
December 2021,45.8,34.5,57.1,1.16,596,3
November 2021,44.5,32.4,56.6,0.94,597,
October 2021,62.4,52.5,72.3,3.40,125,63
September 2021,68.5,57.5,79.5,4.22,25,153
August 2021,76.4,66.2,86.5,6.05,,373
July 2021,75.9,65.1,86.7,4.56,,365
June 2021,72.0,61.2,82.7,4.09,3,236
May 2021,62.3,49.7,74.9,2.20,120,51
April 2021,55.2,42.3,68.2,2.73,282,4
March 2021,48.5,36.1,61.0,3.47,509,4
February 2021,36.6,28.8,44.5,4.90,792,
January 2021,36.6,28.1,45.1,3.14,874,
December 2020,38.4,28.7,48.0,5.14,808,
November 2020,51.3,39.4,63.2,5.15,397,1
October 2020,59.0,48.3,69.8,5.06,202,28
September 2020,66.4,57.1,75.6,6.31,48,104
August 2020,75.5,66.6,84.4,8.20,,349
July 2020,78.7,67.6,89.8,4.07,,454
June 2020,71.3,61.0,81.6,5.13,4,221
May 2020,60.5,50.3,70.6,4.87,156,33
April 2020,53.3,41.4,65.1,5.98,347,
March 2020,51.7,41.0,62.4,2.93,423,12
February 2020,42.4,32.6,52.3,5.01,622,
January 2020,40.6,31.3,49.9,3.55,753,2
December 2019,41.5,31.5,51.4,3.38,732,
November 2019,43.1,32.3,54.0,2.48,642,
October 2019,60.6,49.9,71.3,5.63,168,42
September 2019,72.5,60.5,84.5,0.94,5,241
August 2019,74.7,63.9,85.5,3.43,,324
July 2019,77.1,66.3,87.8,4.51,,404
June 2019,71.2,60.8,81.5,5.81,6,219
May 2019,68.9,57.6,80.2,3.60,34,164
April 2019,58.1,46.3,70.0,4.16,203,14
March 2019,43.9,32.8,55.1,3.31,650,
February 2019,41.8,32.0,51.7,5.23,660,
January 2019,36.3,27.3,45.3,3.52,889,
December 2018,39.7,30.9,48.5,5.36,778,
November 2018,43.8,34.8,52.7,6.08,621,
October 2018,59.0,49.2,68.8,5.08,198,28
September 2018,72.8,65.1,80.5,7.96,6,254
August 2018,75.2,65.6,85.0,5.81,,348
July 2018,75.1,64.8,85.3,5.39,,332
June 2018,73.1,63.1,83.1,5.96,1,256
May 2018,69.7,58.6,80.9,7.27,25,184
April 2018,52.2,40.0,64.4,4.43,373,
March 2018,41.2,31.4,51.0,3.17,740,
February 2018,45.2,35.1,55.2,4.35,565,
January 2018,31.8,20.7,42.9,2.67,1012,
December 2017,37.2,27.6,46.7,1.11,860,
November 2017,46.1,34.9,57.4,1.36,558,
October 2017,60.2,48.3,72.1,4.50,166,40
September 2017,67.4,56.9,77.9,2.03,36,129
August 2017,72.8,62.8,82.7,4.66,1,259
July 2017,76.8,66.1,87.5,4.13,,389
June 2017,71.2,60.0,82.3,3.41,5,221
May 2017,63.4,53.0,73.8,7.52,108,60
April 2017,60.6,49.0,72.1,4.85,151,30
March 2017,45.9,34.2,57.6,3.17,598,
February 2017,46.0,33.4,58.7,0.86,527,1
January 2017,40.1,31.8,48.3,3.96,776,
December 2016,39.1,29.4,48.8,3.21,796,
November 2016,48.3,35.3,61.3,1.37,498,
October 2016,59.8,48.5,71.0,3.52,187,32
September 2016,71.8,61.9,81.8,5.27,7,227
August 2016,77.0,67.4,86.7,3.23,,394
July 2016,77.3,67.1,87.5,4.82,,403
June 2016,71.8,60.7,83.0,5.04,2,224
May 2016,61.9,52.2,71.5,6.92,135,42
April 2016,55.1,42.1,68.2,2.34,301,2
March 2016,51.8,39.8,63.7,2.05,421,11
February 2016,38.4,29.1,47.6,4.71,738,
January 2016,33.1,23.2,43.0,2.93,976,
December 2015,49.6,40.3,59.0,5.22,477,12
November 2015,51.1,40.4,61.8,3.92,407,
October 2015,56.3,45.5,67.1,4.58,276,13
September 2015,69.3,59.1,79.4,5.73,19,174
August 2015,73.2,62.4,84.0,2.65,1,273
July 2015,75.3,65.8,84.7,5.05,,334
June 2015,73.7,63.7,83.7,6.95,1,274
May 2015,67.1,54.9,79.2,2.15,46,130
April 2015,55.9,43.8,68.1,4.51,275,4
March 2015,44.2,32.7,55.6,3.75,665,
February 2015,28.9,18.0,39.8,2.66,1015,
January 2015,33.8,24.4,43.1,2.59,975,
December 2014,40.8,32.1,49.4,3.21,751,
November 2014,42.1,31.2,53.0,3.13,663,
October 2014,57.8,46.8,68.8,4.02,225,23
September 2014,68.1,58.9,77.3,2.97,31,136
August 2014,71.3,61.7,80.8,4.69,4,215
July 2014,73.4,62.9,84.0,3.82,1,289
June 2014,72.5,61.5,83.4,3.49,2,236
May 2014,65.2,52.9,77.5,4.35,76,92
April 2014,55.0,42.0,68.0,4.73,304,2
March 2014,40.7,28.8,52.5,3.29,763,
