date,co2_coal_tons,co2_gas_tons,co2_nuclear_tons,co2_renewable_tons,co2_total_tons
2025-09-01,7867.377238568034,623776.0205545928,2908.8613232693833,4036.304625864561,638588.5637422949
2025-10-01,0.0,454693.3783530474,3247.6484013758995,4413.197971635686,462354.224726059
2025-11-01,16130.818326292634,525447.0610361268,3135.0325195482023,3631.1620731684625,548344.0739551361
2025-12-01,55737.9732021168,647605.7771617138,3625.4254111789037,4103.532020197435,711072.7077952069
2026-01-01,69598.18847227859,710038.7837106365,3962.789926801575,4533.2498797597755,788133.0119894764
2026-02-01,15972.089367672565,658884.8050225676,3711.6751114749104,4615.2142108370535,683183.7837125522
2026-03-01,0.0,662152.3381816219,3343.0308867649555,5489.852805941777,670985.2218743287
2026-04-01,0.0,474852.8697031126,3521.636496499713,5650.982781193507,484025.4889808058
2026-05-01,0.0,548570.6415085997,3464.3842172539717,6163.628528631316,558198.654254485
2026-06-01,0.0,796978.7843083504,3829.437698181315,6613.122529795005,807421.3445363268
2026-07-01,85994.72803376254,932245.2075589586,3958.958838881838,6701.945863483646,1028900.8402950865
2026-08-01,40890.92577643509,931905.0248391284,3953.597432196167,6483.870392236044,983233.4184399956
2026-09-01,0.0,793253.3854986441,3613.294174997561,5225.857732946863,802092.5374065886
2026-10-01,0.0,580048.4854576689,4021.5998745789148,5678.95045835584,589749.0357906036
2026-11-01,0.0,677179.1082538101,3912.109870112926,4804.381369416956,685895.59949334
2026-12-01,7099.9940742494455,835574.2060903036,4526.771747139298,5455.686217450616,852656.658129143
2027-01-01,18017.609389082434,908423.1110419614,4900.655931873682,5987.715714687686,937329.0920776052
2027-02-01,0.0,834268.9811528713,4542.746558035907,6000.5600545583,844812.2877654656
2027-03-01,0.0,832318.3441524239,4055.3906616524205,7101.9943825057635,843475.7291965821
2027-04-01,0.0,600668.1512282783,4308.383518650819,7250.52821170798,612227.062958637
2027-05-01,0.0,690510.3681095133,4221.862640733969,7873.120515628089,702605.3512658754
2027-06-01,0.0,989284.4549985817,4588.2791560134965,8380.53367332563,1002253.2678279208
2027-07-01,22279.331694275657,1173141.4544575375,4802.97291679874,8733.448493297577,1208957.2075619095
2027-08-01,0.0,1166638.9036664234,4775.651176258981,8388.392939009278,1179802.9477816916
2027-09-01,0.0,982825.7053743736,4326.159013398666,6725.04886372374,993876.913251496
2027-10-01,0.0,722151.7737484568,4845.332029401043,7242.550082826544,734239.6558606845
2027-11-01,0.0,839888.4180499233,4695.831916503396,6181.269697168051,850765.5196635947
2027-12-01,0.0,1031913.3040568047,5408.0725576626355,7022.109904722363,1044343.4865191897
2028-01-01,0.0,1120974.6165907285,5848.601500990069,7702.640507942351,1134525.858599661
2028-02-01,0.0,1024990.0672531781,5398.950572423087,7655.379474593434,1038044.3973001946
2028-03-01,0.0,1021423.6885378519,4810.550685258511,8960.411936812725,1035194.651159923
