date,electricity_gwh
2024-01-01,29229.184429160385
2024-02-01,29193.96795264161
2024-03-01,29158.69916398942
2024-04-01,29125.69118929436
2024-05-01,29091.229016243014
2024-06-01,29058.404096588
2024-07-01,29027.161000745455
2024-08-01,28995.126018312265
2024-09-01,28963.537580689142
2024-10-01,28932.60890677172
2024-11-01,28900.875044106357
2024-12-01,28871.27486487343
2025-01-01,28838.360537271754
2025-02-01,28826.79169704754
2025-03-01,28816.590780558887
2025-04-01,28805.102211349928
2025-05-01,28795.231848547355
2025-06-01,28784.70809244197
2025-07-01,28773.56043034196
2025-08-01,28763.385438004625
2025-09-01,28753.132193929858
2025-10-01,28742.969404236508
2025-11-01,28733.323876262344
2025-12-01,28723.408015614394
2026-01-01,28715.906992096556
2026-02-01,28683.515325961358
2026-03-01,28651.48094326615
2026-04-01,28620.99911273293
2026-05-01,28589.836712052464
2026-06-01,28559.879121166552
2026-07-01,28531.086970951772
2026-08-01,28501.974237358405
2026-09-01,28473.263061766374
2026-10-01,28445.154008568734
2026-11-01,28416.6038886727
2026-12-01,28389.713223508836
2027-01-01,28360.856085380154
2027-02-01,28343.033662392114
2027-03-01,28326.410578539566
2027-04-01,28309.192896336317
2027-05-01,28293.131709508823
2027-06-01,28276.885879233574
2027-07-01,28260.46754098657
2027-08-01,28244.779984408196
2027-09-01,28229.168229333685
2027-10-01,28213.80642347389
2027-11-01,28198.79000153269
2027-12-01,28183.97761264212
2028-01-01,28170.63727856558
2028-02-01,28140.503127077463
2028-03-01,28110.952233845008
2028-04-01,28082.508005336767
2028-05-01,28053.829695684977
2028-06-01,28026.07768982034
2028-07-01,27999.22295418671
2028-08-01,27972.31423236156
2028-09-01,27945.763637921464
2028-10-01,27919.76472172625
2028-11-01,27893.528648042855
2028-12-01,27868.65206058319
2029-01-01,27842.605807075674
2029-02-01,27821.376712510035
2029-03-01,27801.23244676929
2029-04-01,27780.897999900677
2029-05-01,27761.43010635442
2029-06-01,27742.04793035149
2029-07-01,27722.753595770944
2029-08-01,27704.033655690277
2029-09-01,27685.47176565708
2029-10-01,27667.245731040708
2029-11-01,27649.251969226905
2029-12-01,27631.73832947272
2030-01-01,27615.12047924832
2030-02-01,27586.572002436144
2030-03-01,27558.734407222357
2030-04-01,27531.72714737284
2030-05-01,27504.7467144696
2030-06-01,27478.51754871313
2030-07-01,27453.01710930848
2030-08-01,27427.616172968228
2030-09-01,27402.540563861294
2030-10-01,27377.97985759908
2030-11-01,27353.298498502067
2030-12-01,27329.79017453506
2031-01-01,27305.58588129066
2031-02-01,27282.45211683362
2031-03-01,27260.328952804495
2031-04-01,27238.253813191648
2031-05-01,27216.86582532627
2031-06-01,27195.721468891777
2031-07-01,27174.817018620168
2031-08-01,27154.388445877874
2031-09-01,27134.163155388458
2031-10-01,27114.321309600444
2031-11-01,27094.639727841
2031-12-01,27075.600585833352
2032-01-01,27057.106829708864
2032-02-01,27029.60509508755
2032-03-01,27002.88763191332
2032-04-01,26976.830960731193
2032-05-01,26950.95494881799
2032-06-01,26925.72184457236
2032-07-01,26901.11312549348
2032-08-01,26876.69344292756
2032-09-01,26852.576634388926
2032-10-01,26828.94998334287
2032-11-01,26805.270258713947
2032-12-01,26782.648952760275
2033-01-01,26759.6143607826
2033-02-01,26735.393698790987
2033-03-01,26712.13680290517
2033-04-01,26689.069168117036
2033-05-01,26666.5787246067
2033-06-01,26644.42498851143
2033-07-01,26622.60078638079
2033-08-01,26601.191383359474
2033-09-01,26580.010744066738
2033-10-01,26559.24051288758
2033-11-01,26538.585608421145
2033-12-01,26518.669259565628
2034-01-01,26499.08596528222
2034-02-01,26472.251809115605
2034-03-01,26446.244697009715
2034-04-01,26420.795027631644
2034-05-01,26395.61729221658
2034-06-01,26371.016025742276
2034-07-01,26346.975168994417
2034-08-01,26323.17607137138
2034-09-01,26299.665230294093
2034-10-01,26276.62859069918
2034-11-01,26253.57851232675
2034-12-01,26231.516898121343
2035-01-01,26209.2111346974
2035-02-01,26184.360588718126
2035-03-01,26160.44474386542
2035-04-01,26136.802289813055
2035-05-01,26113.67004286919
2035-06-01,26090.929716213555
2035-07-01,26068.57209066099
2035-08-01,26046.591779489656
2035-09-01,26024.85485729319
2035-10-01,26003.543886089516
2035-11-01,25982.320546856652
2035-12-01,25961.892964178114
2036-01-01,25941.670067752573
2036-02-01,25915.25297899961
2036-03-01,25889.68810572545
2036-04-01,25864.617945894614
2036-05-01,25839.874115825347
2036-06-01,25815.666273674502
2036-07-01,25791.979860920554
2036-08-01,25768.566461958042
2036-09-01,25745.432072916756
2036-10-01,25722.761849909122
2036-11-01,25700.101617592027
2036-12-01,25678.387354465198
2037-01-01,25656.530323039337
2037-02-01,25631.310598290147
2037-03-01,25607.007725710013
2037-04-01,25583.02851737607
2037-05-01,25559.518877229886
2037-06-01,25536.43405661494
2037-07-01,25513.763617261116
2037-08-01,25491.447638675654
2037-09-01,25469.383560969192
2037-10-01,25447.75450887517
2037-11-01,25426.196157511404
2037-12-01,25405.467722953854
2038-01-01,25384.866487451087
2038-02-01,25358.7066180439
2038-03-01,25333.41387955599
2038-04-01,25308.577888606997
2038-05-01,25284.100743741248
2038-06-01,25260.135023635805
2038-07-01,25236.667080288506
2038-08-01,25213.490765721308
2038-09-01,25190.58771347267
2038-10-01,25168.14261177175
2038-11-01,25145.72142759786
2038-12-01,25124.220479020492
