stage,param_idx,params,fold,MAE,RMSE,MAPE,sMAPE,R2
stage1_cpu,1,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 200}",1,0.0004647273004487128,0.0006002671688150725,5.417498850536698,5.24409756048802,0.625552145278131
stage1_cpu,1,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 200}",2,0.0005161877704803831,0.0006927880959447652,5.789043579768313,5.773994527312032,0.6143046227544182
stage1_cpu,1,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 200}",3,0.0004669197265080936,0.0005897028629113246,5.576778386104298,5.44738641962311,0.4024739316114453
stage1_cpu,1,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 200}",4,0.00034257842020031574,0.0004257649808946341,3.5109040893947103,3.576274126056182,0.6495520637331538
stage1_cpu,1,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 200}",5,0.00032566638599518445,0.0004025330159814692,3.7383781453885803,3.72249156481076,0.6712582690277176
stage1_cpu,2,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",1,0.00047196377689210284,0.0006061467503674455,5.501669355773257,5.324482377119268,0.6181808310738492
stage1_cpu,2,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",2,0.0005197989742556253,0.0007011738889300791,5.83153964199348,5.8092447655617745,0.6049108799009522
stage1_cpu,2,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",3,0.0004634679643234734,0.0005872347361325844,5.532138426471348,5.406726787180817,0.40746520416941734
stage1_cpu,2,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",4,0.00034518834533583704,0.0004371267248595854,3.530902352798874,3.602857553241671,0.6305987599378018
stage1_cpu,2,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",5,0.00032217752197321236,0.00039854068319777555,3.6962692900953678,3.6853748566196853,0.6777468694634097
stage1_cpu,3,"{""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 400}",1,0.0004761960020035086,0.0006077786669664349,5.5496154855758455,5.370526156919645,0.6161221355023094
stage1_cpu,3,"{""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 400}",2,0.0005149319125753695,0.0007059860469826624,5.740119736193936,5.744694955645875,0.5994692757616455
stage1_cpu,3,"{""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 400}",3,0.0004506530907186006,0.0005768405737626209,5.377433015891567,5.259567814656474,0.42825551389635974
stage1_cpu,3,"{""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 400}",4,0.0003454158020926547,0.00043298328664555496,3.5338188569898983,3.60583287573589,0.6375685334212029
stage1_cpu,3,"{""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 400}",5,0.00032422324325512167,0.000400933328290656,3.714813657146417,3.7089992978295836,0.6738659515477267
stage5_ci,1,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9}",1,14.543394666460985,17.68615632849402,4.255293393265513,4.170127575763441,0.5020828566790063
stage5_ci,1,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9}",2,11.840670893239357,15.328395458867773,3.600683802524239,3.51571305730384,0.5832117614743627
stage5_ci,1,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9}",3,7.680069361336479,11.01076756974095,2.4214619438076683,2.373865224824279,0.8472315162478945
stage5_ci,1,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9}",4,8.347367658139587,10.779936269117314,2.5631511875351896,2.513783137380284,0.8287430625962001
stage5_ci,1,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9}",5,9.202087809343396,11.465582901337452,2.7415938276576104,2.73113160842555,0.8478017324102256
stage5_ci,2,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 500, ""reg_alpha"": 0.01, ""reg_lambda"": 1.0, ""subsample"": 0.9}",1,14.156138694190224,17.064773467863844,4.136167489601993,4.058806687548492,0.5364557317505692
stage5_ci,2,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 500, ""reg_alpha"": 0.01, ""reg_lambda"": 1.0, ""subsample"": 0.9}",2,13.142177036916827,16.678512977781942,3.9941011824727894,3.8945106291613754,0.5065573131359439
stage5_ci,2,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 500, ""reg_alpha"": 0.01, ""reg_lambda"": 1.0, ""subsample"": 0.9}",3,8.383015789804684,12.132584418657844,2.6636437373889716,2.5983346917982657,0.8145165258444627
stage5_ci,2,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 500, ""reg_alpha"": 0.01, ""reg_lambda"": 1.0, ""subsample"": 0.9}",4,8.402495403920744,10.831448677471231,2.5693375848319713,2.521450029128974,0.8271024341374873
stage5_ci,2,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 500, ""reg_alpha"": 0.01, ""reg_lambda"": 1.0, ""subsample"": 0.9}",5,9.10294886230743,11.438168081464534,2.7109604170688875,2.701300871386278,0.8485286906130642
