date,total_energy_gwh,electricity_gwh
2015-01-01,58795.39114575001,29690.949742250003
2015-02-01,58751.467129625,29793.39840890278
2015-03-01,58707.5431135,29895.847075555557
2015-04-01,58663.619097375005,29998.295742208335
2015-05-01,58619.69508125001,30100.744408861112
2015-06-01,58575.771065125,30203.193075513896
2015-07-01,58531.847049,30305.64174216667
2015-08-01,58487.923032875005,30408.090408819447
2015-09-01,58443.99901675001,30510.53907547223
2015-10-01,58400.075000625,30612.987742125002
2015-11-01,58356.150984500004,30715.43640877778
2015-12-01,58312.226968375006,30817.88507543056
2016-01-01,58268.30295225001,30920.333742083334
2016-02-01,58221.952959513896,30857.606372006947
2016-03-01,58175.60296677779,30794.87900193056
2016-04-01,58129.25297404167,30732.151631854173
2016-05-01,58082.90298130556,30669.424261777778
2016-06-01,58036.552988569456,30606.696891701395
2016-07-01,57990.202995833344,30543.969521625004
2016-08-01,57943.85300309722,30481.24215154861
2016-09-01,57897.50301036112,30418.514781472226
2016-10-01,57851.153017625,30355.787411395835
2016-11-01,57804.80302488889,30293.060041319448
2016-12-01,57758.45303215279,30230.332671243057
2017-01-01,57712.10303941667,30167.60530116667
2017-02-01,57897.98332116667,30286.174908034725
2017-03-01,58083.86360291667,30404.744514902777
2017-04-01,58269.74388466667,30523.314121770836
2017-05-01,58455.62416641667,30641.883728638895
2017-06-01,58641.50444816667,30760.453335506947
2017-07-01,58827.38472991667,30879.022942375002
2017-08-01,59013.26501166667,30997.592549243058
2017-09-01,59199.14529341667,31116.16215611111
2017-10-01,59385.02557516667,31234.731762979172
2017-11-01,59570.90585691667,31353.301369847228
2017-12-01,59756.78613866667,31471.87097671528
2018-01-01,59942.66642041667,31590.440583583335
2018-02-01,59878.13992003472,31540.358006027778
2018-03-01,59813.61341965279,31490.27542847223
2018-04-01,59749.08691927084,31440.192850916672
2018-05-01,59684.56041888889,31390.11027336111
2018-06-01,59620.03391850695,31340.02769580556
2018-07-01,59555.507418125,31289.94511825
2018-08-01,59490.98091774306,31239.86254069445
2018-09-01,59426.454417361114,31189.779963138895
2018-10-01,59361.92791697917,31139.697385583335
2018-11-01,59297.40141659722,31089.614808027778
2018-12-01,59232.87491621529,31039.53223047223
2019-01-01,59168.348415833345,30989.44965291667
2019-02-01,58795.56413904862,31056.255594409726
2019-03-01,58422.779862263895,31123.06153590278
2019-04-01,58049.99558547917,31189.867477395834
2019-05-01,57677.21130869445,31256.673418888895
2019-06-01,57304.42703190972,31323.479360381945
2019-07-01,56931.642755125,31390.285301875003
2019-08-01,56558.85847834029,31457.09124336806
2019-09-01,56186.07420155556,31523.89718486111
2019-10-01,55813.28992477084,31590.703126354172
2019-11-01,55440.505647986116,31657.509067847226
2019-12-01,55067.72137120139,31724.31500934028
2020-01-01,54694.937094416666,31791.120950833334
2020-02-01,54999.13054590972,31667.80115150695
2020-03-01,55303.32399740279,31544.48135218056
2020-04-01,55607.517448895844,31421.16155285417
2020-05-01,55911.71090038889,31297.84175352778
2020-06-01,56215.90435188195,31174.521954201395
2020-07-01,56520.09780337501,31051.202154875
2020-08-01,56824.291254868054,30927.88235554861
2020-09-01,57128.484706361116,30804.562556222227
2020-10-01,57432.67815785417,30681.242756895834
2020-11-01,57736.87160934722,30557.922957569448
2020-12-01,58041.06506084029,30434.60315824306
2021-01-01,58345.25851233334,30311.28335891667
2021-02-01,58469.16241844445,30255.79321436806
2021-03-01,58593.066324555555,30200.303069819445
2021-04-01,58716.970230666666,30144.812925270835
2021-05-01,58840.87413677779,30089.32278072223
2021-06-01,58964.778042888895,30033.83263617361
2021-07-01,59088.681949000005,29978.342491625004
2021-08-01,59212.585855111116,29922.852347076394
2021-09-01,59336.48976122222,29867.36220252778
2021-10-01,59460.393667333345,29811.87205797917
2021-11-01,59584.297573444455,29756.38191343056
2021-12-01,59708.20147955556,29700.891768881946
2022-01-01,59832.10538566667,29645.401624333335
2022-02-01,59802.38513696529,29610.69306298611
2022-03-01,59772.66488826389,29575.984501638894
2022-04-01,59742.944639562505,29541.27594029167
2022-05-01,59713.22439086112,29506.567378944448
2022-06-01,59683.50414215972,29471.858817597225
2022-07-01,59653.78389345834,29437.150256250003
2022-08-01,59624.063644756956,29402.44169490278
2022-09-01,59594.343396055556,29367.733133555557
2022-10-01,59564.62314735417,29333.024572208335
2022-11-01,59534.90289865279,29298.316010861112
2022-12-01,59505.18264995139,29263.607449513896
2023-01-01,59475.462401250006,29228.89888816667
2023-02-01,59475.462401250006,29228.89888816667
2023-03-01,59475.462401250006,29228.89888816667
2023-04-01,59475.462401250006,29228.89888816667
2023-05-01,59475.462401250006,29228.89888816667
2023-06-01,59475.462401250006,29228.89888816667
2023-07-01,59475.462401250006,29228.89888816667
2023-08-01,59475.462401250006,29228.89888816667
2023-09-01,59475.462401250006,29228.89888816667
2023-10-01,59475.462401250006,29228.89888816667
2023-11-01,59475.462401250006,29228.89888816667
2023-12-01,59475.462401250006,29228.89888816667
