date,temperature
2015-01-01,33.8
2015-02-01,28.9
2015-03-01,44.2
2015-04-01,55.9
2015-05-01,67.1
2015-06-01,73.7
2015-07-01,75.3
2015-08-01,73.2
2015-09-01,69.3
2015-10-01,56.3
2015-11-01,51.1
2015-12-01,49.6
2016-01-01,33.1
2016-02-01,38.4
2016-03-01,51.8
2016-04-01,55.1
2016-05-01,61.9
2016-06-01,71.8
2016-07-01,77.3
2016-08-01,77.0
2016-09-01,71.8
2016-10-01,59.8
2016-11-01,48.3
2016-12-01,39.1
2017-01-01,40.1
2017-02-01,46.0
2017-03-01,45.9
2017-04-01,60.6
2017-05-01,63.4
2017-06-01,71.2
2017-07-01,76.8
2017-08-01,72.8
2017-09-01,67.4
2017-10-01,60.2
2017-11-01,46.1
2017-12-01,37.2
2018-01-01,31.8
2018-02-01,45.2
2018-03-01,41.2
2018-04-01,52.2
2018-05-01,69.7
2018-06-01,73.1
2018-07-01,75.1
2018-08-01,75.2
2018-09-01,72.8
2018-10-01,59.0
2018-11-01,43.8
2018-12-01,39.7
2019-01-01,36.3
2019-02-01,41.8
2019-03-01,43.9
2019-04-01,58.1
2019-05-01,68.9
2019-06-01,71.2
2019-07-01,77.1
2019-08-01,74.7
2019-09-01,72.5
2019-10-01,60.6
2019-11-01,43.1
2019-12-01,41.5
2020-01-01,40.6
2020-02-01,42.4
2020-03-01,51.7
2020-04-01,53.3
2020-05-01,60.5
2020-06-01,71.3
2020-07-01,78.7
2020-08-01,75.5
2020-09-01,66.4
2020-10-01,59.0
2020-11-01,51.3
2020-12-01,38.4
2021-01-01,36.6
2021-02-01,36.6
2021-03-01,48.5
2021-04-01,55.2
2021-05-01,62.3
2021-06-01,72.0
2021-07-01,75.9
2021-08-01,76.4
2021-09-01,68.5
2021-10-01,62.4
2021-11-01,44.5
2021-12-01,45.8
2022-01-01,32.9
2022-02-01,40.8
2022-03-01,49.0
2022-04-01,55.2
2022-05-01,65.1
2022-06-01,72.2
2022-07-01,76.9
2022-08-01,74.8
2022-09-01,67.9
2022-10-01,53.9
2022-11-01,49.1
2022-12-01,37.3
2023-01-01,42.7
2023-02-01,46.3
2023-03-01,47.4
2023-04-01,57.8
2023-05-01,61.4
2023-06-01,67.9
2023-07-01,76.7
2023-08-01,74.2
2023-09-01,68.3
2023-10-01,58.6
2023-11-01,45.8
2023-12-01,42.3
