feature,ashburn_2019_temp_c_max,ashburn_2019_temp_c_mean,ashburn_2019_temp_c_min,ashburn_2019_temp_obs_count,ashburn_2024_tavg_c_max,ashburn_2024_tavg_c_mean,ashburn_2024_tavg_c_min,ashburn_2024_tavg_obs_count,ashburn_2024_tmax_c_max,ashburn_2024_tmax_c_mean,ashburn_2024_tmax_c_min,ashburn_2024_tmax_obs_count,ashburn_2024_tmin_c_max,ashburn_2024_tmin_c_mean,ashburn_2024_tmin_c_min,ashburn_2024_tmin_obs_count,google_cluster_avg_cpu_utilization_max,google_cluster_avg_cpu_utilization_mean,google_cluster_avg_cpu_utilization_min,google_cluster_hour_of_day_max,google_cluster_hour_of_day_mean,google_cluster_hour_of_day_min,google_cluster_num_tasks_sampled_max,google_cluster_num_tasks_sampled_mean,google_cluster_num_tasks_sampled_min,google_cluster_obs_count,hrl_rto_load_mw_max,hrl_rto_load_mw_mean,hrl_rto_load_mw_min,hrl_rto_load_mw_sum,hrl_rto_load_obs_count,noaa_avg_relative_humidity_pct_mean,noaa_avg_temp_f_mean,noaa_avg_wind_speed_mph_mean,noaa_cdd65_f_day_sum,noaa_daily_obs_count,noaa_gsod_daily_obs_count,noaa_gsod_dewpoint_f_mean,noaa_gsod_max_temp_f_mean,noaa_gsod_min_temp_f_mean,noaa_gsod_precip_in_sum,noaa_gsod_snow_depth_in_sum,noaa_gsod_temp_f_mean,noaa_max_temp_f_mean,noaa_max_wind_2min_mph_mean,noaa_max_wind_5sec_mph_mean,noaa_min_temp_f_mean,noaa_precipitation_inches_sum,noaa_snow_depth_inches_sum,noaa_snowfall_inches_sum,owid_va_fossil_twh_yearly,owid_va_lowcarbon_twh_yearly,owid_va_nuclear_twh_yearly,owid_va_renewables_except_hydro_twh_yearly,owid_va_renewables_including_hydro_twh_yearly,owid_va_total_twh_yearly,owid_va_wind_and_solar_twh_yearly,pjm_day_ahead_demand_forecast_mwh_count,pjm_day_ahead_demand_forecast_mwh_max,pjm_day_ahead_demand_forecast_mwh_mean,pjm_day_ahead_demand_forecast_mwh_min,pjm_day_ahead_demand_forecast_mwh_sum,pjm_gen_fuel_col_mwh_mean,pjm_gen_fuel_col_mwh_sum,pjm_gen_fuel_ng_mwh_mean,pjm_gen_fuel_ng_mwh_sum,pjm_gen_fuel_nuc_mwh_mean,pjm_gen_fuel_nuc_mwh_sum,pjm_gen_fuel_obs_count,pjm_gen_fuel_oth_mwh_mean,pjm_gen_fuel_oth_mwh_sum,pjm_gen_fuel_sun_mwh_mean,pjm_gen_fuel_sun_mwh_sum,pjm_gen_fuel_wat_mwh_mean,pjm_gen_fuel_wat_mwh_sum,pjm_gen_fuel_wnd_mwh_mean,pjm_gen_fuel_wnd_mwh_sum,pjm_hourly_demand_mwh_count,pjm_hourly_demand_mwh_max,pjm_hourly_demand_mwh_mean,pjm_hourly_demand_mwh_min,pjm_hourly_demand_mwh_sum,pjm_net_generation_mwh_count,pjm_net_generation_mwh_max,pjm_net_generation_mwh_mean,pjm_net_generation_mwh_min,pjm_net_generation_mwh_sum,pjm_total_interchange_mwh_count,pjm_total_interchange_mwh_max,pjm_total_interchange_mwh_mean,pjm_total_interchange_mwh_min,pjm_total_interchange_mwh_sum,us_data_center_construction_spending_usd
ashburn_2019_temp_c_max,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,3,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
ashburn_2019_temp_c_mean,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,3,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
ashburn_2019_temp_c_min,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,3,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
ashburn_2019_temp_obs_count,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,3,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
ashburn_2024_tavg_c_max,0,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,12,12,12,12,12,12,12,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
ashburn_2024_tavg_c_mean,0,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,12,12,12,12,12,12,12,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
ashburn_2024_tavg_c_min,0,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,12,12,12,12,12,12,12,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
ashburn_2024_tavg_obs_count,0,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,12,12,12,12,12,12,12,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
ashburn_2024_tmax_c_max,0,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,12,12,12,12,12,12,12,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
ashburn_2024_tmax_c_mean,0,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,12,12,12,12,12,12,12,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
ashburn_2024_tmax_c_min,0,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,12,12,12,12,12,12,12,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
ashburn_2024_tmax_obs_count,0,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,12,12,12,12,12,12,12,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
