feature,mean_abs_corr,max_abs_corr,valid_pair_count
owid_va_lowcarbon_twh_yearly,0.8109258076,0.959283242,6
owid_va_renewables_except_hydro_twh_yearly,0.8056014162,0.9933828401,6
owid_va_renewables_including_hydro_twh_yearly,0.8015812287,0.9933828401,6
owid_va_total_twh_yearly,0.6453550487,0.979911139,6
owid_va_fossil_twh_yearly,0.5940540172,0.7849030926,6
owid_va_nuclear_twh_yearly,0.490382546,0.699692538,6
owid_va_wind_and_solar_twh_yearly,0.4567374343,0.8004961455,6
hrl_rto_load_mw_max,0.4200253501,0.990536283,52
pjm_day_ahead_demand_forecast_mwh_sum,0.4124063408,0.966982025,52
noaa_cdd65_f_day_sum,0.4018945727,0.8840515156,52
hrl_rto_load_mw_mean,0.3994759139,0.9977295706,52
pjm_day_ahead_demand_forecast_mwh_max,0.3865897305,0.990536283,52
pjm_gen_fuel_ng_mwh_sum,0.3848514496,0.9894618311,52
pjm_day_ahead_demand_forecast_mwh_mean,0.3783834787,0.9977295706,52
pjm_gen_fuel_ng_mwh_mean,0.3640054765,0.9894618311,52
hrl_rto_load_mw_sum,0.3555311629,0.7211725758,52
pjm_gen_fuel_nuc_mwh_sum,0.3541782161,0.9115372658,52
noaa_min_temp_f_mean,0.3539821422,0.9951454456,52
noaa_avg_temp_f_mean,0.3391843189,0.9971763154,52
noaa_max_temp_f_mean,0.3288678367,0.9971763154,52
noaa_avg_wind_speed_mph_mean,0.3284461436,0.8712362291,52
pjm_gen_fuel_oth_mwh_sum,0.3272323156,0.9967192216,52
pjm_gen_fuel_wnd_mwh_mean,0.3177197739,0.9962574552,52
pjm_gen_fuel_oth_mwh_mean,0.3168245089,0.9967192216,52
pjm_gen_fuel_wnd_mwh_sum,0.3089780563,0.9962574552,52
pjm_gen_fuel_nuc_mwh_mean,0.3054372184,0.9115372658,52
pjm_gen_fuel_col_mwh_sum,0.3041630536,0.9950617717,52
pjm_gen_fuel_col_mwh_mean,0.2879257568,0.9950617717,52
pjm_net_generation_mwh_min,0.28658405,0.8580118647,52
noaa_max_wind_2min_mph_mean,0.2772232248,0.9370793255,52
noaa_avg_relative_humidity_pct_mean,0.2740738275,0.7363159794,52
pjm_total_interchange_mwh_sum,0.2715178338,0.9961736732,52
pjm_total_interchange_mwh_mean,0.2637249144,0.9961736732,52
pjm_hourly_demand_mwh_min,0.2611328304,0.9045813638,52
pjm_total_interchange_mwh_max,0.2611151053,0.7865222774,52
pjm_day_ahead_demand_forecast_mwh_min,0.2504439797,0.9045813638,52
pjm_hourly_demand_mwh_count,0.2488543795,0.9618844449,52
pjm_day_ahead_demand_forecast_mwh_count,0.2488200473,0.9817255497,52
hrl_rto_load_mw_min,0.2458819229,0.8833421448,52
noaa_max_wind_5sec_mph_mean,0.2443066688,0.9370793255,52
pjm_total_interchange_mwh_count,0.2428407337,0.9897277762,52
pjm_gen_fuel_obs_count,0.2427307289,0.9999152409,52
pjm_net_generation_mwh_count,0.2422195062,0.9999152409,52
noaa_daily_obs_count,0.2182078959,0.9371105421,52
pjm_gen_fuel_sun_mwh_sum,0.2138626118,0.9993858106,52
pjm_gen_fuel_sun_mwh_mean,0.2091791989,0.9993858106,52
noaa_snowfall_inches_sum,0.2070672137,0.9074330125,52
pjm_gen_fuel_wat_mwh_sum,0.2063143277,0.9887451689,52
pjm_gen_fuel_wat_mwh_mean,0.1943057612,0.9887451689,52
pjm_total_interchange_mwh_min,0.1934246825,0.7257815746,52
us_data_center_construction_spending_usd,0.1861158048,0.853545256,52
noaa_precipitation_inches_sum,0.1761280228,0.4775388278,52
noaa_snow_depth_inches_sum,0.1755774466,0.9074330125,52
hrl_rto_load_obs_count,0.1666461081,0.6997173374,52
pjm_hourly_demand_mwh_max,0.1642334635,0.9999999874,52
pjm_net_generation_mwh_max,0.1642304303,0.9999999874,52
pjm_hourly_demand_mwh_sum,0.1616717203,0.9999947956,52
pjm_net_generation_mwh_sum,0.1616383536,0.9999947956,52
pjm_hourly_demand_mwh_mean,0.1610823161,0.9999949305,52
pjm_net_generation_mwh_mean,0.1610440364,0.9999949305,52
ashburn_2019_temp_c_max,,,0
ashburn_2019_temp_c_mean,,,0
ashburn_2019_temp_c_min,,,0
ashburn_2019_temp_obs_count,,,0
ashburn_2024_tavg_c_max,,,0
ashburn_2024_tavg_c_mean,,,0
ashburn_2024_tavg_c_min,,,0
ashburn_2024_tavg_obs_count,,,0
ashburn_2024_tmax_c_max,,,0
ashburn_2024_tmax_c_mean,,,0
ashburn_2024_tmax_c_min,,,0
ashburn_2024_tmax_obs_count,,,0
ashburn_2024_tmin_c_max,,,0
ashburn_2024_tmin_c_mean,,,0
ashburn_2024_tmin_c_min,,,0
ashburn_2024_tmin_obs_count,,,0
google_cluster_avg_cpu_utilization_max,,,0
google_cluster_avg_cpu_utilization_mean,,,0
google_cluster_avg_cpu_utilization_min,,,0
google_cluster_hour_of_day_max,,,0
google_cluster_hour_of_day_mean,,,0
google_cluster_hour_of_day_min,,,0
google_cluster_num_tasks_sampled_max,,,0
google_cluster_num_tasks_sampled_mean,,,0
google_cluster_num_tasks_sampled_min,,,0
google_cluster_obs_count,,,0
noaa_gsod_daily_obs_count,,,0
noaa_gsod_dewpoint_f_mean,,,0
noaa_gsod_max_temp_f_mean,,,0
noaa_gsod_min_temp_f_mean,,,0
noaa_gsod_precip_in_sum,,,0
noaa_gsod_snow_depth_in_sum,,,0
noaa_gsod_temp_f_mean,,,0
