year,total_electric_industry_capacity_mw
1990,15065.0
1991,15488.0
1992,16933.0
1993,17038.0
1994,17096.0
1995,17627.0
1996,18373.0
1997,18732.0
1998,18749.0
1999,18727.0
2000,19625.0
2001,20086.0
2002,20202.0
2003,21171.0
2004,22481.0
2005,22599.0
2006,22648.0
2007,22992.0
2008,23475.6
2009,23788.0
2010,24109.0
2011,24684.9
2012,24848.6
2013,24827.8
2014,26292.4
2015,25181.6
2016,26621.6
2017,27660.1
2018,29634.8
2019,28044.7
2020,27942.6
2021,28515.3
2022,29169.2
2023,28218.2
2024,29146.5
